time, size
1.67e-07, 512
2.91e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.25e-06, 8192
2.542e-06, 16384
3.791e-06, 32768
6.208e-06, 65536
1.2167e-05, 131072
3.225e-05, 262144
6.4834e-05, 524288
0.000111959, 1048576
0.000382417, 2097152
0.000850708, 4194304
2.5e-07, 512
8.3e-08, 1024
2.09e-07, 2048
2.92e-07, 4096
5.84e-07, 8192
1.375e-06, 16384
3.375e-06, 32768
6.375e-06, 65536
1.8792e-05, 131072
2.4416e-05, 262144
5.0709e-05, 524288
0.000112334, 1048576
0.000367625, 2097152
0.000906209, 4194304
8.3e-08, 512
1.25e-07, 1024
1.66e-07, 2048
3.33e-07, 4096
7.5e-07, 8192
2.041e-06, 16384
3.375e-06, 32768
6.292e-06, 65536
1.2875e-05, 131072
2.6334e-05, 262144
5.125e-05, 524288
0.000138792, 1048576
0.000417041, 2097152
0.000854333, 4194304
4.1e-08, 512
8.4e-08, 1024
1.66e-07, 2048
3.33e-07, 4096
7.09e-07, 8192
1.542e-06, 16384
3.375e-06, 32768
6.625e-06, 65536
1.2708e-05, 131072
2.475e-05, 262144
4.9875e-05, 524288
0.000159458, 1048576
0.000513834, 2097152
0.000821541, 4194304
8.3e-08, 512
1.25e-07, 1024
1.67e-07, 2048
3.34e-07, 4096
6.25e-07, 8192
1.417e-06, 16384
3.375e-06, 32768
6.292e-06, 65536
1.225e-05, 131072
2.525e-05, 262144
5.25e-05, 524288
0.000114291, 1048576
0.000389083, 2097152
0.000892375, 4194304
8.3e-08, 512
8.4e-08, 1024
1.67e-07, 2048
3.33e-07, 4096
6.25e-07, 8192
1.542e-06, 16384
4.166e-06, 32768
6.291e-06, 65536
1.6208e-05, 131072
2.4458e-05, 262144
5.0917e-05, 524288
0.000152, 1048576
0.000370542, 2097152
0.000869792, 4194304
8.4e-08, 512
8.4e-08, 1024
1.67e-07, 2048
3.33e-07, 4096
5.83e-07, 8192
1.459e-06, 16384
3.375e-06, 32768
6.333e-06, 65536
1.2666e-05, 131072
2.5e-05, 262144
5.1083e-05, 524288
0.000105, 1048576
0.000327125, 2097152
0.000980292, 4194304
4.2e-08, 512
1.25e-07, 1024
1.66e-07, 2048
3.34e-07, 4096
6.25e-07, 8192
1.458e-06, 16384
3.333e-06, 32768
6.375e-06, 65536
1.25e-05, 131072
2.4916e-05, 262144
5.0084e-05, 524288
0.000119625, 1048576
0.000434333, 2097152
0.000832291, 4194304
8.3e-08, 512
8.4e-08, 1024
2.09e-07, 2048
2.92e-07, 4096
6.25e-07, 8192
1.375e-06, 16384
3.375e-06, 32768
6.25e-06, 65536
1.2125e-05, 131072
2.475e-05, 262144
5.6042e-05, 524288
0.000103625, 1048576
0.000303417, 2097152
0.000873625, 4194304
4.2e-08, 512
8.4e-08, 1024
1.67e-07, 2048
3.33e-07, 4096
6.25e-07, 8192
1.5e-06, 16384
3.333e-06, 32768
6.417e-06, 65536
1.2166e-05, 131072
2.4792e-05, 262144
5.9666e-05, 524288
0.000121042, 1048576
0.0003965, 2097152
0.000944208, 4194304
8.3e-08, 512
1.25e-07, 1024
2.08e-07, 2048
3.34e-07, 4096
6.25e-07, 8192
1.459e-06, 16384
3.334e-06, 32768
6.5e-06, 65536
1.5458e-05, 131072
2.6542e-05, 262144
4.8542e-05, 524288
0.000113333, 1048576
0.00036725, 2097152
0.000849667, 4194304
8.3e-08, 512
8.3e-08, 1024
1.67e-07, 2048
2.92e-07, 4096
6.25e-07, 8192
1.417e-06, 16384
3.417e-06, 32768
6.5e-06, 65536
1.225e-05, 131072
2.4583e-05, 262144
4.9708e-05, 524288
