time, size
8.3e-08, 512
2.92e-07, 1024
4.58e-07, 2048
7.08e-07, 4096
1.5e-06, 8192
1.375e-06, 16384
3.458e-06, 32768
6.916e-06, 65536
1.2292e-05, 131072
2.4209e-05, 262144
4.8291e-05, 524288
0.000158792, 1048576
0.000338708, 2097152
0.000872708, 4194304
4.2e-08, 512
1.25e-07, 1024
1.66e-07, 2048
2.92e-07, 4096
8.33e-07, 8192
1.417e-06, 16384
3.416e-06, 32768
6.209e-06, 65536
1.2167e-05, 131072
2.6792e-05, 262144
5.5625e-05, 524288
0.000105917, 1048576
0.000326, 2097152
0.000896875, 4194304
4.2e-08, 512
8.4e-08, 1024
1.67e-07, 2048
3.34e-07, 4096
6.25e-07, 8192
1.5e-06, 16384
3.333e-06, 32768
6.625e-06, 65536
1.2625e-05, 131072
2.5083e-05, 262144
5.1084e-05, 524288
0.000164333, 1048576
0.000393792, 2097152
0.000853667, 4194304
4.1e-08, 512
8.3e-08, 1024
2.08e-07, 2048
3.75e-07, 4096
6.25e-07, 8192
1.417e-06, 16384
3.375e-06, 32768
6.334e-06, 65536
1.2334e-05, 131072
2.7625e-05, 262144
5.4125e-05, 524288
0.000116833, 1048576
0.000416875, 2097152
0.000877375, 4194304
8.3e-08, 512
1.25e-07, 1024
1.66e-07, 2048
3.33e-07, 4096
6.25e-07, 8192
1.458e-06, 16384
3.375e-06, 32768
6.208e-06, 65536
1.2125e-05, 131072
7.5625e-05, 262144
4.9375e-05, 524288
0.000106584, 1048576
0.00042, 2097152
0.00084475, 4194304
4.2e-08, 512
1.66e-07, 1024
1.67e-07, 2048
2.92e-07, 4096
7.91e-07, 8192
1.542e-06, 16384
3.417e-06, 32768
6.375e-06, 65536
1.2166e-05, 131072
2.4667e-05, 262144
4.8458e-05, 524288
0.000106792, 1048576
0.00047375, 2097152
0.000893167, 4194304
8.4e-08, 512
8.3e-08, 1024
1.66e-07, 2048
3.34e-07, 4096
6.25e-07, 8192
1.625e-06, 16384
3.458e-06, 32768
6.542e-06, 65536
1.2458e-05, 131072
2.5e-05, 262144
4.8791e-05, 524288
0.000102375, 1048576
0.000408292, 2097152
0.000888834, 4194304
4.2e-08, 512
1.25e-07, 1024
2.09e-07, 2048
2.92e-07, 4096
6.67e-07, 8192
1.625e-06, 16384
3.459e-06, 32768
6.375e-06, 65536
1.2875e-05, 131072
2.45e-05, 262144
5.0417e-05, 524288
0.000105083, 1048576
0.00028725, 2097152
0.00103446, 4194304
4.2e-08, 512
8.4e-08, 1024
2.08e-07, 2048
3.33e-07, 4096
6.67e-07, 8192
1.416e-06, 16384
3.375e-06, 32768
6.25e-06, 65536
1.3917e-05, 131072
2.5959e-05, 262144
4.9833e-05, 524288
0.000114583, 1048576
0.000487708, 2097152
0.000941166, 4194304
4.2e-08, 512
8.4e-08, 1024
2.5e-07, 2048
3.34e-07, 4096
5.83e-07, 8192
1.5e-06, 16384
3.375e-06, 32768
7.417e-06, 65536
1.2458e-05, 131072
2.7958e-05, 262144
5.0041e-05, 524288
0.000186, 1048576
