time, size
2.08e-07, 512
2.92e-07, 1024
4.16e-07, 2048
6.67e-07, 4096
1.125e-06, 8192
1.333e-06, 16384
4.875e-06, 32768
6.333e-06, 65536
1.2209e-05, 131072
2.4333e-05, 262144
0.000199709, 524288
0.000147292, 1048576
0.000346333, 2097152
0.000879416, 4194304
8.3e-08, 512
8.4e-08, 1024
2.09e-07, 2048
2.92e-07, 4096
6.25e-07, 8192
1.792e-06, 16384
3.375e-06, 32768
6.25e-06, 65536
1.2584e-05, 131072
2.9042e-05, 262144
0.000125584, 524288
0.000154542, 1048576
0.000350166, 2097152
0.00128863, 4194304
8.3e-08, 512
1.25e-07, 1024
2.08e-07, 2048
3.33e-07, 4096
6.67e-07, 8192
1.458e-06, 16384
3.542e-06, 32768
6.75e-06, 65536
1.3292e-05, 131072
2.8667e-05, 262144
5.475e-05, 524288
0.000131292, 1048576
0.000364958, 2097152
0.00085825, 4194304
8.3e-08, 512
1.25e-07, 1024
2.09e-07, 2048
2.91e-07, 4096
6.25e-07, 8192
1.333e-06, 16384
3.417e-06, 32768
6.25e-06, 65536
1.3292e-05, 131072
2.3958e-05, 262144
7.9416e-05, 524288
0.000196334, 1048576
0.000318958, 2097152
0.000845542, 4194304
8.3e-08, 512
1.25e-07, 1024
2.08e-07, 2048
2.92e-07, 4096
6.25e-07, 8192
1.5e-06, 16384
3.292e-06, 32768
6.291e-06, 65536
1.2417e-05, 131072
2.4125e-05, 262144
5.0959e-05, 524288
0.000120375, 1048576
0.000344083, 2097152
0.000945333, 4194304
8.4e-08, 512
8.3e-08, 1024
1.66e-07, 2048
2.92e-07, 4096
5.83e-07, 8192
1.333e-06, 16384
3.292e-06, 32768
6.25e-06, 65536
1.2042e-05, 131072
3.6458e-05, 262144
4.7958e-05, 524288
0.000106667, 1048576
0.000366375, 2097152
0.000905958, 4194304
8.3e-08, 512
1.25e-07, 1024
1.67e-07, 2048
2.92e-07, 4096
6.25e-07, 8192
1.417e-06, 16384
3.333e-06, 32768
6.166e-06, 65536
1.2208e-05, 131072
2.3959e-05, 262144
4.7958e-05, 524288
0.000106042, 1048576
0.000385375, 2097152
0.000902791, 4194304
8.4e-08, 512
8.3e-08, 1024
1.66e-07, 2048
2.91e-07, 4096
5.84e-07, 8192
