time, size
2.91e-07, 512
4.17e-07, 1024
7.91e-07, 2048
1.209e-06, 4096
2.25e-06, 8192
5.958e-06, 16384
6.25e-06, 32768
1.2042e-05, 65536
2.4291e-05, 131072
5.7625e-05, 262144
0.00010725, 524288
0.000294417, 1048576
0.000910584, 2097152
0.00170733, 4194304
1.25e-07, 512
2.08e-07, 1024
3.34e-07, 2048
6.25e-07, 4096
1.292e-06, 8192
3.333e-06, 16384
6.208e-06, 32768
1.2083e-05, 65536
2.575e-05, 131072
4.7958e-05, 262144
0.000102041, 524288
0.000268167, 1048576
0.00081125, 2097152
0.00183925, 4194304
1.25e-07, 512
1.67e-07, 1024
3.33e-07, 2048
5.84e-07, 4096
1.25e-06, 8192
3.375e-06, 16384
6.291e-06, 32768
1.4375e-05, 65536
2.425e-05, 131072
5.0333e-05, 262144
0.000101875, 524288
0.000332209, 1048576
0.00083825, 2097152
0.00179721, 4194304
1.25e-07, 512
1.66e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.25e-06, 8192
3.291e-06, 16384
6.25e-06, 32768
1.2167e-05, 65536
2.4625e-05, 131072
4.8709e-05, 262144
0.000112333, 524288
0.000375125, 1048576
0.000975334, 2097152
0.00183975, 4194304
1.25e-07, 512
1.67e-07, 1024
3.33e-07, 2048
5.83e-07, 4096
1.291e-06, 8192
3.292e-06, 16384
6.416e-06, 32768
1.2292e-05, 65536
2.5708e-05, 131072
4.9584e-05, 262144
9.6417e-05, 524288
0.000259042, 1048576
0.000803917, 2097152
0.00176096, 4194304
8.3e-08, 512
2.08e-07, 1024
2.91e-07, 2048
5.83e-07, 4096
1.208e-06, 8192
3.333e-06, 16384
6.167e-06, 32768
1.2125e-05, 65536
2.4459e-05, 131072
4.8667e-05, 262144
9.7167e-05, 524288
0.000278, 1048576
0.000919458, 2097152
0.00176021, 4194304
1.25e-07, 512
1.25e-07, 1024
3.33e-07, 2048
7.08e-07, 4096
1.291e-06, 8192
3.333e-06, 16384
6.333e-06, 32768
1.2e-05, 65536
2.5458e-05, 131072
6.9542e-05, 262144
9.9625e-05, 524288
0.000267166, 1048576
0.000822209, 2097152
0.00169396, 4194304
1.25e-07, 512
1.67e-07, 1024
3.33e-07, 2048
5.83e-07, 4096
1.292e-06, 8192
3.292e-06, 16384
6.333e-06, 32768
1.2083e-05, 65536
2.4167e-05, 131072
4.9375e-05, 262144
0.000100292, 524288
0.000275834, 1048576
0.000842667, 2097152
0.00183113, 4194304
8.3e-08, 512
2.08e-07, 1024
3.33e-07, 2048
5.83e-07, 4096
1.375e-06, 8192
3.292e-06, 16384
6.208e-06, 32768
1.2167e-05, 65536
2.4167e-05, 131072
5.1291e-05, 262144
0.000104375, 524288
0.000376917, 1048576
0.000874709, 2097152
0.00189129, 4194304
1.25e-07, 512
1.67e-07, 1024
2.92e-07, 2048
5.83e-07, 4096
1.333e-06, 8192
3.333e-06, 16384
6.292e-06, 32768
1.2209e-05, 65536
2.4208e-05, 131072
4.9917e-05, 262144
0.000126916, 524288
0.000366458, 1048576
0.00101158, 2097152
0.00188088, 4194304
1.25e-07, 512
1.67e-07, 1024
3.75e-07, 2048
5.83e-07, 4096
1.292e-06, 8192
3.333e-06, 16384
6.208e-06, 32768
1.2083e-05, 65536
2.4334e-05, 131072
5.3e-05, 262144
9.8875e-05, 524288
0.000305917, 1048576
0.000851458, 2097152
0.00182463, 4194304
8.4e-08, 512
2.08e-07, 1024
3.34e-07, 2048
6.25e-07, 4096
1.25e-06, 8192
3.292e-06, 16384
6.167e-06, 32768
1.2334e-05, 65536
2.9875e-05, 131072
5.0792e-05, 262144
9.7583e-05, 524288
0.000301291, 1048576
0.000905417, 2097152
0.00184621, 4194304
1.25e-07, 512
1.67e-07, 1024
3.75e-07, 2048
6.67e-07, 4096
1.291e-06, 8192
3.334e-06, 16384
6.208e-06, 32768
1.2416e-05, 65536
2.4166e-05, 131072
4.8209e-05, 262144
0.000114958, 524288
0.000296666, 1048576
0.00102225, 2097152
0.00185971, 4194304
8.3e-08, 512
1.67e-07, 1024
3.33e-07, 2048
5.83e-07, 4096
1.291e-06, 8192
3.333e-06, 16384
6.25e-06, 32768
1.2166e-05, 65536
2.4125e-05, 131072
5.125e-05, 262144
0.000111375, 524288
0.000378125, 1048576
0.00087925, 2097152
0.001896, 4194304
8.3e-08, 512
1.67e-07, 1024
4.58e-07, 2048
6.25e-07, 4096
1.25e-06, 8192
3.583e-06, 16384
6.208e-06, 32768
1.2416e-05, 65536
2.45e-05, 131072
4.875e-05, 262144
0.000127083, 524288
0.000281708, 1048576
0.000868584, 2097152
0.0017435, 4194304
1.25e-07, 512
1.67e-07, 1024
4.58e-07, 2048
5.83e-07, 4096
1.291e-06, 8192
3.292e-06, 16384
6.458e-06, 32768
1.2208e-05, 65536
2.4209e-05, 131072
5.0833e-05, 262144
0.000152666, 524288
0.000372958, 1048576
0.000829541, 2097152
0.00293308, 4194304
8.4e-08, 512
1.67e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.25e-06, 8192
3.333e-06, 16384
6.292e-06, 32768
1.5625e-05, 65536
2.4542e-05, 131072
5.5791e-05, 262144
0.000103, 524288
0.000316459, 1048576
0.000878292, 2097152
0.00185354, 4194304
1.25e-07, 512
1.67e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.292e-06, 8192
3.333e-06, 16384
6.292e-06, 32768
1.2041e-05, 65536
2.4375e-05, 131072
4.8583e-05, 262144
0.00011525, 524288
0.000531042, 1048576
0.000911041, 2097152
0.00177379, 4194304
8.4e-08, 512
1.67e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.292e-06, 8192
3.375e-06, 16384
6.125e-06, 32768
1.2166e-05, 65536
2.825e-05, 131072
4.9208e-05, 262144
