time, size
2.09e-07, 512
5e-07, 1024
6.66e-07, 2048
1.334e-06, 4096
3.416e-06, 8192
3.417e-06, 16384
6.333e-06, 32768
1.2166e-05, 65536
2.8042e-05, 131072
0.000128541, 262144
0.000101875, 524288
0.000730625, 1048576
0.000881083, 2097152
0.00216033, 4194304
8.4e-08, 512
1.67e-07, 1024
2.92e-07, 2048
6.25e-07, 4096
1.375e-06, 8192
3.375e-06, 16384
6.583e-06, 32768
1.2333e-05, 65536
2.4084e-05, 131072
5.1e-05, 262144
0.00015775, 524288
0.000406583, 1048576
0.000861875, 2097152
0.00188783, 4194304
8.3e-08, 512
2.08e-07, 1024
3.33e-07, 2048
5.84e-07, 4096
1.5e-06, 8192
3.375e-06, 16384
6.5e-06, 32768
1.2292e-05, 65536
2.4416e-05, 131072
4.9834e-05, 262144
0.000118042, 524288
0.000448584, 1048576
0.000846583, 2097152
0.00179988, 4194304
1.25e-07, 512
1.67e-07, 1024
2.92e-07, 2048
6.25e-07, 4096
1.458e-06, 8192
3.333e-06, 16384
6.417e-06, 32768
1.2084e-05, 65536
2.6083e-05, 131072
5.7833e-05, 262144
0.000107416, 524288
0.000309167, 1048576
0.000858209, 2097152
0.00185471, 4194304
8.4e-08, 512
1.66e-07, 1024
3.34e-07, 2048
6.25e-07, 4096
1.416e-06, 8192
3.417e-06, 16384
6.375e-06, 32768
1.2125e-05, 65536
2.4792e-05, 131072
4.8875e-05, 262144
0.00010275, 524288
0.000324208, 1048576
0.000874416, 2097152
0.00191767, 4194304
1.25e-07, 512
1.66e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.417e-06, 8192
3.625e-06, 16384
6.25e-06, 32768
1.2375e-05, 65536
2.6292e-05, 131072
5.6292e-05, 262144
0.000118666, 524288
0.000324375, 1048576
0.000895542, 2097152
0.00187979, 4194304
8.4e-08, 512
1.66e-07, 1024
3.34e-07, 2048
6.25e-07, 4096
1.959e-06, 8192
3.458e-06, 16384
6.375e-06, 32768
1.2125e-05, 65536
2.65e-05, 131072
5.025e-05, 262144
0.000107625, 524288
0.000361834, 1048576
0.00095825, 2097152
0.00180388, 4194304
4.2e-08, 512
1.66e-07, 1024
2.92e-07, 2048
7.09e-07, 4096
1.416e-06, 8192
3.416e-06, 16384
6.416e-06, 32768
1.2291e-05, 65536
2.4208e-05, 131072
4.9583e-05, 262144
0.00010425, 524288
0.000306917, 1048576
0.000824833, 2097152
0.00177588, 4194304
8.4e-08, 512
1.67e-07, 1024
2.92e-07, 2048
6.25e-07, 4096
1.417e-06, 8192
3.375e-06, 16384
6.333e-06, 32768
1.3917e-05, 65536
2.4292e-05, 131072
5.3e-05, 262144
0.000113541, 524288
0.000396334, 1048576
0.00110008, 2097152
