time, size
2.5e-07, 512
4.17e-07, 1024
6.25e-07, 2048
6.25e-07, 4096
2.208e-06, 8192
3.417e-06, 16384
6.25e-06, 32768
1.225e-05, 65536
2.6875e-05, 131072
6.3208e-05, 262144
0.000115875, 524288
0.000568792, 1048576
0.000866417, 2097152
0.00185104, 4194304
4.2e-08, 512
2.08e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.459e-06, 8192
3.375e-06, 16384
6.333e-06, 32768
1.2334e-05, 65536
2.4833e-05, 131072
4.8792e-05, 262144
0.00017225, 524288
0.000323042, 1048576
0.000961708, 2097152
0.00182142, 4194304
8.3e-08, 512
1.67e-07, 1024
3.34e-07, 2048
6.25e-07, 4096
1.459e-06, 8192
3.416e-06, 16384
6.416e-06, 32768
1.225e-05, 65536
2.4667e-05, 131072
4.9333e-05, 262144
0.00010325, 524288
0.000397333, 1048576
0.00107796, 2097152
0.00206062, 4194304
2.91e-07, 512
1.66e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.458e-06, 8192
3.417e-06, 16384
6.416e-06, 32768
1.2292e-05, 65536
2.425e-05, 131072
5.1208e-05, 262144
0.000126625, 524288
0.000359708, 1048576
0.000894875, 2097152
0.00194896, 4194304
8.4e-08, 512
2.09e-07, 1024
2.91e-07, 2048
6.25e-07, 4096
1.375e-06, 8192
3.417e-06, 16384
6.375e-06, 32768
1.2292e-05, 65536
2.4042e-05, 131072
4.8583e-05, 262144
0.000321792, 524288
0.000303209, 1048576
0.000879, 2097152
0.001852, 4194304
8.3e-08, 512
2.08e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.417e-06, 8192
3.417e-06, 16384
6.25e-06, 32768
1.2333e-05, 65536
2.4542e-05, 131072
4.8833e-05, 262144
0.000100834, 524288
0.000326625, 1048576
0.00106492, 2097152
0.00189204, 4194304
8.3e-08, 512
1.67e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.375e-06, 8192
3.458e-06, 16384
6.5e-06, 32768
1.2166e-05, 65536
2.4917e-05, 131072
6.3416e-05, 262144
0.000113833, 524288
0.000311541, 1048576
0.000870833, 2097152
0.00190421, 4194304
8.4e-08, 512
1.66e-07, 1024
2.91e-07, 2048
6.25e-07, 4096
1.417e-06, 8192
3.417e-06, 16384
6.291e-06, 32768
1.2375e-05, 65536
2.4125e-05, 131072
4.9042e-05, 262144
0.000111625, 524288
0.000307667, 1048576
0.000949958, 2097152
0.0018955, 4194304
8.3e-08, 512
1.66e-07, 1024
2.91e-07, 2048
8.75e-07, 4096
1.416e-06, 8192
3.375e-06, 16384
6.667e-06, 32768
1.2792e-05, 65536
2.4792e-05, 131072
4.9291e-05, 262144
0.000104833, 524288
0.000382375, 1048576
0.000942375, 2097152
0.00183654, 4194304
8.3e-08, 512
1.67e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.417e-06, 8192
3.375e-06, 16384
6.334e-06, 32768
1.3584e-05, 65536
2.6625e-05, 131072
4.9917e-05, 262144
0.00012975, 524288
0.000376083, 1048576
0.00089975, 2097152
0.00244263, 4194304
1.25e-07, 512
1.67e-07, 1024
2.92e-07, 2048
6.25e-07, 4096
1.5e-06, 8192
3.375e-06, 16384
6.333e-06, 32768
1.2417e-05, 65536
3.4417e-05, 131072
5.0625e-05, 262144
0.000104083, 524288
0.000325292, 1048576
0.000884416, 2097152
0.00191829, 4194304
8.3e-08, 512
1.67e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.416e-06, 8192
3.459e-06, 16384
