time, size
8.3e-08, 512
4.17e-07, 1024
7.92e-07, 2048
1.25e-06, 4096
3.084e-06, 8192
3.375e-06, 16384
6.209e-06, 32768
1.2083e-05, 65536
2.4167e-05, 131072
5.0417e-05, 262144
0.000106167, 524288
0.000348292, 1048576
0.00120563, 2097152
0.00179088, 4194304
8.3e-08, 512
1.67e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.333e-06, 8192
3.333e-06, 16384
6.209e-06, 32768
1.2167e-05, 65536
2.45e-05, 131072
5.3917e-05, 262144
0.000152292, 524288
0.000361875, 1048576
0.000928541, 2097152
0.00192083, 4194304
8.3e-08, 512
2.08e-07, 1024
3.75e-07, 2048
6.25e-07, 4096
1.334e-06, 8192
3.333e-06, 16384
6.166e-06, 32768
1.2334e-05, 65536
2.7292e-05, 131072
5.0166e-05, 262144
0.000165916, 524288
0.000437208, 1048576
0.000862666, 2097152
0.00205625, 4194304
8.3e-08, 512
2.08e-07, 1024
2.92e-07, 2048
6.25e-07, 4096
1.25e-06, 8192
3.334e-06, 16384
6.291e-06, 32768
1.2167e-05, 65536
2.5167e-05, 131072
4.8959e-05, 262144
0.000100667, 524288
0.000326709, 1048576
0.00091025, 2097152
0.00183204, 4194304
8.3e-08, 512
1.67e-07, 1024
2.92e-07, 2048
5.84e-07, 4096
1.334e-06, 8192
3.375e-06, 16384
6.25e-06, 32768
1.2042e-05, 65536
3.025e-05, 131072
4.8708e-05, 262144
9.975e-05, 524288
0.000312417, 1048576
0.000882833, 2097152
0.00189721, 4194304
8.3e-08, 512
2.08e-07, 1024
3.34e-07, 2048
6.25e-07, 4096
1.334e-06, 8192
3.458e-06, 16384
6.375e-06, 32768
1.2333e-05, 65536
2.425e-05, 131072
4.8584e-05, 262144
0.000121417, 524288
0.000323, 1048576
0.000981083, 2097152
0.00192379, 4194304
8.4e-08, 512
1.67e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.375e-06, 8192
3.333e-06, 16384
6.166e-06, 32768
1.2292e-05, 65536
2.5583e-05, 131072
5.0667e-05, 262144
0.000111084, 524288
0.000346459, 1048576
0.000884, 2097152
0.00177858, 4194304
1.67e-07, 512
1.66e-07, 1024
2.92e-07, 2048
6.25e-07, 4096
1.292e-06, 8192
4.875e-06, 16384
6.208e-06, 32768
1.2042e-05, 65536
2.4875e-05, 131072
5e-05, 262144
0.000111083, 524288
0.000334917, 1048576
0.000838167, 2097152
0.00183833, 4194304
1.25e-07, 512
1.67e-07, 1024
3.75e-07, 2048
6.25e-07, 4096
1.333e-06, 8192
3.291e-06, 16384
6.208e-06, 32768
1.3625e-05, 65536
2.4542e-05, 131072
5.3709e-05, 262144
0.00010375, 524288
0.000371167, 1048576
0.000913166, 2097152
0.00227104, 4194304
4.2e-08, 512
1.66e-07, 1024
3.34e-07, 2048
5.84e-07, 4096
1.25e-06, 8192
3.375e-06, 16384
6.208e-06, 32768
1.6542e-05, 65536
2.4292e-05, 131072
4.9709e-05, 262144
0.000122458, 524288
0.000375, 1048576
0.0008745, 2097152
0.00180096, 4194304
1.25e-07, 512
2.08e-07, 1024
3.33e-07, 2048
5.83e-07, 4096
1.334e-06, 8192
3.333e-06, 16384
6.25e-06, 32768
1.2208e-05, 65536
2.5125e-05, 131072
4.9833e-05, 262144
0.000100667, 524288
0.00034225, 1048576
0.000880875, 2097152
0.00183958, 4194304
8.3e-08, 512
1.67e-07, 1024
3.33e-07, 2048
5.83e-07, 4096
1.291e-06, 8192
3.334e-06, 16384
6.375e-06, 32768
1.2125e-05, 65536
2.4875e-05, 131072
4.9958e-05, 262144
0.0001015, 524288
0.00031525, 1048576
0.00113654, 2097152
0.00183704, 4194304
8.3e-08, 512
1.66e-07, 1024
3.33e-07, 2048
6.66e-07, 4096
1.334e-06, 8192
3.334e-06, 16384
6.333e-06, 32768
1.2292e-05, 65536
2.45e-05, 131072
4.8542e-05, 262144
9.9584e-05, 524288
0.000332917, 1048576
0.00104358, 2097152
0.00195233, 4194304
8.4e-08, 512
2.08e-07, 1024
3.33e-07, 2048
7.08e-07, 4096
1.291e-06, 8192
3.334e-06, 16384
6.167e-06, 32768
1.2084e-05, 65536
2.4916e-05, 131072
5.4167e-05, 262144
0.000124542, 524288
0.000320042, 1048576
0.000888542, 2097152
0.00191875, 4194304
2.5e-07, 512
1.67e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.792e-06, 8192
3.292e-06, 16384
6.333e-06, 32768
1.3583e-05, 65536
2.45e-05, 131072
4.8417e-05, 262144
0.00010475, 524288
0.0003385, 1048576
0.000933208, 2097152
0.00175508, 4194304
8.3e-08, 512
2.09e-07, 1024
2.92e-07, 2048
8.75e-07, 4096
1.291e-06, 8192
3.417e-06, 16384
6.459e-06, 32768
1.225e-05, 65536
2.4375e-05, 131072
5.1083e-05, 262144
0.0001015, 524288
0.00041625, 1048576
0.000903417, 2097152
0.00194808, 4194304
1.25e-07, 512
1.67e-07, 1024
3.33e-07, 2048
6.25e-07, 4096
1.458e-06, 8192
3.333e-06, 16384
6.375e-06, 32768
1.625e-05, 65536
2.3791e-05, 131072
4.8208e-05, 262144
0.000110625, 524288
0.000372667, 1048576
0.00122671, 2097152
0.00211875, 4194304
8.3e-08, 512
1.66e-07, 1024
2.91e-07, 2048
6.25e-07, 4096
1.458e-06, 8192
3.458e-06, 16384
6.208e-06, 32768
1.2208e-05, 65536
2.4e-05, 131072
4.8833e-05, 262144
0.0001115, 524288
0.000396625, 1048576
0.000891084, 2097152
0.00192588, 4194304
8.4e-08, 512
1.66e-07, 1024
3.34e-07, 2048
5.83e-07, 4096
1.334e-06, 8192
3.334e-06, 16384
6.208e-06, 32768
1.2334e-05, 65536
4.7167e-05, 131072
4.95e-05, 262144
0.000111125, 524288
0.000438917, 1048576
0.00085525, 2097152
0.00180442, 4194304
8.4e-08, 512
1.67e-07, 1024
2.92e-07, 2048
5.83e-07, 4096
1.542e-06, 8192
3.333e-06, 16384
6.334e-06, 32768
1.2167e-05, 65536
2.9958e-05, 131072
4.8833e-05, 262144
9.6083e-05, 524288
0.00031025, 1048576
0.000853084, 2097152
0.00183808, 4194304
