time, size
1.75e-06, 512
2.875e-06, 1024
5.708e-06, 2048
9.667e-06, 4096
1.925e-05, 8192
3.3291e-05, 16384
5.0458e-05, 32768
7.4833e-05, 65536
0.000149791, 131072
0.000300334, 262144
0.000605875, 524288
0.00130892, 1048576
0.00267125, 2097152
0.00541542, 4194304
5.83e-07, 512
1.166e-06, 1024
2.292e-06, 2048
4.958e-06, 4096
9.375e-06, 8192
1.8708e-05, 16384
3.9542e-05, 32768
7.4917e-05, 65536
0.000149666, 131072
0.000300625, 262144
0.000602959, 524288
0.00126175, 1048576
0.00279833, 2097152
0.00538288, 4194304
6.25e-07, 512
1.208e-06, 1024
2.375e-06, 2048
4.667e-06, 4096
9.375e-06, 8192
1.8708e-05, 16384
3.75e-05, 32768
7.4834e-05, 65536
0.000200958, 131072
0.000299792, 262144
0.000601625, 524288
0.00146504, 1048576
0.00277858, 2097152
0.00554504, 4194304
5.83e-07, 512
1.208e-06, 1024
2.375e-06, 2048
4.709e-06, 4096
9.333e-06, 8192
1.8709e-05, 16384
3.7458e-05, 32768
7.8208e-05, 65536
0.000149625, 131072
0.000300916, 262144
0.000601334, 524288
0.00130138, 1048576
0.00265746, 2097152
0.00542488, 4194304
5.83e-07, 512
1.167e-06, 1024
2.334e-06, 2048
4.708e-06, 4096
9.375e-06, 8192
1.875e-05, 16384
3.7458e-05, 32768
7.4792e-05, 65536
0.000158666, 131072
0.000300125, 262144
0.000605542, 524288
0.001237, 1048576
0.00270096, 2097152
0.00540054, 4194304
6.25e-07, 512
1.208e-06, 1024
2.333e-06, 2048
4.708e-06, 4096
9.375e-06, 8192
1.875e-05, 16384
3.7416e-05, 32768
7.4791e-05, 65536
0.00014975, 131072
0.000307625, 262144
0.00060125, 524288
0.00125817, 1048576
0.00259871, 2097152
0.00530658, 4194304
6.25e-07, 512
1.209e-06, 1024
2.375e-06, 2048
4.709e-06, 4096
9.375e-06, 8192
1.8667e-05, 16384
3.7458e-05, 32768
7.4917e-05, 65536
0.000150167, 131072
0.000300417, 262144
0.000650584, 524288
0.00146696, 1048576
0.00287529, 2097152
0.00561604, 4194304
6.25e-07, 512
1.209e-06, 1024
2.333e-06, 2048
4.709e-06, 4096
9.375e-06, 8192
1.8667e-05, 16384
3.7375e-05, 32768
7.4875e-05, 65536
0.000150084, 131072
0.000302166, 262144
0.000614875, 524288
0.00128883, 1048576
0.00266458, 2097152
0.00536092, 4194304
6.25e-07, 512
1.209e-06, 1024
2.75e-06, 2048
4.709e-06, 4096
1.025e-05, 8192
1.875e-05, 16384
3.7417e-05, 32768
7.4875e-05, 65536
0.000150125, 131072
0.0003, 262144
0.000615083, 524288
0.00127217, 1048576
0.00271917, 2097152
0.00539854, 4194304
5.84e-07, 512
1.208e-06, 1024
2.375e-06, 2048
4.625e-06, 4096
9.416e-06, 8192
1.8708e-05, 16384
3.7458e-05, 32768
7.4959e-05, 65536
0.000189916, 131072
0.000300334, 262144
0.00060275, 524288
0.00127963, 1048576
0.00260854, 2097152
0.005428, 4194304
5.83e-07, 512
1.166e-06, 1024
2.333e-06, 2048
4.667e-06, 4096
9.333e-06, 8192
1.875e-05, 16384
3.75e-05, 32768
7.4834e-05, 65536
0.000149708, 131072
0.0003, 262144
0.000618083, 524288
0.00128479, 1048576
0.00261925, 2097152
0.00543333, 4194304
6.25e-07, 512
1.167e-06, 1024
2.333e-06, 2048
4.667e-06, 4096
9.334e-06, 8192
1.8709e-05, 16384
3.75e-05, 32768
7.5e-05, 65536
0.000149958, 131072
0.000303792, 262144
0.00060375, 524288
0.00138563, 1048576
0.00268517, 2097152
0.00538933, 4194304
5.84e-07, 512
1.167e-06, 1024
2.459e-06, 2048
4.708e-06, 4096
9.375e-06, 8192
2.4458e-05, 16384
3.7417e-05, 32768
7.5292e-05, 65536
0.000149875, 131072
0.000300542, 262144
0.000612666, 524288
0.00129092, 1048576
0.00266879, 2097152
0.00536879, 4194304
5.83e-07, 512
1.166e-06, 1024
2.5e-06, 2048
4.709e-06, 4096
9.334e-06, 8192
1.8709e-05, 16384
3.7458e-05, 32768
7.4834e-05, 65536
0.000149875, 131072
0.000300417, 262144
0.000832334, 524288
0.00124175, 1048576
0.00267608, 2097152
0.00548092, 4194304
6.25e-07, 512
1.167e-06, 1024
2.375e-06, 2048
4.667e-06, 4096
9.375e-06, 8192
1.8666e-05, 16384
4.1291e-05, 32768
7.4834e-05, 65536
0.000160916, 131072
0.000301209, 262144
0.000599375, 524288
0.00124821, 1048576
0.00299438, 2097152
0.00555146, 4194304
5.83e-07, 512
1.208e-06, 1024
2.375e-06, 2048
4.666e-06, 4096
9.334e-06, 8192
1.875e-05, 16384
3.7334e-05, 32768
7.475e-05, 65536
0.000149666, 131072
0.000386542, 262144
0.000600542, 524288
0.00125704, 1048576
0.00326004, 2097152
0.00554675, 4194304
6.25e-07, 512
1.208e-06, 1024
2.375e-06, 2048
4.75e-06, 4096
9.292e-06, 8192
1.8709e-05, 16384
3.7458e-05, 32768
7.4833e-05, 65536
0.000152584, 131072
0.000363083, 262144
0.00073325, 524288
0.00129704, 1048576
0.002658, 2097152
0.00547529, 4194304
6.25e-07, 512
1.208e-06, 1024
2.333e-06, 2048
4.708e-06, 4096
9.417e-06, 8192
1.8709e-05, 16384
5.0416e-05, 32768
7.4791e-05, 65536
0.000149917, 131072
0.000300541, 262144
0.000630083, 524288
0.00125479, 1048576
0.00260258, 2097152
0.0053775, 4194304
5.84e-07, 512
1.208e-06, 1024
3.458e-06, 2048
4.708e-06, 4096
9.375e-06, 8192
1.8667e-05, 16384
3.7375e-05, 32768
7.4833e-05, 65536
0.000150208, 131072
0.000307083, 262144
0.000608875, 524288
0.00127188, 1048576
0.00270858, 2097152
0.00542833, 4194304
6.25e-07, 512
1.208e-06, 1024
2.75e-06, 2048
4.667e-06, 4096
9.334e-06, 8192
1.8666e-05, 16384
3.7458e-05, 32768
7.4833e-05, 65536
0.000149833, 131072
0.0003, 262144
0.000654416, 524288
0.00128142, 1048576
0.00258, 2097152
0.00548421, 4194304
