time, size
1.459e-06, 512
2.875e-06, 1024
7.375e-06, 2048
9.625e-06, 4096
1.9291e-05, 8192
1.875e-05, 16384
3.7416e-05, 32768
7.4917e-05, 65536
0.0001765, 131072
0.000299292, 262144
0.000643708, 524288
0.00123708, 1048576
0.00240988, 2097152
0.004828, 4194304
6.25e-07, 512
1.167e-06, 1024
2.5e-06, 2048
4.666e-06, 4096
9.334e-06, 8192
2.1792e-05, 16384
3.7458e-05, 32768
7.4875e-05, 65536
0.000149709, 131072
0.000299666, 262144
0.000599666, 524288
0.00120312, 1048576
0.00241658, 2097152
0.00486392, 4194304
6.25e-07, 512
1.208e-06, 1024
2.333e-06, 2048
4.667e-06, 4096
9.291e-06, 8192
1.8709e-05, 16384
3.7417e-05, 32768
7.4833e-05, 65536
0.000192416, 131072
0.0003, 262144
0.000599792, 524288
0.00120279, 1048576
0.0024205, 2097152
0.00487963, 4194304
6.25e-07, 512
1.167e-06, 1024
2.667e-06, 2048
4.708e-06, 4096
9.375e-06, 8192
1.875e-05, 16384
3.7458e-05, 32768
7.4875e-05, 65536
0.000149667, 131072
0.000299625, 262144
0.000599666, 524288
0.00120254, 1048576
0.00242158, 2097152
0.00495754, 4194304
6.25e-07, 512
1.167e-06, 1024
2.459e-06, 2048
4.708e-06, 4096
9.375e-06, 8192
1.8708e-05, 16384
3.7416e-05, 32768
7.4834e-05, 65536
0.000149667, 131072
0.000299708, 262144
0.000601083, 524288
0.00120442, 1048576
0.00241646, 2097152
0.00485858, 4194304
6.25e-07, 512
1.208e-06, 1024
2.333e-06, 2048
4.916e-06, 4096
9.292e-06, 8192
1.875e-05, 16384
3.7375e-05, 32768
7.4833e-05, 65536
0.000149708, 131072
0.000300292, 262144
0.0006235, 524288
0.00120754, 1048576
0.00241808, 2097152
0.00485392, 4194304
5.84e-07, 512
1.167e-06, 1024
2.5e-06, 2048
4.958e-06, 4096
9.333e-06, 8192
1.8708e-05, 16384
3.7417e-05, 32768
7.4792e-05, 65536
0.000149709, 131072
0.0003605, 262144
0.000599708, 524288
0.00120567, 1048576
0.00242954, 2097152
0.00492688, 4194304
5.84e-07, 512
1.167e-06, 1024
2.333e-06, 2048
6.583e-06, 4096
9.291e-06, 8192
1.8667e-05, 16384
3.7417e-05, 32768
7.4792e-05, 65536
0.000149958, 131072
0.000436667, 262144
0.000600542, 524288
0.00120504, 1048576
0.00240971, 2097152
0.00492104, 4194304
5.83e-07, 512
1.208e-06, 1024
2.458e-06, 2048
4.709e-06, 4096
9.375e-06, 8192
1.875e-05, 16384
3.7459e-05, 32768
7.4792e-05, 65536
0.000149958, 131072
0.000326959, 262144
0.000599625, 524288
0.00122833, 1048576
0.002526, 2097152
0.00516358, 4194304
5.83e-07, 512
1.209e-06, 1024
2.583e-06, 2048
4.708e-06, 4096
9.375e-06, 8192
1.875e-05, 16384
3.7458e-05, 32768
7.4833e-05, 65536
0.000149917, 131072
0.000386583, 262144
0.000599417, 524288
0.00121779, 1048576
0.00250046, 2097152
0.00507437, 4194304
6.25e-07, 512
1.166e-06, 1024
2.333e-06, 2048
6.958e-06, 4096
9.375e-06, 8192
1.8709e-05, 16384
3.7458e-05, 32768
7.4792e-05, 65536
0.000150208, 131072
0.000438, 262144
0.000624042, 524288
0.00120071, 1048576
0.00251858, 2097152
0.00507838, 4194304
5.84e-07, 512
1.167e-06, 1024
2.5e-06, 2048
4.708e-06, 4096
9.292e-06, 8192
1.9875e-05, 16384
3.7375e-05, 32768
7.4875e-05, 65536
0.000149584, 131072
0.000391375, 262144
0.000601875, 524288
0.00120213, 1048576
0.00251279, 2097152
0.00509075, 4194304
