time, size
8.34e-07, 512
1e-06, 1024
1.292e-06, 2048
1.5e-06, 4096
2.125e-06, 8192
4.375e-06, 16384
1.9209e-05, 32768
3.8333e-05, 65536
7.6167e-05, 131072
0.000153875, 262144
0.000316667, 524288
0.0007745, 1048576
0.00201246, 2097152
0.00442579, 4194304
8.34e-07, 512
1e-06, 1024
2.541e-06, 2048
1.25e-06, 4096
2.125e-06, 8192
4.375e-06, 16384
1.9042e-05, 32768
3.8083e-05, 65536
7.6334e-05, 131072
0.000161917, 262144
0.000320167, 524288
0.000689166, 1048576
0.00195175, 2097152
0.00428604, 4194304
9.58e-07, 512
6.67e-07, 1024
8.75e-07, 2048
1.25e-06, 4096
2.167e-06, 8192
4.458e-06, 16384
1.9084e-05, 32768
3.8041e-05, 65536
7.7125e-05, 131072
0.000157875, 262144
0.000312125, 524288
0.000685042, 1048576
0.00180363, 2097152
0.00429071, 4194304
8.34e-07, 512
8.75e-07, 1024
1.083e-06, 2048
1.209e-06, 4096
2.208e-06, 8192
4.792e-06, 16384
1.9166e-05, 32768
3.7958e-05, 65536
7.6125e-05, 131072
0.000153458, 262144
0.000310459, 524288
0.000656125, 1048576
0.0017835, 2097152
0.00437221, 4194304
8.75e-07, 512
7.08e-07, 1024
9.59e-07, 2048
1.292e-06, 4096
2.209e-06, 8192
4.375e-06, 16384
1.9125e-05, 32768
3.8459e-05, 65536
7.6042e-05, 131072
0.000174459, 262144
0.000316125, 524288
0.000813584, 1048576
0.001882, 2097152
0.00449421, 4194304
8.33e-07, 512
7.92e-07, 1024
9.17e-07, 2048
1.208e-06, 4096
2.125e-06, 8192
4.375e-06, 16384
1.9167e-05, 32768
5.4958e-05, 65536
7.6583e-05, 131072
0.000152792, 262144
0.000330375, 524288
0.000712125, 1048576
0.00212096, 2097152
0.00535279, 4194304
7.5e-07, 512
8.34e-07, 1024
1.334e-06, 2048
1.25e-06, 4096
2.167e-06, 8192
4.417e-06, 16384
1.9125e-05, 32768
3.8083e-05, 65536
7.8542e-05, 131072
0.00015575, 262144
0.000378542, 524288
0.000906458, 1048576
0.00176979, 2097152
0.00424117, 4194304
9.16e-07, 512
8.34e-07, 1024
9.17e-07, 2048
1.292e-06, 4096
2.167e-06, 8192
4.583e-06, 16384
1.9208e-05, 32768
3.8e-05, 65536
7.7458e-05, 131072
0.000153042, 262144
0.0003145, 524288
0.000648959, 1048576
0.00170133, 2097152
0.004255, 4194304
8.75e-07, 512
7.09e-07, 1024
9.17e-07, 2048
1.208e-06, 4096
2.125e-06, 8192
4.583e-06, 16384
1.9125e-05, 32768
3.8084e-05, 65536
7.6208e-05, 131072
0.000154709, 262144
0.00031775, 524288
0.000696, 1048576
0.00190954, 2097152
0.00436367, 4194304
6.67e-07, 512
7.91e-07, 1024
1.416e-06, 2048
1.5e-06, 4096
2.25e-06, 8192
4.666e-06, 16384
1.9084e-05, 32768
