time, size
2.08e-07, 512
3.75e-07, 1024
5.83e-07, 2048
1.542e-06, 4096
3.875e-06, 8192
7.125e-06, 16384
1.6542e-05, 32768
3.2333e-05, 65536
0.000117459, 131072
0.000104292, 262144
0.000209542, 524288
0.000504291, 1048576
0.00106663, 2097152
0.00209125, 4194304
8.3e-08, 512
1.25e-07, 1024
1.66e-07, 2048
1.167e-06, 4096
3.208e-06, 8192
6.625e-06, 16384
1.1917e-05, 32768
2.425e-05, 65536
4.8084e-05, 131072
0.000114417, 262144
0.000210833, 524288
0.000452, 1048576
0.00107521, 2097152
0.00198321, 4194304
8.3e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.333e-06, 4096
3.417e-06, 8192
7.708e-06, 16384
1.4833e-05, 32768
2.85e-05, 65536
4.9041e-05, 131072
0.000103958, 262144
0.000199125, 524288
0.000439958, 1048576
0.00101113, 2097152
0.00203088, 4194304
1.25e-07, 512
1.25e-07, 1024
2.08e-07, 2048
1.166e-06, 4096
3.416e-06, 8192
7.375e-06, 16384
1.3542e-05, 32768
2.4042e-05, 65536
4.825e-05, 131072
0.000137, 262144
0.00019325, 524288
0.000428416, 1048576
0.00098425, 2097152
0.00220558, 4194304
8.3e-08, 512
1.25e-07, 1024
3.75e-07, 2048
1.333e-06, 4096
3.292e-06, 8192
6.417e-06, 16384
1.2917e-05, 32768
2.3583e-05, 65536
4.8709e-05, 131072
9.6e-05, 262144
0.000218583, 524288
0.000454292, 1048576
0.00102938, 2097152
0.00213025, 4194304
8.3e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.334e-06, 4096
3.167e-06, 8192
6.583e-06, 16384
1.2625e-05, 32768
2.7875e-05, 65536
5.2292e-05, 131072
0.000111959, 262144
0.000210416, 524288
0.000464292, 1048576
0.00106221, 2097152
0.00203942, 4194304
1.67e-07, 512
1.25e-07, 1024
2.09e-07, 2048
1.375e-06, 4096
3.375e-06, 8192
8e-06, 16384
1.25e-05, 32768
2.4125e-05, 65536
5.5958e-05, 131072
0.000104541, 262144
0.000208208, 524288
0.000537417, 1048576
0.000998875, 2097152
0.00200617, 4194304
4.2e-08, 512
8.4e-08, 1024
2.09e-07, 2048
1.334e-06, 4096
3.5e-06, 8192
8.334e-06, 16384
1.5209e-05, 32768
2.3208e-05, 65536
4.975e-05, 131072
9.325e-05, 262144
0.000205083, 524288
0.000465375, 1048576
0.00111417, 2097152
0.00209033, 4194304
8.3e-08, 512
8.4e-08, 1024
2.09e-07, 2048
1.333e-06, 4096
4.416e-06, 8192
6.75e-06, 16384
1.2208e-05, 32768
2.6e-05, 65536
5e-05, 131072
0.000116125, 262144
0.00020775, 524288
0.000444875, 1048576
0.00109783, 2097152
0.00205554, 4194304
1.25e-07, 512
1.25e-07, 1024
2.92e-07, 2048
1.5e-06, 4096
3.333e-06, 8192
6.375e-06, 16384
2.4875e-05, 32768
2.3458e-05, 65536
4.7542e-05, 131072
0.000113042, 262144
0.000192208, 524288
0.000423417, 1048576
0.00100371, 2097152
0.00203879, 4194304
8.4e-08, 512
8.3e-08, 1024
2.5e-07, 2048
1.291e-06, 4096
3.416e-06, 8192
6.25e-06, 16384
1.2666e-05, 32768
2.4333e-05, 65536
4.8459e-05, 131072
0.000110625, 262144
0.000184834, 524288
0.000414375, 1048576
0.000939875, 2097152
0.00216225, 4194304
8.4e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.292e-06, 4096
3.375e-06, 8192
6.542e-06, 16384
1.3292e-05, 32768
2.5291e-05, 65536
6e-05, 131072
9.7875e-05, 262144
0.000178708, 524288
0.000514292, 1048576
0.00110892, 2097152
0.00224433, 4194304
8.3e-08, 512
8.4e-08, 1024
1.66e-07, 2048
1.334e-06, 4096
3.5e-06, 8192
7.75e-06, 16384
1.2292e-05, 32768
2.5083e-05, 65536
4.8416e-05, 131072
9.4208e-05, 262144
0.000194583, 524288
0.000453042, 1048576
0.00107092, 2097152
0.00215071, 4194304
8.3e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.292e-06, 4096
3.291e-06, 8192
6.625e-06, 16384
1.2458e-05, 32768
2.4583e-05, 65536
4.9666e-05, 131072
9.7542e-05, 262144
0.000208083, 524288
0.000421042, 1048576
0.000951167, 2097152
0.00211192, 4194304
2.09e-07, 512
8.3e-08, 1024
2.5e-07, 2048
1.334e-06, 4096
3.334e-06, 8192
6.458e-06, 16384
1.325e-05, 32768
2.4917e-05, 65536
5.725e-05, 131072
0.000107541, 262144
0.000192542, 524288
0.000436709, 1048576
0.00102263, 2097152
0.00198558, 4194304
8.3e-08, 512
8.4e-08, 1024
2.08e-07, 2048
1.334e-06, 4096
3.459e-06, 8192
7.708e-06, 16384
1.2375e-05, 32768
2.6792e-05, 65536
5.3e-05, 131072
9.8125e-05, 262144
0.000194667, 524288
0.000465875, 1048576
0.00109675, 2097152
0.00206329, 4194304
8.3e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.375e-06, 4096
3.375e-06, 8192
7.417e-06, 16384
1.2334e-05, 32768
2.325e-05, 65536
4.6417e-05, 131072
0.000127209, 262144
0.000184958, 524288
0.000491625, 1048576
0.000985, 2097152
0.00215542, 4194304
8.4e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.375e-06, 4096
3.375e-06, 8192
6.667e-06, 16384
1.325e-05, 32768
2.6208e-05, 65536
4.5167e-05, 131072
0.000110042, 262144
0.000208958, 524288
0.00042825, 1048576
0.00105017, 2097152
0.002095, 4194304
1.67e-07, 512
2.5e-07, 1024
2.08e-07, 2048
1.333e-06, 4096
6.541e-06, 8192
8.666e-06, 16384
1.2375e-05, 32768
2.5125e-05, 65536
5.7792e-05, 131072
0.000104625, 262144
0.000186, 524288
0.000484666, 1048576
0.00110817, 2097152
0.00199638, 4194304
8.3e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.333e-06, 4096
3.417e-06, 8192
6.834e-06, 16384
1.2875e-05, 32768
2.4291e-05, 65536
4.5625e-05, 131072
9.8042e-05, 262144
0.000203375, 524288
0.000450417, 1048576
0.00116771, 2097152
0.00206533, 4194304
