time, size
1.67e-07, 512
2.92e-07, 1024
3.34e-07, 2048
2.291e-06, 4096
7.917e-06, 8192
6.542e-06, 16384
1.3584e-05, 32768
2.4e-05, 65536
4.6208e-05, 131072
9.1416e-05, 262144
0.000305417, 524288
0.000481792, 1048576
0.00103658, 2097152
0.00265871, 4194304
4.1e-08, 512
8.4e-08, 1024
2.5e-07, 2048
1.334e-06, 4096
3.375e-06, 8192
6.958e-06, 16384
1.1833e-05, 32768
2.6166e-05, 65536
5.125e-05, 131072
0.000121416, 262144
0.000203583, 524288
0.000439209, 1048576
0.00110483, 2097152
0.00210667, 4194304
4.2e-08, 512
8.3e-08, 1024
2.08e-07, 2048
1.333e-06, 4096
3.292e-06, 8192
8.25e-06, 16384
1.2583e-05, 32768
2.4875e-05, 65536
5.2584e-05, 131072
0.000105667, 262144
0.0001945, 524288
0.000440667, 1048576
0.000987375, 2097152
0.00210275, 4194304
4.1e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.25e-06, 4096
3.417e-06, 8192
6.125e-06, 16384
1.2e-05, 32768
2.475e-05, 65536
4.5458e-05, 131072
0.00011175, 262144
0.000198375, 524288
0.00042875, 1048576
0.00100754, 2097152
0.00209325, 4194304
8.3e-08, 512
8.3e-08, 1024
2.08e-07, 2048
1.292e-06, 4096
3.541e-06, 8192
6.542e-06, 16384
1.3667e-05, 32768
2.5334e-05, 65536
5.2333e-05, 131072
0.000110958, 262144
0.000198584, 524288
0.000450833, 1048576
0.000958083, 2097152
0.00195896, 4194304
8.3e-08, 512
8.3e-08, 1024
2.08e-07, 2048
1.292e-06, 4096
3.5e-06, 8192
7.625e-06, 16384
1.2833e-05, 32768
2.475e-05, 65536
4.8458e-05, 131072
9.4041e-05, 262144
0.000199834, 524288
0.000445041, 1048576
0.00105058, 2097152
0.00203313, 4194304
8.3e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.292e-06, 4096
3.5e-06, 8192
8.25e-06, 16384
1.2708e-05, 32768
2.8583e-05, 65536
5.5625e-05, 131072
0.00011075, 262144
0.000195792, 524288
0.000420583, 1048576
0.000989334, 2097152
0.00203517, 4194304
8.3e-08, 512
8.3e-08, 1024
1.66e-07, 2048
1.333e-06, 4096
3.5e-06, 8192
7.167e-06, 16384
1.2e-05, 32768
2.4959e-05, 65536
4.7e-05, 131072
0.000115791, 262144
0.000197042, 524288
0.000480167, 1048576
0.00104058, 2097152
0.00200963, 4194304
4.2e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.292e-06, 4096
3.334e-06, 8192
6.833e-06, 16384
1.3708e-05, 32768
2.825e-05, 65536
4.6667e-05, 131072
0.000111917, 262144
0.000189166, 524288
0.000451209, 1048576
0.000920083, 2097152
0.00215604, 4194304
8.4e-08, 512
1.25e-07, 1024
