time, size
8.3e-08, 512
3.33e-07, 1024
3.33e-07, 2048
2.208e-06, 4096
5.667e-06, 8192
6.917e-06, 16384
1.1542e-05, 32768
2.1333e-05, 65536
4.4208e-05, 131072
9.2542e-05, 262144
0.00020575, 524288
0.000458, 1048576
0.000941458, 2097152
0.00208704, 4194304
4.2e-08, 512
8.3e-08, 1024
1.66e-07, 2048
1.5e-06, 4096
3.167e-06, 8192
5.792e-06, 16384
1.1459e-05, 32768
2.2375e-05, 65536
4.5916e-05, 131072
0.000118, 262144
0.0002025, 524288
0.00047225, 1048576
0.000956542, 2097152
0.00202267, 4194304
8.3e-08, 512
8.4e-08, 1024
1.67e-07, 2048
1.208e-06, 4096
3.125e-06, 8192
6.375e-06, 16384
1.2292e-05, 32768
2.15e-05, 65536
4.7667e-05, 131072
8.8875e-05, 262144
0.0001805, 524288
0.000449584, 1048576
0.00107942, 2097152
0.0020325, 4194304
8.3e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.208e-06, 4096
3.125e-06, 8192
6.5e-06, 16384
1.1917e-05, 32768
2.7209e-05, 65536
4.4167e-05, 131072
9.8833e-05, 262144
0.000194875, 524288
0.000502667, 1048576
0.000973791, 2097152
0.00199529, 4194304
8.3e-08, 512
1.25e-07, 1024
1.67e-07, 2048
1.292e-06, 4096
3.125e-06, 8192
1.0166e-05, 16384
1.1e-05, 32768
2.3791e-05, 65536
5.7667e-05, 131072
9.375e-05, 262144
0.000189708, 524288
0.00042575, 1048576
0.000995958, 2097152
0.00233333, 4194304
4.2e-08, 512
8.3e-08, 1024
2.08e-07, 2048
1.208e-06, 4096
3.208e-06, 8192
5.958e-06, 16384
1.1541e-05, 32768
2.2542e-05, 65536
4.9084e-05, 131072
9.15e-05, 262144
0.000217042, 524288
0.000455458, 1048576
0.00100179, 2097152
0.00208213, 4194304
8.3e-08, 512
1.25e-07, 1024
2.5e-07, 2048
1.208e-06, 4096
3.042e-06, 8192
6.875e-06, 16384
1.2417e-05, 32768
2.3167e-05, 65536
4.2875e-05, 131072
0.0001015, 262144
0.000188584, 524288
0.000408958, 1048576
0.000937167, 2097152
0.00205058, 4194304
8.3e-08, 512
8.4e-08, 1024
1.67e-07, 2048
1.333e-06, 4096
3.167e-06, 8192
5.625e-06, 16384
1.1458e-05, 32768
