time, size
2.5e-07, 512
3.75e-07, 1024
2.417e-06, 2048
4.5e-06, 4096
9.792e-06, 8192
1.7375e-05, 16384
2.5792e-05, 32768
4.4084e-05, 65536
8.7458e-05, 131072
0.000188083, 262144
0.000414291, 524288
0.000897292, 1048576
0.00194775, 2097152
0.00446092, 4194304
2.08e-07, 512
2.09e-07, 1024
1.209e-06, 2048
2.459e-06, 4096
7.333e-06, 8192
1.4167e-05, 16384
2.3583e-05, 32768
5.6333e-05, 65536
0.000107333, 131072
0.000216459, 262144
0.000448875, 524288
0.000972209, 1048576
0.00216842, 2097152
0.00401192, 4194304
8.3e-08, 512
1.67e-07, 1024
1.125e-06, 2048
2.417e-06, 4096
5.75e-06, 8192
1.1792e-05, 16384
2.0875e-05, 32768
4.7167e-05, 65536
0.000103333, 131072
0.000188416, 262144
0.000455625, 524288
0.000902625, 1048576
0.00207725, 2097152
0.00412954, 4194304
1.25e-07, 512
1.67e-07, 1024
1.959e-06, 2048
2.375e-06, 4096
6.542e-06, 8192
1.1042e-05, 16384
2.3417e-05, 32768
4.4083e-05, 65536
0.000106875, 131072
0.000203041, 262144
0.00040975, 524288
0.000888375, 1048576
0.00199425, 2097152
0.00514125, 4194304
8.4e-08, 512
1.66e-07, 1024
2.875e-06, 2048
2.292e-06, 4096
6.083e-06, 8192
1.0625e-05, 16384
2.0792e-05, 32768
4.5417e-05, 65536
8.5458e-05, 131072
0.000207084, 262144
0.000449458, 524288
0.000957041, 1048576
0.00214754, 2097152
0.00406254, 4194304
8.3e-08, 512
2.09e-07, 1024
1.25e-06, 2048
2.333e-06, 4096
5e-06, 8192
1.1625e-05, 16384
2.1375e-05, 32768
4.3375e-05, 65536
0.000113167, 131072
0.000180916, 262144
0.000422375, 524288
0.000927, 1048576
0.00215042, 2097152
0.00407983, 4194304
1.67e-07, 512
1.67e-07, 1024
1.167e-06, 2048
2.292e-06, 4096
5.167e-06, 8192
1.1084e-05, 16384
2.1666e-05, 32768
4.3208e-05, 65536
8.4541e-05, 131072
0.000191375, 262144
0.000563166, 524288
0.000991875, 1048576
0.00197458, 2097152
0.00421029, 4194304
1.25e-07, 512
1.67e-07, 1024
1.125e-06, 2048
2.375e-06, 4096
6.458e-06, 8192
1.0666e-05, 16384
3.1166e-05, 32768
4.2958e-05, 65536
0.000102625, 131072
0.000182375, 262144
0.000469084, 524288
0.000958334, 1048576
0.00194696, 2097152
0.00393579, 4194304
1.25e-07, 512
1.67e-07, 1024
1.209e-06, 2048
2.291e-06, 4096
5.917e-06, 8192
1.1e-05, 16384
2.1959e-05, 32768
4.4875e-05, 65536
0.000128083, 131072
0.000185958, 262144
0.00044225, 524288
0.00093675, 1048576
0.00212821, 2097152
0.00392992, 4194304
2.09e-07, 512
1.67e-07, 1024
1.625e-06, 2048
2.458e-06, 4096
5.708e-06, 8192
1.0417e-05, 16384
2.0625e-05, 32768
4.375e-05, 65536
9.3334e-05, 131072
0.000189667, 262144
0.000492833, 524288
0.000958166, 1048576
0.00201496, 2097152
0.00398608, 4194304
1.25e-07, 512
2.5e-07, 1024
1.25e-06, 2048
2.5e-06, 4096
5.75e-06, 8192
1.125e-05, 16384
2.1417e-05, 32768
4.4958e-05, 65536
9.9791e-05, 131072
0.000203125, 262144
0.000453, 524288
0.00129713, 1048576
0.00357342, 2097152
0.0067, 4194304
2.5e-07, 512
1.67e-07, 1024
1.292e-06, 2048
2.375e-06, 4096
5.125e-06, 8192
1.1333e-05, 16384
2.1083e-05, 32768
4.4542e-05, 65536
8.7542e-05, 131072
0.000211083, 262144
0.000554458, 524288
0.00100967, 1048576
0.0022635, 2097152
0.00416738, 4194304
1.67e-07, 512
2.5e-07, 1024
1.208e-06, 2048
2.375e-06, 4096
5.042e-06, 8192
1.2e-05, 16384
2.0667e-05, 32768
4.2125e-05, 65536
9.1625e-05, 131072
0.000181834, 262144
0.000413166, 524288
0.000876459, 1048576
0.00203175, 2097152
0.0040395, 4194304
1.66e-07, 512
2.08e-07, 1024
1.25e-06, 2048
2.334e-06, 4096
6.208e-06, 8192
1.1833e-05, 16384
2.4416e-05, 32768
4.1042e-05, 65536
9.3042e-05, 131072
0.000184625, 262144
0.000427416, 524288
0.000968917, 1048576
0.00203642, 2097152
0.00400654, 4194304
1.25e-07, 512
1.67e-07, 1024
1.292e-06, 2048
2.292e-06, 4096
6.208e-06, 8192
1.3041e-05, 16384
2.2167e-05, 32768
4.5125e-05, 65536
8.6792e-05, 131072
0.000196375, 262144
0.000417125, 524288
0.000902292, 1048576
0.00268379, 2097152
