time, size
2.92e-07, 512
3.75e-07, 1024
2.5e-06, 2048
6.25e-06, 4096
1.3042e-05, 8192
1.9834e-05, 16384
3.6584e-05, 32768
6.8833e-05, 65536
0.000126667, 131072
0.000296459, 262144
0.000540292, 524288
0.00110721, 1048576
0.00328775, 2097152
0.00669571, 4194304
8.3e-08, 512
2.08e-07, 1024
1.375e-06, 2048
3.458e-06, 4096
7.125e-06, 8192
1.4e-05, 16384
2.4709e-05, 32768
4.7292e-05, 65536
9.85e-05, 131072
0.000189333, 262144
0.000622041, 524288
0.00105421, 1048576
0.0020825, 2097152
0.00866, 4194304
1.25e-07, 512
1.67e-07, 1024
1.417e-06, 2048
3.542e-06, 4096
7.667e-06, 8192
1.4125e-05, 16384
2.4792e-05, 32768
4.9542e-05, 65536
9.7667e-05, 131072
0.000208209, 262144
0.00046175, 524288
0.00117992, 1048576
0.00217692, 2097152
0.00552525, 4194304
1.25e-07, 512
2.09e-07, 1024
1.333e-06, 2048
4.417e-06, 4096
7.083e-06, 8192
1.2625e-05, 16384
2.7041e-05, 32768
4.7041e-05, 65536
0.000112125, 131072
0.000186875, 262144
0.000416958, 524288
0.000937291, 1048576
0.00211338, 2097152
0.00428375, 4194304
1.25e-07, 512
2.09e-07, 1024
3.25e-06, 2048
3.333e-06, 4096
6.666e-06, 8192
1.3125e-05, 16384
2.2791e-05, 32768
4.6583e-05, 65536
9.575e-05, 131072
0.00021175, 262144
0.000424834, 524288
0.000979333, 1048576
0.00206563, 2097152
0.00399163, 4194304
1.25e-07, 512
1.67e-07, 1024
1.375e-06, 2048
3.5e-06, 4096
8.041e-06, 8192
1.2416e-05, 16384
2.35e-05, 32768
4.6209e-05, 65536
9.475e-05, 131072
0.000195958, 262144
0.000594833, 524288
0.00101788, 1048576
0.00204342, 2097152
0.00404658, 4194304
1.25e-07, 512
1.67e-07, 1024
1.833e-06, 2048
3.458e-06, 4096
6.458e-06, 8192
1.3333e-05, 16384
2.7959e-05, 32768
4.9792e-05, 65536
0.000107042, 131072
0.000198958, 262144
0.000458666, 524288
0.00103042, 1048576
0.00222763, 2097152
0.00476421, 4194304
8.3e-08, 512
2.08e-07, 1024
1.5e-06, 2048
3.375e-06, 4096
7e-06, 8192
1.3333e-05, 16384
2.3875e-05, 32768
4.7792e-05, 65536
9.4375e-05, 131072
0.000218459, 262144
0.000419333, 524288
0.00100708, 1048576
0.00217371, 2097152
0.00479579, 4194304
1.25e-07, 512
2.08e-07, 1024
1.375e-06, 2048
3.666e-06, 4096
7.542e-06, 8192
1.2542e-05, 16384
2.4875e-05, 32768
6.6459e-05, 65536
0.000102458, 131072
0.000201292, 262144
0.000465125, 524288
0.000982792, 1048576
0.00231621, 2097152
0.00433263, 4194304
1.25e-07, 512
2.09e-07, 1024
1.334e-06, 2048
4.125e-06, 4096
6.542e-06, 8192
1.2083e-05, 16384
2.3917e-05, 32768
4.9625e-05, 65536
0.000130875, 131072
0.00019825, 262144
0.000427625, 524288
0.00101563, 1048576
0.00208454, 2097152
0.00434488, 4194304
8.3e-08, 512
1.67e-07, 1024
1.292e-06, 2048
3.041e-06, 4096
5.958e-06, 8192
1.2167e-05, 16384
2.4e-05, 32768
4.5959e-05, 65536
9.3292e-05, 131072
0.000193833, 262144
0.000435458, 524288
0.00106888, 1048576
0.00242604, 2097152
0.00446121, 4194304
1.25e-07, 512
2.08e-07, 1024
1.292e-06, 2048
3.875e-06, 4096
6.875e-06, 8192
1.225e-05, 16384
2.8083e-05, 32768
5.1791e-05, 65536
0.000107208, 131072
0.000230167, 262144
0.000519209, 524288
0.00102004, 1048576
0.00212454, 2097152
0.00426958, 4194304
8.3e-08, 512
1.67e-07, 1024
1.25e-06, 2048
3.334e-06, 4096
6.292e-06, 8192
1.3417e-05, 16384
2.5708e-05, 32768
4.7417e-05, 65536
9.8875e-05, 131072
0.000195917, 262144
0.000472125, 524288
0.00103004, 1048576
0.00219921, 2097152
0.00451713, 4194304
8.3e-08, 512
1.67e-07, 1024
1.334e-06, 2048
3.458e-06, 4096
6.333e-06, 8192
1.3209e-05, 16384
2.4375e-05, 32768
4.6167e-05, 65536
9.55e-05, 131072
0.000190583, 262144
0.000431625, 524288
0.00112221, 1048576
0.00226025, 2097152
0.00435971, 4194304
1.25e-07, 512
2.09e-07, 1024
1.333e-06, 2048
3.458e-06, 4096
6.959e-06, 8192
1.3375e-05, 16384
2.2833e-05, 32768
4.7084e-05, 65536
0.000100458, 131072
0.000202375, 262144
0.000559792, 524288
0.00121492, 1048576
0.00227863, 2097152
0.00435571, 4194304
1.25e-07, 512
2.09e-07, 1024
1.333e-06, 2048
3.375e-06, 4096
6.083e-06, 8192
1.225e-05, 16384
2.4291e-05, 32768
5.0083e-05, 65536
9.6625e-05, 131072
0.000192959, 262144
0.000493667, 524288
0.00100913, 1048576
0.00233538, 2097152
0.00441304, 4194304
1.25e-07, 512
1.67e-07, 1024
1.417e-06, 2048
3.459e-06, 4096
6.75e-06, 8192
1.3167e-05, 16384
2.5166e-05, 32768
6.4208e-05, 65536
0.000100792, 131072
0.000193209, 262144
0.000427041, 524288
0.000905583, 1048576
0.00214808, 2097152
0.00424138, 4194304
8.3e-08, 512
2.09e-07, 1024
1.375e-06, 2048
3.5e-06, 4096
6.458e-06, 8192
1.3167e-05, 16384
2.6084e-05, 32768
4.5625e-05, 65536
0.000108541, 131072
0.000191917, 262144
0.000399, 524288
0.00111567, 1048576
0.00306854, 2097152
0.00494229, 4194304
1.25e-07, 512
2.08e-07, 1024
1.292e-06, 2048
3.417e-06, 4096
7.333e-06, 8192
1.2125e-05, 16384
3.7875e-05, 32768
4.9041e-05, 65536
0.000110625, 131072
0.000196334, 262144
0.0004175, 524288
0.000924125, 1048576
0.00730604, 2097152
0.00950375, 4194304
1.25e-07, 512
2.5e-07, 1024
7.458e-06, 2048
3.833e-06, 4096
7.458e-06, 8192
1.4417e-05, 16384
3e-05, 32768
5.6125e-05, 65536
0.000154583, 131072
0.000298167, 262144
0.000515792, 524288
0.00115258, 1048576
0.00274346, 2097152
0.00776546, 4194304
