time, size
1.25e-07, 512
5e-07, 1024
2.625e-06, 2048
4.625e-06, 4096
7.292e-06, 8192
1.375e-05, 16384
2.3292e-05, 32768
5.1583e-05, 65536
0.000108125, 131072
0.00018325, 262144
0.000479292, 524288
0.00107283, 1048576
0.00196437, 2097152
0.0049185, 4194304
1.25e-07, 512
2.08e-07, 1024
1.458e-06, 2048
3.5e-06, 4096
6.459e-06, 8192
1.3875e-05, 16384
2.6375e-05, 32768
5.7625e-05, 65536
9.7792e-05, 131072
0.000191208, 262144
0.000446917, 524288
0.00108446, 1048576
0.00208667, 2097152
0.00419596, 4194304
1.25e-07, 512
2.09e-07, 1024
1.292e-06, 2048
3.542e-06, 4096
6.125e-06, 8192
1.225e-05, 16384
2.2875e-05, 32768
4.6959e-05, 65536
0.000106833, 131072
0.000249042, 262144
0.000398667, 524288
0.000896042, 1048576
0.00212538, 2097152
0.00394188, 4194304
8.3e-08, 512
1.67e-07, 1024
1.166e-06, 2048
3.375e-06, 4096
6.625e-06, 8192
1.3375e-05, 16384
2.4666e-05, 32768
4.7666e-05, 65536
0.000129958, 131072
0.000211792, 262144
0.000456917, 524288
0.000920459, 1048576
0.00215371, 2097152
0.00400279, 4194304
1.25e-07, 512
2.08e-07, 1024
1.334e-06, 2048
3.375e-06, 4096
7.542e-06, 8192
1.3125e-05, 16384
2.4916e-05, 32768
4.5208e-05, 65536
9.0709e-05, 131072
0.000189083, 262144
0.0005265, 524288
0.000932625, 1048576
0.00204142, 2097152
0.00411954, 4194304
8.3e-08, 512
1.66e-07, 1024
2.083e-06, 2048
4.25e-06, 4096
6.416e-06, 8192
1.35e-05, 16384
2.45e-05, 32768
4.7292e-05, 65536
0.000107875, 131072
0.000194209, 262144
0.000424333, 524288
0.000974333, 1048576
0.002124, 2097152
0.00408413, 4194304
1.25e-07, 512
2.08e-07, 1024
1.25e-06, 2048
3.375e-06, 4096
6.541e-06, 8192
1.4542e-05, 16384
2.55e-05, 32768
4.7875e-05, 65536
9.8625e-05, 131072
0.000206125, 262144
0.000442125, 524288
0.000897583, 1048576
0.00232254, 2097152
0.00426175, 4194304
8.3e-08, 512
2.08e-07, 1024
1.25e-06, 2048
3.917e-06, 4096
5.917e-06, 8192
1.3083e-05, 16384
2.5167e-05, 32768
4.55e-05, 65536
0.000106834, 131072
0.000212583, 262144
0.000412125, 524288
0.000949417, 1048576
0.00205513, 2097152
0.00412258, 4194304
1.25e-07, 512
2.08e-07, 1024
1.417e-06, 2048
3.458e-06, 4096
6.542e-06, 8192
1.2541e-05, 16384
2.55e-05, 32768
4.6208e-05, 65536
0.000103458, 131072
0.000198, 262144
0.000447709, 524288
0.000995417, 1048576
0.00206183, 2097152
0.00425283, 4194304
8.3e-08, 512
1.67e-07, 1024
1.292e-06, 2048
3.416e-06, 4096
6.917e-06, 8192
1.2584e-05, 16384
2.4792e-05, 32768
4.5166e-05, 65536
0.000103833, 131072
0.000214084, 262144
0.000476208, 524288
0.000980708, 1048576
0.00208763, 2097152
0.00421704, 4194304
8.3e-08, 512
2.08e-07, 1024
1.375e-06, 2048
3.375e-06, 4096
7e-06, 8192
1.2958e-05, 16384
2.4458e-05, 32768
4.575e-05, 65536
0.000107458, 131072
0.000190666, 262144
0.000429167, 524288
0.000949542, 1048576
0.00213608, 2097152
0.00405404, 4194304
8.4e-08, 512
2.08e-07, 1024
1.416e-06, 2048
3.333e-06, 4096
6.334e-06, 8192
1.3166e-05, 16384
8.0833e-05, 32768
4.7084e-05, 65536
0.000104291, 131072
0.000191209, 262144
0.000428958, 524288
0.000925792, 1048576
0.002069, 2097152
0.00414879, 4194304
8.3e-08, 512
2.08e-07, 1024
1.5e-06, 2048
3.292e-06, 4096
7.916e-06, 8192
