time, size
2.08e-07, 512
4.16e-07, 1024
2.292e-06, 2048
5.75e-06, 4096
9.167e-06, 8192
1.875e-05, 16384
2.9334e-05, 32768
4.5584e-05, 65536
9.2125e-05, 131072
0.00022325, 262144
0.00248796, 524288
0.000927167, 1048576
0.00205717, 2097152
0.00411304, 4194304
1.25e-07, 512
1.67e-07, 1024
1.167e-06, 2048
4.125e-06, 4096
6.209e-06, 8192
1.2958e-05, 16384
2.4666e-05, 32768
4.4375e-05, 65536
8.9666e-05, 131072
0.000180416, 262144
0.000408959, 524288
0.000991083, 1048576
0.002021, 2097152
0.00420475, 4194304
8.3e-08, 512
1.67e-07, 1024
1.958e-06, 2048
5.625e-06, 4096
5.917e-06, 8192
1.1792e-05, 16384
2.3e-05, 32768
4.5833e-05, 65536
9.3708e-05, 131072
0.000183792, 262144
0.000440875, 524288
0.0009465, 1048576
0.00205375, 2097152
0.00390467, 4194304
1.25e-07, 512
1.67e-07, 1024
1.25e-06, 2048
3e-06, 4096
7.25e-06, 8192
1.1666e-05, 16384
2.2958e-05, 32768
4.6125e-05, 65536
0.000100542, 131072
0.000184291, 262144
0.000403291, 524288
0.000935416, 1048576
0.00198029, 2097152
0.00427675, 4194304
1.25e-07, 512
2.09e-07, 1024
1.209e-06, 2048
3e-06, 4096
6.084e-06, 8192
1.1541e-05, 16384
2.3459e-05, 32768
4.5625e-05, 65536
9.0125e-05, 131072
0.000187916, 262144
0.000624417, 524288
0.000924292, 1048576
0.00196542, 2097152
0.00406338, 4194304
8.3e-08, 512
2.08e-07, 1024
1.416e-06, 2048
3.125e-06, 4096
7.291e-06, 8192
1.1666e-05, 16384
2.4542e-05, 32768
4.5708e-05, 65536
8.8542e-05, 131072
0.000201416, 262144
0.000419958, 524288
0.000939333, 1048576
0.00309367, 2097152
0.00468613, 4194304
2.92e-07, 512
1.67e-07, 1024
1.541e-06, 2048
3.125e-06, 4096
6.375e-06, 8192
1.3708e-05, 16384
2.2959e-05, 32768
4.5583e-05, 65536
8.8542e-05, 131072
0.000197042, 262144
0.000442417, 524288
0.000906792, 1048576
0.00179433, 2097152
0.00432692, 4194304
1.25e-07, 512
2.08e-07, 1024
1.375e-06, 2048
3.292e-06, 4096
7.208e-06, 8192
1.2542e-05, 16384
2.1583e-05, 32768
4.4209e-05, 65536
9.2417e-05, 131072
0.00018725, 262144
0.00038, 524288
0.000853291, 1048576
0.00203704, 2097152
0.00414275, 4194304
1.25e-07, 512
1.66e-07, 1024
1.291e-06, 2048
3.041e-06, 4096
6.667e-06, 8192
1.1375e-05, 16384
2.4375e-05, 32768
4.2042e-05, 65536
0.000109958, 131072
0.000186125, 262144
0.000457167, 524288
0.00097375, 1048576
0.00227029, 2097152
0.00397429, 4194304
8.3e-08, 512
1.67e-07, 1024
1.25e-06, 2048
3e-06, 4096
6e-06, 8192
1.2042e-05, 16384
2.3291e-05, 32768
4.4458e-05, 65536
0.000102208, 131072
0.000182666, 262144
0.00044725, 524288
0.00101329, 1048576
0.00225754, 2097152
0.00418825, 4194304
8.3e-08, 512
2.09e-07, 1024
1.416e-06, 2048
3.125e-06, 4096
5.833e-06, 8192
1.2084e-05, 16384
2.3708e-05, 32768
4.4541e-05, 65536
0.000106208, 131072
0.000185917, 262144
0.000429375, 524288
0.000973667, 1048576
0.0019565, 2097152
0.00387329, 4194304
2.5e-07, 512
2.09e-07, 1024
1.083e-06, 2048
3.083e-06, 4096
6.125e-06, 8192
1.175e-05, 16384
2.525e-05, 32768
4.6209e-05, 65536
9.8125e-05, 131072
0.000181959, 262144
0.000431583, 524288
0.000960333, 1048576
0.00206088, 2097152
0.00402038, 4194304
1.25e-07, 512
1.66e-07, 1024
1.209e-06, 2048
3e-06, 4096
6.625e-06, 8192
1.1667e-05, 16384
2.4625e-05, 32768
4.3542e-05, 65536
8.5833e-05, 131072
0.000193584, 262144
0.000400958, 524288
0.000952542, 1048576
0.00268375, 2097152
0.00391992, 4194304
1.25e-07, 512
2.08e-07, 1024
1.167e-06, 2048
3.084e-06, 4096
6.208e-06, 8192
1.1958e-05, 16384
2.5375e-05, 32768
4.2375e-05, 65536
9.4166e-05, 131072
0.000186791, 262144
0.0003885, 524288
0.00095875, 1048576
0.00196288, 2097152
0.00410771, 4194304
8.3e-08, 512
1.66e-07, 1024
1.584e-06, 2048
3.208e-06, 4096
5.958e-06, 8192
1.1667e-05, 16384
2.1875e-05, 32768
4.5208e-05, 65536
8.9584e-05, 131072
0.000180167, 262144
0.000422583, 524288
0.00100229, 1048576
0.00203717, 2097152
0.00409787, 4194304
8.3e-08, 512
2.08e-07, 1024
1.125e-06, 2048
3e-06, 4096
