time, size
5.84e-07, 512
8.75e-07, 1024
2.833e-06, 2048
5.625e-06, 4096
6.625e-06, 8192
1.2166e-05, 16384
2.7334e-05, 32768
4.9208e-05, 65536
0.000112834, 131072
0.000198, 262144
0.000428833, 524288
0.000983875, 1048576
0.00278667, 2097152
0.00438533, 4194304
2.09e-07, 512
3.34e-07, 1024
1.625e-06, 2048
3.125e-06, 4096
6.958e-06, 8192
1.4167e-05, 16384
2.7708e-05, 32768
5.1916e-05, 65536
0.000115625, 131072
0.000206209, 262144
0.000449291, 524288
0.000996209, 1048576
0.00208525, 2097152
0.00416075, 4194304
1.67e-07, 512
3.33e-07, 1024
1.667e-06, 2048
3e-06, 4096
6.166e-06, 8192
1.6667e-05, 16384
2.3583e-05, 32768
4.9375e-05, 65536
0.000104959, 131072
0.000196084, 262144
0.000454833, 524288
0.0009605, 1048576
0.00216083, 2097152
0.00437021, 4194304
1.67e-07, 512
3.34e-07, 1024
2.083e-06, 2048
4e-06, 4096
7.375e-06, 8192
1.1916e-05, 16384
2.3291e-05, 32768
4.9542e-05, 65536
9.6166e-05, 131072
0.000195917, 262144
0.000453, 524288
0.000978167, 1048576
0.00233342, 2097152
0.00417592, 4194304
1.66e-07, 512
3.33e-07, 1024
1.375e-06, 2048
3.083e-06, 4096
6.333e-06, 8192
1.3125e-05, 16384
2.3292e-05, 32768
4.7625e-05, 65536
0.00013425, 131072
0.000214625, 262144
0.000414209, 524288
0.00103271, 1048576
0.00202608, 2097152
0.00400842, 4194304
2.08e-07, 512
3.33e-07, 1024
2.458e-06, 2048
3e-06, 4096
6.916e-06, 8192
1.4042e-05, 16384
2.5125e-05, 32768
5.2666e-05, 65536
0.000102084, 131072
0.000198166, 262144
0.000498875, 524288
0.00099325, 1048576
0.00209396, 2097152
0.00423646, 4194304
2.08e-07, 512
3.33e-07, 1024
2.042e-06, 2048
3.042e-06, 4096
6.333e-06, 8192
1.1958e-05, 16384
2.625e-05, 32768
5.075e-05, 65536
0.000100667, 131072
0.000199375, 262144
0.000421542, 524288
0.00103146, 1048576
0.00213404, 2097152
0.00429683, 4194304
2.5e-07, 512
3.34e-07, 1024
