time, size
8.75e-07, 512
9.58e-07, 1024
1.708e-06, 2048
4.417e-06, 4096
7.75e-06, 8192
1.1625e-05, 16384
2.3875e-05, 32768
4.7042e-05, 65536
9.7125e-05, 131072
0.000196375, 262144
0.000388958, 524288
0.00098225, 1048576
0.00247467, 2097152
0.00500883, 4194304
2.5e-07, 512
4.58e-07, 1024
8.34e-07, 2048
2.041e-06, 4096
4.042e-06, 8192
1.175e-05, 16384
2.3917e-05, 32768
4.5041e-05, 65536
9.5e-05, 131072
0.000189833, 262144
0.000395291, 524288
0.00091725, 1048576
0.00255671, 2097152
0.00507096, 4194304
3.75e-07, 512
3.75e-07, 1024
7.08e-07, 2048
2e-06, 4096
4.5e-06, 8192
1.1666e-05, 16384
2.3375e-05, 32768
4.55e-05, 65536
9.175e-05, 131072
0.000193292, 262144
0.000379458, 524288
0.00132829, 1048576
0.00244996, 2097152
0.00497238, 4194304
3.33e-07, 512
7.09e-07, 1024
7.92e-07, 2048
2.042e-06, 4096
4.292e-06, 8192
1.2792e-05, 16384
2.25e-05, 32768
4.475e-05, 65536
8.9916e-05, 131072
0.00021125, 262144
0.000381792, 524288
0.000890625, 1048576
0.00245275, 2097152
0.00503425, 4194304
2.5e-07, 512
4.17e-07, 1024
7.92e-07, 2048
2.166e-06, 4096
4e-06, 8192
1.3208e-05, 16384
2.2917e-05, 32768
4.9041e-05, 65536
9.0208e-05, 131072
0.000192375, 262144
0.000392042, 524288
0.000947209, 1048576
0.00234308, 2097152
0.00506779, 4194304
2.5e-07, 512
5.83e-07, 1024
8.33e-07, 2048
2.041e-06, 4096
4.166e-06, 8192
1.2125e-05, 16384
2.2417e-05, 32768
4.8209e-05, 65536
9.1666e-05, 131072
0.000196708, 262144
0.000387833, 524288
0.000870834, 1048576
0.00249792, 2097152
0.00493579, 4194304
2.92e-07, 512
4.17e-07, 1024
6.67e-07, 2048
2.208e-06, 4096
4.083e-06, 8192
1.1875e-05, 16384
2.5875e-05, 32768
4.5625e-05, 65536
9.0916e-05, 131072
0.000194917, 262144
0.0003965, 524288
0.000986042, 1048576
0.00254196, 2097152
0.00503404, 4194304
2.92e-07, 512
6.25e-07, 1024
1e-06, 2048
2.084e-06, 4096
4.167e-06, 8192
1.1708e-05, 16384
2.2542e-05, 32768
4.6e-05, 65536
9.3958e-05, 131072
0.0001935, 262144
0.000387292, 524288
0.000891333, 1048576
0.00245921, 2097152
0.00516917, 4194304
2.92e-07, 512
6.66e-07, 1024
6.25e-07, 2048
1.958e-06, 4096
4.166e-06, 8192
1.1667e-05, 16384
2.3042e-05, 32768
4.5917e-05, 65536
8.9708e-05, 131072
0.000189125, 262144
0.00040775, 524288
0.0009735, 1048576
0.00244625, 2097152
0.00489988, 4194304
3.33e-07, 512
4.17e-07, 1024
7.09e-07, 2048
2e-06, 4096
4.291e-06, 8192
1.1666e-05, 16384
2.3208e-05, 32768
4.9459e-05, 65536
9.4375e-05, 131072
0.00019225, 262144
0.00038625, 524288
0.000892084, 1048576
0.00244683, 2097152
0.00501617, 4194304
2.91e-07, 512
4.17e-07, 1024
1.25e-06, 2048
1.958e-06, 4096
4.083e-06, 8192
1.1708e-05, 16384
2.3e-05, 32768
4.65e-05, 65536
9.2625e-05, 131072
0.000198625, 262144
0.000409583, 524288
0.000910083, 1048576
0.00248833, 2097152
0.00489783, 4194304
3.75e-07, 512
4.58e-07, 1024
8.75e-07, 2048
1.959e-06, 4096
4.041e-06, 8192
1.3167e-05, 16384
2.325e-05, 32768
4.5583e-05, 65536
9.6041e-05, 131072
0.000196375, 262144
0.000390084, 524288
0.000870375, 1048576
0.00253279, 2097152
0.00497383, 4194304
2.5e-07, 512
4.58e-07, 1024
6.67e-07, 2048
2e-06, 4096
5e-06, 8192
1.2333e-05, 16384
2.4208e-05, 32768
4.5708e-05, 65536
9.2708e-05, 131072
0.000214042, 262144
0.000373917, 524288
0.000997042, 1048576
0.00261554, 2097152
0.00487867, 4194304
3.75e-07, 512
5.84e-07, 1024
6.66e-07, 2048
2.084e-06, 4096
4.208e-06, 8192
1.2458e-05, 16384
2.2792e-05, 32768
5.0292e-05, 65536
9.1875e-05, 131072
0.000188083, 262144
0.000405458, 524288
0.000914416, 1048576
0.00243508, 2097152
0.0058305, 4194304
3.33e-07, 512
5e-07, 1024
6.66e-07, 2048
2e-06, 4096
4.125e-06, 8192
1.275e-05, 16384
2.2708e-05, 32768
4.6417e-05, 65536
9.2084e-05, 131072
0.000185042, 262144
0.000393958, 524288
0.000953333, 1048576
0.0023655, 2097152
0.00494221, 4194304
3.33e-07, 512
4.58e-07, 1024
8.75e-07, 2048
2.125e-06, 4096
4.208e-06, 8192
1.2791e-05, 16384
2.2375e-05, 32768
4.6167e-05, 65536
9.2458e-05, 131072
0.000192625, 262144
0.000378709, 524288
0.00098125, 1048576
0.00237725, 2097152
0.005063, 4194304
2.5e-07, 512
3.75e-07, 1024
7.08e-07, 2048
2e-06, 4096
4.041e-06, 8192
1.175e-05, 16384
2.2792e-05, 32768
4.7583e-05, 65536
9.1458e-05, 131072
0.000189958, 262144
0.000385084, 524288
0.000885458, 1048576
0.00237908, 2097152
0.00487196, 4194304
3.33e-07, 512
7.5e-07, 1024
5.84e-07, 2048
2.917e-06, 4096
4.125e-06, 8192
1.2166e-05, 16384
2.3625e-05, 32768
4.575e-05, 65536
9.4083e-05, 131072
0.000189125, 262144
0.00037375, 524288
0.000895209, 1048576
0.00235117, 2097152
0.00500525, 4194304
3.33e-07, 512
3.75e-07, 1024
6.25e-07, 2048
2e-06, 4096
4.292e-06, 8192
1.2709e-05, 16384
2.25e-05, 32768
4.5625e-05, 65536
9.3375e-05, 131072
0.000188125, 262144
0.000394375, 524288
0.000870084, 1048576
0.00241788, 2097152
0.00489933, 4194304
3.33e-07, 512
3.75e-07, 1024
8.34e-07, 2048
2.125e-06, 4096
5.083e-06, 8192
1.1542e-05, 16384
2.3041e-05, 32768
4.525e-05, 65536
9e-05, 131072
0.000197209, 262144
0.000380208, 524288
0.000875875, 1048576
0.00254842, 2097152
0.0049115, 4194304
