time, size
9.16e-07, 512
1.208e-06, 1024
1.334e-06, 2048
2.25e-06, 4096
4e-06, 8192
1.7875e-05, 16384
3.5958e-05, 32768
7.2e-05, 65536
0.000154458, 131072
0.000383916, 262144
0.000625833, 524288
0.00145533, 1048576
0.00402829, 2097152
0.00840104, 4194304
5e-07, 512
4.16e-07, 1024
7.5e-07, 2048
3.125e-06, 4096
4.041e-06, 8192
1.8666e-05, 16384
3.6083e-05, 32768
7.325e-05, 65536
0.00014325, 131072
0.000290875, 262144
0.000666833, 524288
0.00178242, 1048576
0.00415771, 2097152
0.00839367, 4194304
3.75e-07, 512
5.42e-07, 1024
9.58e-07, 2048
2.042e-06, 4096
4.125e-06, 8192
1.825e-05, 16384
3.55e-05, 32768
7.0959e-05, 65536
0.000144042, 131072
0.000286125, 262144
0.000608791, 524288
0.00138875, 1048576
0.00387292, 2097152
0.00866279, 4194304
3.75e-07, 512
5.84e-07, 1024
1.791e-06, 2048
2.291e-06, 4096
4.042e-06, 8192
1.7e-05, 16384
3.6583e-05, 32768
7.4375e-05, 65536
0.000148875, 131072
0.000285042, 262144
0.000599584, 524288
0.00137137, 1048576
0.00375071, 2097152
0.00839217, 4194304
2.92e-07, 512
4.16e-07, 1024
1.083e-06, 2048
2.5e-06, 4096
4e-06, 8192
1.7958e-05, 16384
3.5667e-05, 32768
7.1041e-05, 65536
0.00014425, 131072
0.000289708, 262144
0.000699417, 524288
0.00142125, 1048576
0.00391883, 2097152
0.00871279, 4194304
4.17e-07, 512
4.58e-07, 1024
1.042e-06, 2048
2e-06, 4096
4.291e-06, 8192
1.7292e-05, 16384
3.7708e-05, 32768
7.0375e-05, 65536
0.000144291, 131072
0.000293958, 262144
0.000617834, 524288
0.00129521, 1048576
0.00375333, 2097152
0.00847883, 4194304
3.75e-07, 512
4.58e-07, 1024
1.291e-06, 2048
2.083e-06, 4096
4.292e-06, 8192
1.8209e-05, 16384
3.575e-05, 32768
8.8208e-05, 65536
0.000143375, 131072
0.000293583, 262144
0.000589209, 524288
0.00135313, 1048576
0.00386633, 2097152
0.00922175, 4194304
3.75e-07, 512
4.58e-07, 1024
1.084e-06, 2048
2.333e-06, 4096
4e-06, 8192
1.7333e-05, 16384
3.5333e-05, 32768
8.0458e-05, 65536
0.00017325, 131072
0.000411875, 262144
0.0006015, 524288
0.00142633, 1048576
0.00397088, 2097152
0.00872558, 4194304
3.75e-07, 512
4.17e-07, 1024
7.08e-07, 2048
2e-06, 4096
5.25e-06, 8192
1.775e-05, 16384
3.5334e-05, 32768
7.1041e-05, 65536
0.00017625, 131072
0.00028875, 262144
0.00058325, 524288
0.00137758, 1048576
0.00425904, 2097152
0.00991542, 4194304
3.33e-07, 512
6.25e-07, 1024
7.08e-07, 2048
3.333e-06, 4096
4.834e-06, 8192
1.8459e-05, 16384
3.7584e-05, 32768
0.000137708, 65536
0.000153292, 131072
0.00030125, 262144
0.000648834, 524288
0.00154408, 1048576
0.00377875, 2097152
0.00915438, 4194304
4.58e-07, 512
4.17e-07, 1024
1.25e-06, 2048
2.25e-06, 4096
4.584e-06, 8192
1.7708e-05, 16384
3.5542e-05, 32768
7.5e-05, 65536
0.000145542, 131072
0.000293334, 262144
0.000612416, 524288
0.00146908, 1048576
0.00387483, 2097152
0.00825854, 4194304
3.34e-07, 512
5e-07, 1024
7.09e-07, 2048
2.25e-06, 4096
4.125e-06, 8192
1.7292e-05, 16384
3.5791e-05, 32768
7.1375e-05, 65536
0.000147875, 131072
0.00029525, 262144
0.000620916, 524288
0.00176013, 1048576
0.00410638, 2097152
0.00847504, 4194304
3.75e-07, 512
5.83e-07, 1024
1.167e-06, 2048
2.084e-06, 4096
4.292e-06, 8192
1.75e-05, 16384
3.7334e-05, 32768
7.2708e-05, 65536
0.000144417, 131072
0.00030225, 262144
0.000612916, 524288
0.00140213, 1048576
0.00382854, 2097152
0.00955246, 4194304
3.75e-07, 512
8.33e-07, 1024
1.25e-06, 2048
2e-06, 4096
4.125e-06, 8192
1.825e-05, 16384
3.625e-05, 32768
7.3042e-05, 65536
0.000141667, 131072
0.0003455, 262144
0.000612166, 524288
0.00143975, 1048576
0.00411575, 2097152
0.00866313, 4194304
3.33e-07, 512
7.08e-07, 1024
9.59e-07, 2048
2.917e-06, 4096
4.25e-06, 8192
1.7459e-05, 16384
3.6084e-05, 32768
7.2166e-05, 65536
0.000163375, 131072
0.000288625, 262144
0.00062375, 524288
0.00183396, 1048576
0.00412929, 2097152
0.00874596, 4194304
5e-07, 512
4.17e-07, 1024
1e-06, 2048
2.084e-06, 4096
4.042e-06, 8192
1.9333e-05, 16384
3.5375e-05, 32768
7.0958e-05, 65536
0.000144709, 131072
0.00028575, 262144
0.000616792, 524288
0.00140542, 1048576
0.00394158, 2097152
0.008536, 4194304
4.17e-07, 512
5e-07, 1024
7.09e-07, 2048
2.333e-06, 4096
4.292e-06, 8192
1.7208e-05, 16384
3.5708e-05, 32768
7.5417e-05, 65536
0.000146042, 131072
0.000289583, 262144
0.000655084, 524288
0.00136817, 1048576
0.00399663, 2097152
0.00866138, 4194304
5e-07, 512
5e-07, 1024
7.91e-07, 2048
2.084e-06, 4096
4.333e-06, 8192
1.6833e-05, 16384
3.6292e-05, 32768
7.0625e-05, 65536
0.000141458, 131072
0.000294916, 262144
0.000740125, 524288
0.00148071, 1048576
0.00407325, 2097152
0.00859213, 4194304
3.34e-07, 512
4.17e-07, 1024
7.5e-07, 2048
2.084e-06, 4096
4.959e-06, 8192
2.0292e-05, 16384
3.525e-05, 32768
7.025e-05, 65536
0.000147583, 131072
0.000299083, 262144
0.000644208, 524288
0.00135508, 1048576
0.00401567, 2097152
0.00963458, 4194304
4.17e-07, 512
6.25e-07, 1024
1.041e-06, 2048
2.042e-06, 4096
4.166e-06, 8192
1.8375e-05, 16384
3.7083e-05, 32768
7.1e-05, 65536
0.000145208, 131072
0.00029, 262144
0.000604875, 524288
0.00135063, 1048576
0.00392225, 2097152
0.00881871, 4194304
