time, size
3.75e-07, 512
1.708e-06, 1024
1.666e-06, 2048
4.875e-06, 4096
9.083e-06, 8192
3e-05, 16384
6.4084e-05, 32768
0.000112625, 65536
0.000205834, 131072
0.000307583, 262144
0.000596416, 524288
0.00143004, 1048576
0.003841, 2097152
0.00849083, 4194304
3.75e-07, 512
5e-07, 1024
1.209e-06, 2048
3.041e-06, 4096
4.458e-06, 8192
1.7625e-05, 16384
3.6333e-05, 32768
7.2209e-05, 65536
0.000146834, 131072
0.00040925, 262144
0.000595708, 524288
0.00139142, 1048576
0.00397188, 2097152
0.00829154, 4194304
3.75e-07, 512
5.42e-07, 1024
1.083e-06, 2048
2.375e-06, 4096
4.459e-06, 8192
1.8333e-05, 16384
3.6417e-05, 32768
7.4625e-05, 65536
0.0001585, 131072
0.000298958, 262144
0.000581417, 524288
0.00183179, 1048576
0.00397663, 2097152
0.00851113, 4194304
3.75e-07, 512
5e-07, 1024
9.17e-07, 2048
2.459e-06, 4096
4.334e-06, 8192
1.8458e-05, 16384
4.3458e-05, 32768
7.2667e-05, 65536
0.000150375, 131072
0.00030625, 262144
0.000620542, 524288
0.00131896, 1048576
0.00367333, 2097152
0.00834704, 4194304
3.34e-07, 512
7.5e-07, 1024
7.5e-07, 2048
2.375e-06, 4096
4.292e-06, 8192
1.8334e-05, 16384
3.6542e-05, 32768
7.1959e-05, 65536
0.000144791, 131072
0.000302875, 262144
0.000600709, 524288
0.00143846, 1048576
0.00399613, 2097152
0.00838613, 4194304
6.25e-07, 512
5e-07, 1024
8.33e-07, 2048
3.25e-06, 4096
4.375e-06, 8192
1.7916e-05, 16384
3.6e-05, 32768
7.3417e-05, 65536
0.000144625, 131072
0.000296667, 262144
0.000656958, 524288
0.00174171, 1048576
0.00401417, 2097152
0.00843108, 4194304
4.17e-07, 512
5e-07, 1024
1.041e-06, 2048
2.333e-06, 4096
4.416e-06, 8192
1.7875e-05, 16384
3.6584e-05, 32768
7.3e-05, 65536
0.000145916, 131072
0.000298917, 262144
0.00061625, 524288
0.00135229, 1048576
0.00365821, 2097152
0.00866258, 4194304
3.33e-07, 512
5.42e-07, 1024
1.208e-06, 2048
2.459e-06, 4096
4.5e-06, 8192
1.8e-05, 16384
3.5958e-05, 32768
7.0791e-05, 65536
0.000143083, 131072
0.000317667, 262144
0.0006, 524288
0.00138054, 1048576
0.00411833, 2097152
0.00835746, 4194304
3.34e-07, 512
5e-07, 1024
8.75e-07, 2048
2.25e-06, 4096
4.583e-06, 8192
1.7541e-05, 16384
3.6083e-05, 32768
7.1583e-05, 65536
0.0001465, 131072
0.000293583, 262144
0.000682084, 524288
0.00134808, 1048576
0.00405542, 2097152
0.00855188, 4194304
2.92e-07, 512
5e-07, 1024
1.209e-06, 2048
2.375e-06, 4096
4.375e-06, 8192
4.9e-05, 16384
3.575e-05, 32768
7.4959e-05, 65536
0.000146708, 131072
0.0002995, 262144
0.000600083, 524288
0.00136725, 1048576
0.0038195, 2097152
0.00858888, 4194304
4.17e-07, 512
7.91e-07, 1024
1.042e-06, 2048
2.208e-06, 4096
4.458e-06, 8192
1.7625e-05, 16384
3.7083e-05, 32768
7.35e-05, 65536
0.000145333, 131072
0.000292208, 262144
0.000603917, 524288
0.00138008, 1048576
0.00372813, 2097152
0.00861758, 4194304
3.75e-07, 512
5.41e-07, 1024
8.33e-07, 2048
2.333e-06, 4096
4.458e-06, 8192
1.6792e-05, 16384
3.6458e-05, 32768
7.1875e-05, 65536
0.00014625, 131072
0.000340958, 262144
0.00062075, 524288
0.00142, 1048576
0.00393137, 2097152
0.00862367, 4194304
3.33e-07, 512
5e-07, 1024
9.16e-07, 2048
2.375e-06, 4096
4.459e-06, 8192
1.7292e-05, 16384
3.5625e-05, 32768
7.4208e-05, 65536
0.00014675, 131072
0.000295333, 262144
0.000597625, 524288
