time, size
8.3e-08, 512
3.34e-07, 1024
5e-07, 2048
2.416e-06, 4096
6.167e-06, 8192
1.1042e-05, 16384
1.2042e-05, 32768
2.5208e-05, 65536
5.6041e-05, 131072
0.000137959, 262144
0.000183292, 524288
0.000435792, 1048576
0.000964875, 2097152
0.00206388, 4194304
8.3e-08, 512
1.25e-07, 1024
1.67e-07, 2048
1.458e-06, 4096
3.417e-06, 8192
6.666e-06, 16384
1.3083e-05, 32768
2.3459e-05, 65536
5.1042e-05, 131072
0.000101833, 262144
0.000209209, 524288
0.000422, 1048576
0.00102779, 2097152
0.00212933, 4194304
4.1e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.292e-06, 4096
3.208e-06, 8192
6.916e-06, 16384
1.1958e-05, 32768
2.6458e-05, 65536
4.8542e-05, 131072
0.000107292, 262144
0.00020125, 524288
0.000455, 1048576
0.0011305, 2097152
0.00203304, 4194304
8.3e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.375e-06, 4096
3.458e-06, 8192
7.083e-06, 16384
1.1916e-05, 32768
2.6708e-05, 65536
4.9125e-05, 131072
0.000106083, 262144
0.0001885, 524288
0.000430208, 1048576
0.00091175, 2097152
0.00219817, 4194304
4.1e-08, 512
8.3e-08, 1024
1.67e-07, 2048
1.417e-06, 4096
3.417e-06, 8192
6e-06, 16384
1.3834e-05, 32768
2.5333e-05, 65536
7.325e-05, 131072
0.000129583, 262144
0.000199667, 524288
0.000460333, 1048576
0.00095225, 2097152
0.00189925, 4194304
1.67e-07, 512
1.25e-07, 1024
2.5e-07, 2048
1.292e-06, 4096
3.333e-06, 8192
8.542e-06, 16384
1.3375e-05, 32768
2.5584e-05, 65536
4.9875e-05, 131072
0.000100083, 262144
0.000209416, 524288
0.000454792, 1048576
0.000956834, 2097152
0.00219521, 4194304
8.3e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.333e-06, 4096
3.334e-06, 8192
6.833e-06, 16384
1.2542e-05, 32768
2.4167e-05, 65536
5.0709e-05, 131072
0.000102667, 262144
0.00021125, 524288
0.000463041, 1048576
0.00147096, 2097152
0.00203333, 4194304
8.4e-08, 512
8.4e-08, 1024
2.08e-07, 2048
1.333e-06, 4096
3.375e-06, 8192
6.292e-06, 16384
2.825e-05, 32768
2.8166e-05, 65536
6.6583e-05, 131072
9.6584e-05, 262144
0.000198167, 524288
0.000491459, 1048576
0.00122267, 2097152
0.00227704, 4194304
8.3e-08, 512
1.25e-07, 1024
3.33e-07, 2048
1.292e-06, 4096
3.208e-06, 8192
6.083e-06, 16384
1.25e-05, 32768
2.5292e-05, 65536
4.8083e-05, 131072
0.000119416, 262144
0.000218375, 524288
0.000452375, 1048576
0.00102088, 2097152
0.00198246, 4194304
8.3e-08, 512
2.5e-07, 1024
1.66e-07, 2048
1.292e-06, 4096
5.208e-06, 8192
7.292e-06, 16384
1.2125e-05, 32768
2.4083e-05, 65536
5.3459e-05, 131072
0.000121208, 262144
0.000201083, 524288
0.0004515, 1048576
0.00109413, 2097152
0.00202575, 4194304
8.3e-08, 512
8.4e-08, 1024
2.08e-07, 2048
1.291e-06, 4096
3.375e-06, 8192
8.291e-06, 16384
1.3708e-05, 32768
2.4292e-05, 65536
5.3292e-05, 131072
0.00011525, 262144
0.000216708, 524288
0.000480083, 1048576
0.00103025, 2097152
0.00216862, 4194304
8.4e-08, 512
8.3e-08, 1024
2.5e-07, 2048
1.333e-06, 4096
3.458e-06, 8192
7e-06, 16384
1.3708e-05, 32768
2.7042e-05, 65536
4.925e-05, 131072
9.5417e-05, 262144
0.000330459, 524288
0.000548, 1048576
0.00106988, 2097152
0.00216075, 4194304
8.3e-08, 512
1.67e-07, 1024
1.67e-07, 2048
