time, size
8.3e-08, 512
2.92e-07, 1024
2.541e-06, 2048
2.417e-06, 4096
6.125e-06, 8192
6.375e-06, 16384
1.2625e-05, 32768
2.6416e-05, 65536
5.7958e-05, 131072
9.4541e-05, 262144
0.00018825, 524288
0.000445417, 1048576
0.000921792, 2097152
0.00217254, 4194304
8.4e-08, 512
1.25e-07, 1024
2.5e-07, 2048
2.5e-06, 4096
3.416e-06, 8192
8e-06, 16384
1.2334e-05, 32768
2.5209e-05, 65536
4.75e-05, 131072
9.7084e-05, 262144
0.000208041, 524288
0.000459834, 1048576
0.00106967, 2097152
0.00201404, 4194304
4.2e-08, 512
2.08e-07, 1024
2.08e-07, 2048
1.375e-06, 4096
3.417e-06, 8192
1.0667e-05, 16384
1.4333e-05, 32768
2.3666e-05, 65536
4.8709e-05, 131072
0.000103208, 262144
0.00019125, 524288
0.000424084, 1048576
0.000980167, 2097152
0.00210942, 4194304
8.3e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.417e-06, 4096
3.416e-06, 8192
7.208e-06, 16384
1.2583e-05, 32768
2.5542e-05, 65536
4.7834e-05, 131072
0.000106375, 262144
0.000210792, 524288
0.000424041, 1048576
0.00117338, 2097152
0.00220979, 4194304
1.66e-07, 512
1.25e-07, 1024
2.08e-07, 2048
1.291e-06, 4096
3.334e-06, 8192
6.708e-06, 16384
1.6666e-05, 32768
2.4625e-05, 65536
5.1917e-05, 131072
9.7458e-05, 262144
0.000243959, 524288
0.000616667, 1048576
0.00104875, 2097152
0.00215642, 4194304
4.2e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.333e-06, 4096
3.25e-06, 8192
6.583e-06, 16384
1.1875e-05, 32768
2.5292e-05, 65536
4.7125e-05, 131072
9.7417e-05, 262144
0.00018775, 524288
0.000427959, 1048576
0.00113133, 2097152
0.00210129, 4194304
4.2e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.292e-06, 4096
1.525e-05, 8192
7.167e-06, 16384
1.3e-05, 32768
2.2875e-05, 65536
5.2333e-05, 131072
0.000104375, 262144
0.000199458, 524288
0.00950496, 1048576
0.000948459, 2097152
0.00194096, 4194304
8.3e-08, 512
8.4e-08, 1024
2.08e-07, 2048
1.542e-06, 4096
3.5e-06, 8192
7.833e-06, 16384
1.4042e-05, 32768
2.4e-05, 65536
4.8666e-05, 131072
0.000106917, 262144
0.000191583, 524288
0.000428333, 1048576
0.000997833, 2097152
0.00221308, 4194304
8.4e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.417e-06, 4096
4.25e-06, 8192
6.417e-06, 16384
1.2792e-05, 32768
2.4708e-05, 65536
5.2791e-05, 131072
0.000109292, 262144
0.000198541, 524288
0.000469959, 1048576
0.00102292, 2097152
0.0019375, 4194304
4.1e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.334e-06, 4096
3.375e-06, 8192
6.5e-06, 16384
1.375e-05, 32768
2.6291e-05, 65536
4.8334e-05, 131072
0.000116042, 262144
0.000196, 524288
0.000410334, 1048576
0.00100704, 2097152
