time, size
2.5e-07, 512
2.91e-07, 1024
2.92e-07, 2048
2e-06, 4096
3.125e-06, 8192
7.5e-06, 16384
1.2958e-05, 32768
2.475e-05, 65536
4.3417e-05, 131072
0.00012325, 262144
0.000203458, 524288
0.000419417, 1048576
0.00100246, 2097152
0.00195996, 4194304
1.25e-07, 512
1.25e-07, 1024
2.09e-07, 2048
1.208e-06, 4096
3.125e-06, 8192
6.833e-06, 16384
1.15e-05, 32768
2.2042e-05, 65536
5.3625e-05, 131072
0.000100458, 262144
0.00019475, 524288
0.000519125, 1048576
0.000934292, 2097152
0.00195058, 4194304
8.3e-08, 512
8.3e-08, 1024
1.67e-07, 2048
1.292e-06, 4096
2.958e-06, 8192
6.625e-06, 16384
1.1584e-05, 32768
2.2875e-05, 65536
4.2166e-05, 131072
0.000102542, 262144
0.000196, 524288
0.000440916, 1048576
0.001077, 2097152
0.00225917, 4194304
8.3e-08, 512
1.25e-07, 1024
1.67e-07, 2048
1.167e-06, 4096
3.125e-06, 8192
6.042e-06, 16384
1.2958e-05, 32768
2.2334e-05, 65536
4.5375e-05, 131072
9.9875e-05, 262144
0.000242083, 524288
0.000405, 1048576
0.001015, 2097152
0.00204471, 4194304
8.3e-08, 512
1.25e-07, 1024
3.75e-07, 2048
1.167e-06, 4096
3.083e-06, 8192
6.5e-06, 16384
1.1959e-05, 32768
2.2167e-05, 65536
4.5292e-05, 131072
9.7458e-05, 262144
0.000197708, 524288
0.0004125, 1048576
0.000965791, 2097152
0.00200771, 4194304
8.4e-08, 512
1.25e-07, 1024
1.67e-07, 2048
1.541e-06, 4096
3.208e-06, 8192
6.625e-06, 16384
1.125e-05, 32768
2.1833e-05, 65536
6.3333e-05, 131072
0.000100375, 262144
0.00019025, 524288
0.000437, 1048576
0.000989167, 2097152
0.00197525, 4194304
8.3e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.209e-06, 4096
3.167e-06, 8192
6.084e-06, 16384
1.25e-05, 32768
2.3541e-05, 65536
5.1375e-05, 131072
0.000103208, 262144
0.000197917, 524288
0.00043075, 1048576
0.00111075, 2097152
0.00192442, 4194304
4.2e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.25e-06, 4096
3.084e-06, 8192
6.125e-06, 16384
1.1583e-05, 32768
2.45e-05, 65536
5.0416e-05, 131072
9.2834e-05, 262144
0.00019975, 524288
0.000417167, 1048576
0.000986083, 2097152
0.00207971, 4194304
8.4e-08, 512
8.3e-08, 1024
2.08e-07, 2048
1.25e-06, 4096
3.209e-06, 8192
6.166e-06, 16384
1.2125e-05, 32768
2.4125e-05, 65536
4.7083e-05, 131072
0.000116125, 262144
0.000204542, 524288
0.000424917, 1048576
0.000963041, 2097152
0.00204954, 4194304
8.3e-08, 512
1.25e-07, 1024
1.67e-07, 2048
1.375e-06, 4096
3.125e-06, 8192
6.542e-06, 16384
