time, size
3.34e-07, 512
5e-07, 1024
2.083e-06, 2048
2.333e-06, 4096
5.334e-06, 8192
1.0917e-05, 16384
2.2416e-05, 32768
4.525e-05, 65536
0.00010275, 131072
0.000325625, 262144
0.000433417, 524288
0.00090425, 1048576
0.00205742, 2097152
0.00566088, 4194304
1.25e-07, 512
1.67e-07, 1024
1.209e-06, 2048
2.208e-06, 4096
5.875e-06, 8192
1.0292e-05, 16384
2.0625e-05, 32768
5e-05, 65536
0.00010375, 131072
0.000191792, 262144
0.000457583, 524288
0.000977916, 1048576
0.00193192, 2097152
0.00442733, 4194304
1.25e-07, 512
2.09e-07, 1024
1.167e-06, 2048
2.292e-06, 4096
4.875e-06, 8192
1.0542e-05, 16384
2.1584e-05, 32768
4.275e-05, 65536
0.0001085, 131072
0.000184666, 262144
0.000414542, 524288
0.000988042, 1048576
0.00196338, 2097152
0.00398708, 4194304
1.25e-07, 512
1.67e-07, 1024
1.5e-06, 2048
2.333e-06, 4096
5.042e-06, 8192
1.1084e-05, 16384
2.2875e-05, 32768
4.5417e-05, 65536
8.8666e-05, 131072
0.000205042, 262144
0.000425625, 524288
0.000953584, 1048576
0.00221796, 2097152
0.00399879, 4194304
1.25e-07, 512
2.09e-07, 1024
1.208e-06, 2048
2.416e-06, 4096
4.875e-06, 8192
1.175e-05, 16384
2.175e-05, 32768
4.5833e-05, 65536
9.6708e-05, 131072
0.000212667, 262144
0.000400792, 524288
0.000989667, 1048576
0.0019825, 2097152
0.00405213, 4194304
1.25e-07, 512
1.25e-07, 1024
1.458e-06, 2048
2.334e-06, 4096
4.833e-06, 8192
1.1542e-05, 16384
2.1166e-05, 32768
4.2875e-05, 65536
9.0167e-05, 131072
0.0001885, 262144
0.000451625, 524288
0.00093425, 1048576
0.00204488, 2097152
0.00399554, 4194304
1.25e-07, 512
1.66e-07, 1024
1.166e-06, 2048
2.166e-06, 4096
5.083e-06, 8192
1.0584e-05, 16384
2.1791e-05, 32768
4.7375e-05, 65536
0.00010075, 131072
0.000206334, 262144
0.000412792, 524288
0.000956083, 1048576
0.00207854, 2097152
0.0040695, 4194304
2.08e-07, 512
1.67e-07, 1024
1.166e-06, 2048
2.334e-06, 4096
5.208e-06, 8192
1.05e-05, 16384
2.3666e-05, 32768
4.3083e-05, 65536
0.000109542, 131072
0.000181792, 262144
0.000398917, 524288
0.000923, 1048576
0.00209304, 2097152
0.00398425, 4194304
1.25e-07, 512
1.66e-07, 1024
1.125e-06, 2048
2.375e-06, 4096
6.458e-06, 8192
1.1334e-05, 16384
2.1667e-05, 32768
4.3833e-05, 65536
9.9459e-05, 131072
0.000181042, 262144
0.000455875, 524288
0.000962583, 1048576
0.00215142, 2097152
0.00419721, 4194304
1.25e-07, 512
1.67e-07, 1024
1.292e-06, 2048
2.417e-06, 4096
4.75e-06, 8192
1.1917e-05, 16384
2.2166e-05, 32768
4.3958e-05, 65536
0.000101792, 131072
0.000187125, 262144
0.00040975, 524288
0.00128104, 1048576
0.00238142, 2097152
0.00428975, 4194304
1.25e-07, 512
1.66e-07, 1024
1.458e-06, 2048
2.417e-06, 4096
7.75e-06, 8192
1.1625e-05, 16384
2.2625e-05, 32768
4.4375e-05, 65536
8.875e-05, 131072
0.000293375, 262144
0.000406417, 524288
0.00102263, 1048576
0.00214854, 2097152
0.00426867, 4194304
1.25e-07, 512
2.08e-07, 1024
1.208e-06, 2048
2.375e-06, 4096
5.75e-06, 8192
1.0959e-05, 16384
2.125e-05, 32768
4.3417e-05, 65536
8.5916e-05, 131072
0.000187416, 262144
0.000404959, 524288
0.000962917, 1048576
0.00195908, 2097152
0.00400867, 4194304
1.25e-07, 512
1.67e-07, 1024
1.25e-06, 2048
2.375e-06, 4096
5.833e-06, 8192
1.0375e-05, 16384
2.2458e-05, 32768
4.375e-05, 65536
9.7625e-05, 131072
0.000189375, 262144
0.000411167, 524288
0.000968, 1048576
0.00221558, 2097152
0.00420392, 4194304
8.4e-08, 512
1.67e-07, 1024
1.542e-06, 2048
2.333e-06, 4096
5.75e-06, 8192
1.225e-05, 16384
2.075e-05, 32768
4.275e-05, 65536
8.5083e-05, 131072
0.00019, 262144
0.000444, 524288
0.000991917, 1048576
0.00199125, 2097152
0.0039925, 4194304
1.25e-07, 512
1.67e-07, 1024
1.166e-06, 2048
2.292e-06, 4096
6.5e-06, 8192
1.025e-05, 16384
2.575e-05, 32768
4.3041e-05, 65536
9.6709e-05, 131072
0.000188875, 262144
0.000401625, 524288
0.000936959, 1048576
0.00198, 2097152
0.00382967, 4194304
1.25e-07, 512
1.25e-07, 1024
1.5e-06, 2048
2.459e-06, 4096
5.709e-06, 8192
1.8709e-05, 16384
2.2208e-05, 32768
4.1167e-05, 65536
0.000111167, 131072
0.000181292, 262144
0.000433, 524288
0.000916958, 1048576
0.00205633, 2097152
0.00390608, 4194304
1.25e-07, 512
2.08e-07, 1024
1.125e-06, 2048
2.292e-06, 4096
6.084e-06, 8192
1.1375e-05, 16384
2.1416e-05, 32768
4.3667e-05, 65536
0.000114334, 131072
0.000211625, 262144
0.000429958, 524288
0.00115792, 1048576
0.00223067, 2097152
0.00402429, 4194304
8.4e-08, 512
1.67e-07, 1024
1.166e-06, 2048
3.25e-06, 4096
6e-06, 8192
1.0541e-05, 16384
2.1292e-05, 32768
4.3792e-05, 65536
8.975e-05, 131072
0.000202667, 262144
