time, size
8.3e-08, 512
4.58e-07, 1024
2.958e-06, 2048
6.125e-06, 4096
1.1583e-05, 8192
2e-05, 16384
3.7334e-05, 32768
4.9917e-05, 65536
0.000105583, 131072
0.000192667, 262144
0.000458583, 524288
0.00106013, 1048576
0.00229179, 2097152
0.00417171, 4194304
8.3e-08, 512
2.09e-07, 1024
1.375e-06, 2048
3.292e-06, 4096
7.25e-06, 8192
1.3334e-05, 16384
2.3917e-05, 32768
5.525e-05, 65536
9.5375e-05, 131072
0.000212333, 262144
0.000449208, 524288
0.0010255, 1048576
0.00207796, 2097152
0.00426962, 4194304
1.25e-07, 512
2.09e-07, 1024
1.375e-06, 2048
3.417e-06, 4096
6.333e-06, 8192
1.2458e-05, 16384
2.4125e-05, 32768
4.6834e-05, 65536
0.000111875, 131072
0.000193875, 262144
0.00041775, 524288
0.000948875, 1048576
0.00214313, 2097152
0.00399533, 4194304
1.25e-07, 512
2.5e-07, 1024
1.792e-06, 2048
3.25e-06, 4096
6.834e-06, 8192
1.2625e-05, 16384
2.4375e-05, 32768
5.0167e-05, 65536
9.4334e-05, 131072
0.000190625, 262144
0.0004305, 524288
0.00105354, 1048576
0.002356, 2097152
0.00430196, 4194304
1.25e-07, 512
2.08e-07, 1024
1.625e-06, 2048
3.333e-06, 4096
6.625e-06, 8192
1.1917e-05, 16384
2.4416e-05, 32768
4.45e-05, 65536
0.000103958, 131072
0.000193542, 262144
0.000453042, 524288
0.000996, 1048576
0.00215079, 2097152
0.00409008, 4194304
1.25e-07, 512
2.08e-07, 1024
1.292e-06, 2048
4.916e-06, 4096
8.166e-06, 8192
1.2709e-05, 16384
2.4292e-05, 32768
5.0958e-05, 65536
0.000111667, 131072
0.000210459, 262144
0.000431625, 524288
0.00124371, 1048576
0.00233442, 2097152
0.00408171, 4194304
8.4e-08, 512
2.08e-07, 1024
1.208e-06, 2048
3.291e-06, 4096
6.708e-06, 8192
1.4416e-05, 16384
2.3958e-05, 32768
4.5542e-05, 65536
9.3417e-05, 131072
0.00020425, 262144
0.000460792, 524288
0.000972875, 1048576
0.0020955, 2097152
0.00426383, 4194304
8.3e-08, 512
2.5e-07, 1024
1.667e-06, 2048
3.375e-06, 4096
6.916e-06, 8192
1.675e-05, 16384
2.45e-05, 32768
4.6625e-05, 65536
0.000106042, 131072
0.00018375, 262144
0.000514875, 524288
0.00107167, 1048576
0.00212271, 2097152
0.00421392, 4194304
8.3e-08, 512
2.09e-07, 1024
1.334e-06, 2048
3.167e-06, 4096
6.292e-06, 8192
1.2291e-05, 16384
2.65e-05, 32768
4.7041e-05, 65536
0.000108583, 131072
0.000197958, 262144
0.000419459, 524288
0.000933541, 1048576
0.00204363, 2097152
0.00413129, 4194304
1.25e-07, 512
2.5e-07, 1024
1.291e-06, 2048
3.458e-06, 4096
7.333e-06, 8192
1.2833e-05, 16384
2.5916e-05, 32768
4.7125e-05, 65536
9.325e-05, 131072
0.000196042, 262144
0.00041975, 524288
0.000979916, 1048576
0.00263654, 2097152
0.00438883, 4194304
1.25e-07, 512
2.08e-07, 1024
1.291e-06, 2048
5.792e-06, 4096
6.208e-06, 8192
1.3167e-05, 16384
2.6917e-05, 32768
4.5375e-05, 65536
0.000106583, 131072
0.000209583, 262144
0.000435958, 524288
0.000919083, 1048576
0.00204025, 2097152
0.00399729, 4194304
1.25e-07, 512
2.08e-07, 1024
1.792e-06, 2048
3.291e-06, 4096
