time, size
3.75e-07, 512
7.09e-07, 1024
2.959e-06, 2048
8.166e-06, 4096
1.7208e-05, 8192
2.7166e-05, 16384
5.475e-05, 32768
8.5458e-05, 65536
0.000165334, 131072
0.000259209, 262144
0.000499916, 524288
0.000971375, 1048576
0.00195292, 2097152
0.00416317, 4194304
8.4e-08, 512
1.67e-07, 1024
1.209e-06, 2048
3.292e-06, 4096
6.458e-06, 8192
1.175e-05, 16384
2.5083e-05, 32768
4.5833e-05, 65536
9.0375e-05, 131072
0.000206208, 262144
0.000471375, 524288
0.00109333, 1048576
0.00234029, 2097152
0.00399175, 4194304
2.09e-07, 512
1.25e-07, 1024
1.292e-06, 2048
3.042e-06, 4096
6.166e-06, 8192
1.1875e-05, 16384
2.3083e-05, 32768
4.4208e-05, 65536
0.000102291, 131072
0.000186584, 262144
0.000392, 524288
0.000954792, 1048576
0.0021265, 2097152
0.00393538, 4194304
8.4e-08, 512
1.66e-07, 1024
1.208e-06, 2048
3.125e-06, 4096
6.541e-06, 8192
1.175e-05, 16384
2.3417e-05, 32768
4.7542e-05, 65536
8.9875e-05, 131072
0.0001915, 262144
0.000481959, 524288
0.00114121, 1048576
0.00211804, 2097152
0.00433742, 4194304
1.67e-07, 512
1.25e-07, 1024
1.125e-06, 2048
3.208e-06, 4096
6.333e-06, 8192
1.1833e-05, 16384
2.3416e-05, 32768
4.65e-05, 65536
0.000103334, 131072
0.000210541, 262144
0.000442292, 524288
0.000943875, 1048576
0.00204838, 2097152
0.00401533, 4194304
1.25e-07, 512
1.66e-07, 1024
1.292e-06, 2048
3.125e-06, 4096
6.084e-06, 8192
1.1875e-05, 16384
2.3584e-05, 32768
4.5875e-05, 65536
8.9791e-05, 131072
0.000178834, 262144
0.000422625, 524288
0.000973458, 1048576
0.00209504, 2097152
0.00396017, 4194304
1.67e-07, 512
1.66e-07, 1024
2.375e-06, 2048
3.167e-06, 4096
5.958e-06, 8192
1.5583e-05, 16384
2.275e-05, 32768
4.5875e-05, 65536
0.000122166, 131072
0.000179208, 262144
0.000403708, 524288
0.00120954, 1048576
0.00240996, 2097152
0.00500838, 4194304
8.3e-08, 512
2.08e-07, 1024
1.959e-06, 2048
3.208e-06, 4096
6.792e-06, 8192
1.1958e-05, 16384
2.4584e-05, 32768
4.5208e-05, 65536
9.8542e-05, 131072
0.000199791, 262144
0.000492625, 524288
0.000966833, 1048576
0.00200496, 2097152
0.00406483, 4194304
1.66e-07, 512
1.25e-07, 1024
1.292e-06, 2048
2.75e-06, 4096
8.25e-06, 8192
1.1334e-05, 16384
2.1833e-05, 32768
4.2459e-05, 65536
9e-05, 131072
0.000191291, 262144
0.000416667, 524288
0.000954209, 1048576
0.00209892, 2097152
0.00425117, 4194304
2.08e-07, 512
2.09e-07, 1024
1.167e-06, 2048
3.25e-06, 4096
6.459e-06, 8192
1.1167e-05, 16384
2.2458e-05, 32768
4.5417e-05, 65536
0.0001025, 131072
0.000179334, 262144
0.000399, 524288
0.000991875, 1048576
0.00214338, 2097152
0.00516788, 4194304
8.3e-08, 512
1.67e-07, 1024
1.458e-06, 2048
3.166e-06, 4096
5.5e-06, 8192
1.2167e-05, 16384
2.2791e-05, 32768
4.3375e-05, 65536
0.00012725, 131072
0.000180833, 262144
0.000429458, 524288
0.00120433, 1048576
0.00222092, 2097152
0.00412296, 4194304
1.67e-07, 512
1.66e-07, 1024
1.291e-06, 2048
3.125e-06, 4096
6.084e-06, 8192
1.1458e-05, 16384
2.325e-05, 32768
4.3084e-05, 65536
8.825e-05, 131072
