time, size
2.08e-07, 512
7.92e-07, 1024
2.75e-06, 2048
5.708e-06, 4096
7.209e-06, 8192
1.2e-05, 16384
2.8375e-05, 32768
5.3958e-05, 65536
0.000101458, 131072
0.000210375, 262144
0.000422042, 524288
0.00101658, 1048576
0.00199921, 2097152
0.004109, 4194304
1.66e-07, 512
3.34e-07, 1024
1.459e-06, 2048
4.084e-06, 4096
9.083e-06, 8192
1.325e-05, 16384
2.5666e-05, 32768
5.0083e-05, 65536
0.000120209, 131072
0.000212375, 262144
0.000507, 524288
0.00120429, 1048576
0.00248387, 2097152
0.00425988, 4194304
2.08e-07, 512
2.92e-07, 1024
1.5e-06, 2048
3e-06, 4096
6.625e-06, 8192
1.2333e-05, 16384
2.4208e-05, 32768
4.8042e-05, 65536
0.000114291, 131072
0.000203292, 262144
0.000427875, 524288
0.000973042, 1048576
0.00228504, 2097152
0.00409392, 4194304
1.67e-07, 512
3.33e-07, 1024
1.5e-06, 2048
3e-06, 4096
5.792e-06, 8192
1.1958e-05, 16384
2.5375e-05, 32768
4.8584e-05, 65536
9.8541e-05, 131072
0.0002055, 262144
0.00050475, 524288
0.00101433, 1048576
0.00205163, 2097152
0.00426437, 4194304
2.08e-07, 512
3.33e-07, 1024
1.458e-06, 2048
3.083e-06, 4096
6.5e-06, 8192
1.2292e-05, 16384
3.4583e-05, 32768
4.8958e-05, 65536
0.000112958, 131072
0.000201958, 262144
0.000441334, 524288
0.000955917, 1048576
0.00203483, 2097152
0.00404392, 4194304
2.08e-07, 512
3.75e-07, 1024
1.583e-06, 2048
3.167e-06, 4096
6.375e-06, 8192
1.4209e-05, 16384
2.7625e-05, 32768
4.9584e-05, 65536
0.000145166, 131072
0.00024675, 262144
0.000450542, 524288
0.00106758, 1048576
0.00231708, 2097152
0.0042705, 4194304
2.5e-07, 512
3.33e-07, 1024
1.5e-06, 2048
3e-06, 4096
5.709e-06, 8192
1.2708e-05, 16384
2.3958e-05, 32768
4.7083e-05, 65536
0.000107709, 131072
0.0002205, 262144
0.000440625, 524288
0.00101475, 1048576
0.00204175, 2097152
0.00427746, 4194304
2.5e-07, 512
3.75e-07, 1024
1.833e-06, 2048
3e-06, 4096
5.958e-06, 8192
1.2625e-05, 16384
2.6584e-05, 32768
5.0708e-05, 65536
0.0001005, 131072
0.00188979, 262144
0.000579209, 524288
0.00118517, 1048576
0.00225792, 2097152
0.00407517, 4194304
2.08e-07, 512
3.75e-07, 1024
2.292e-06, 2048
3.042e-06, 4096
7.25e-06, 8192
1.3292e-05, 16384
2.3375e-05, 32768
6.5083e-05, 65536
0.000112417, 131072
0.00020425, 262144
0.0004715, 524288
0.000949458, 1048576
0.00213179, 2097152
0.00432475, 4194304
2.08e-07, 512
3.33e-07, 1024
2.167e-06, 2048
3.083e-06, 4096
7.084e-06, 8192
1.1959e-05, 16384
2.4667e-05, 32768
5.2333e-05, 65536
0.000102291, 131072
0.00021175, 262144
0.000418292, 524288
0.000956875, 1048576
0.002152, 2097152
0.00394846, 4194304
1.67e-07, 512
3.34e-07, 1024
2.167e-06, 2048
3.209e-06, 4096
8.583e-06, 8192
1.3209e-05, 16384
2.425e-05, 32768
4.6417e-05, 65536
9.8417e-05, 131072
0.000227667, 262144
0.000462791, 524288
0.00112363, 1048576
0.00234367, 2097152
0.00426958, 4194304
2.5e-07, 512
3.33e-07, 1024
1.584e-06, 2048
3e-06, 4096
7.083e-06, 8192
1.3291e-05, 16384
2.5291e-05, 32768
4.7916e-05, 65536
0.000116166, 131072
0.000203666, 262144
0.000444792, 524288
0.000936125, 1048576
0.00202442, 2097152
0.00403242, 4194304
2.08e-07, 512
3.75e-07, 1024
1.833e-06, 2048
3.042e-06, 4096
5.792e-06, 8192
1.2833e-05, 16384
2.6292e-05, 32768
5.2167e-05, 65536
9.9875e-05, 131072
0.000200958, 262144
0.000545375, 524288
0.00129663, 1048576
0.00216167, 2097152
0.00432425, 4194304
2.08e-07, 512
3.33e-07, 1024
1.417e-06, 2048
3e-06, 4096
7.417e-06, 8192
1.2333e-05, 16384
2.5459e-05, 32768
5.0209e-05, 65536
0.00011625, 131072
0.000207042, 262144
0.00042825, 524288
0.000988708, 1048576
0.00240021, 2097152
0.0039805, 4194304
2.08e-07, 512
3.33e-07, 1024
1.75e-06, 2048
2.917e-06, 4096
8.208e-06, 8192
1.2458e-05, 16384
2.45e-05, 32768
4.9583e-05, 65536
0.000111292, 131072
0.00020175, 262144
0.00043925, 524288
0.0010795, 1048576
0.00201525, 2097152
0.0040615, 4194304
1.67e-07, 512
2.92e-07, 1024
2e-06, 2048
3.292e-06, 4096
7.125e-06, 8192
1.2333e-05, 16384
2.4167e-05, 32768
4.6375e-05, 65536
9.8542e-05, 131072
0.000287292, 262144
0.000466833, 524288
0.00103487, 1048576
0.00223375, 2097152
0.00416313, 4194304
2.08e-07, 512
3.33e-07, 1024
1.5e-06, 2048
3e-06, 4096
6.042e-06, 8192
1.2333e-05, 16384
2.4125e-05, 32768
4.7833e-05, 65536
0.000116208, 131072
0.0002065, 262144
0.000407916, 524288
0.000914667, 1048576
0.00220767, 2097152
0.00412954, 4194304
2.08e-07, 512
3.33e-07, 1024
1.458e-06, 2048
3e-06, 4096
7.042e-06, 8192
1.2375e-05, 16384
2.5291e-05, 32768
4.8125e-05, 65536
9.7958e-05, 131072
0.000241709, 262144
0.000652084, 524288
0.00104371, 1048576
0.00205354, 2097152
0.00419429, 4194304
2.08e-07, 512
3.33e-07, 1024
1.5e-06, 2048
3e-06, 4096
6.125e-06, 8192
1.2708e-05, 16384
2.325e-05, 32768
5.0875e-05, 65536
9.7375e-05, 131072
0.000189916, 262144
0.000434916, 524288
0.001027, 1048576
0.00205887, 2097152
0.00404508, 4194304
2.08e-07, 512
3.33e-07, 1024
1.542e-06, 2048
3.041e-06, 4096
6.583e-06, 8192
1.2625e-05, 16384
2.55e-05, 32768
5.0709e-05, 65536
0.000103209, 131072
0.000195625, 262144
0.000411791, 524288
0.000903791, 1048576
0.00210388, 2097152
0.00413108, 4194304
