time, size
3.75e-07, 512
5.83e-07, 1024
2.458e-06, 2048
3.708e-06, 4096
5.667e-06, 8192
2.4041e-05, 16384
2.5333e-05, 32768
5.2291e-05, 65536
0.000104958, 131072
0.000286583, 262144
0.000411417, 524288
0.00102346, 1048576
0.00249246, 2097152
0.00552171, 4194304
4.58e-07, 512
5.83e-07, 1024
1e-06, 2048
2.75e-06, 4096
5.375e-06, 8192
1.3125e-05, 16384
2.3375e-05, 32768
4.7208e-05, 65536
9.3875e-05, 131072
0.000208292, 262144
0.000395875, 524288
0.00100788, 1048576
0.00252579, 2097152
0.00504975, 4194304
3.34e-07, 512
7.08e-07, 1024
1.25e-06, 2048
2.709e-06, 4096
5.292e-06, 8192
1.1917e-05, 16384
2.3042e-05, 32768
5.1958e-05, 65536
9.6125e-05, 131072
0.000197333, 262144
0.000380458, 524288
0.00122196, 1048576
0.00274183, 2097152
0.00499538, 4194304
3.33e-07, 512
6.66e-07, 1024
1e-06, 2048
2.791e-06, 4096
5.416e-06, 8192
1.2292e-05, 16384
2.4292e-05, 32768
4.5625e-05, 65536
9.4125e-05, 131072
0.000192167, 262144
0.000449583, 524288
0.00143021, 1048576
0.00272433, 2097152
0.00511646, 4194304
3.75e-07, 512
8.75e-07, 1024
1.041e-06, 2048
2.791e-06, 4096
5.416e-06, 8192
1.275e-05, 16384
2.3833e-05, 32768
4.725e-05, 65536
9.3209e-05, 131072
0.000204583, 262144
0.000525792, 524288
0.00114029, 1048576
0.00275554, 2097152
0.00524433, 4194304
5e-07, 512
5.83e-07, 1024
1e-06, 2048
2.875e-06, 4096
5.583e-06, 8192
1.3291e-05, 16384
2.2958e-05, 32768
5.1292e-05, 65536
9.9959e-05, 131072
0.000770041, 262144
0.00156554, 524288
0.00112875, 1048576
0.00275163, 2097152
0.00547567, 4194304
3.33e-07, 512
5.41e-07, 1024
1e-06, 2048
2.792e-06, 4096
5.375e-06, 8192
1.2584e-05, 16384
2.3208e-05, 32768
6.1333e-05, 65536
9.5041e-05, 131072
0.000208333, 262144
0.000402375, 524288
0.00100033, 1048576
0.00259438, 2097152
0.00622267, 4194304
2.91e-07, 512
5.83e-07, 1024
1.083e-06, 2048
2.75e-06, 4096
5.708e-06, 8192
1.325e-05, 16384
2.4083e-05, 32768
4.6708e-05, 65536
9.3334e-05, 131072
0.000200459, 262144
0.000401208, 524288
0.000911875, 1048576
0.00228358, 2097152
0.00500563, 4194304
3.75e-07, 512
5.42e-07, 1024
1.709e-06, 2048
2.666e-06, 4096
5.75e-06, 8192
1.3333e-05, 16384
2.325e-05, 32768
4.8625e-05, 65536
9.6542e-05, 131072
0.000193125, 262144
0.000398792, 524288
0.000925792, 1048576
0.00248529, 2097152
0.00514804, 4194304
3.33e-07, 512
7.92e-07, 1024
1.792e-06, 2048
2.875e-06, 4096
6.833e-06, 8192
1.7375e-05, 16384
2.3292e-05, 32768
4.7667e-05, 65536
9.8125e-05, 131072
0.0002065, 262144
0.000401584, 524288
0.000914375, 1048576
0.00248179, 2097152
0.00494729, 4194304
3.75e-07, 512
6.25e-07, 1024
1.875e-06, 2048
2.667e-06, 4096
6.291e-06, 8192
1.2291e-05, 16384
2.3375e-05, 32768
4.7416e-05, 65536
9.5167e-05, 131072
0.000208542, 262144
0.000391125, 524288
0.000931208, 1048576
0.00233929, 2097152
0.00513388, 4194304
4.17e-07, 512
7.91e-07, 1024
1.458e-06, 2048
2.708e-06, 4096
6.208e-06, 8192
1.2792e-05, 16384
2.4875e-05, 32768
4.6791e-05, 65536
9.4125e-05, 131072
0.000201458, 262144
0.000407291, 524288
0.0009055, 1048576
0.00241092, 2097152
0.00505263, 4194304
5e-07, 512
5.41e-07, 1024
1.042e-06, 2048
2.75e-06, 4096
5.416e-06, 8192
1.2833e-05, 16384
2.3958e-05, 32768
4.8333e-05, 65536
0.000106416, 131072
0.000207292, 262144
0.000386334, 524288
0.000893917, 1048576
0.00233242, 2097152
0.00508279, 4194304
3.75e-07, 512
5.42e-07, 1024
1.083e-06, 2048
2.708e-06, 4096
5.375e-06, 8192
1.2875e-05, 16384
2.3333e-05, 32768
4.7334e-05, 65536
0.000100917, 131072
0.000229708, 262144
0.000402, 524288
0.000913209, 1048576
0.00240887, 2097152
0.00531096, 4194304
4.17e-07, 512
5.84e-07, 1024
1.042e-06, 2048
2.75e-06, 4096
5.5e-06, 8192
1.2875e-05, 16384
2.4625e-05, 32768
4.6708e-05, 65536
9.975e-05, 131072
0.000202792, 262144
0.00042325, 524288
0.00102175, 1048576
0.00267829, 2097152
0.00521592, 4194304
4.58e-07, 512
6.25e-07, 1024
1.208e-06, 2048
3.75e-06, 4096
5.292e-06, 8192
1.2958e-05, 16384
2.4208e-05, 32768
4.7958e-05, 65536
0.000102375, 131072
0.000196584, 262144
0.000388709, 524288
0.000908708, 1048576
0.00271142, 2097152
0.0050805, 4194304
3.75e-07, 512
5.83e-07, 1024
1.041e-06, 2048
2.75e-06, 4096
5.458e-06, 8192
1.2209e-05, 16384
2.4375e-05, 32768
4.9208e-05, 65536
9.5833e-05, 131072
0.000195, 262144
0.000395084, 524288
0.000915292, 1048576
0.00240663, 2097152
0.0051985, 4194304
3.75e-07, 512
5.83e-07, 1024
1.042e-06, 2048
2.75e-06, 4096
5.417e-06, 8192
1.3084e-05, 16384
2.3875e-05, 32768
4.6125e-05, 65536
9.8292e-05, 131072
0.000193875, 262144
0.000419333, 524288
0.000891625, 1048576
0.00244271, 2097152
0.00502371, 4194304
3.75e-07, 512
6.67e-07, 1024
1e-06, 2048
2.75e-06, 4096
5.583e-06, 8192
1.2542e-05, 16384
2.3125e-05, 32768
4.6125e-05, 65536
9.3792e-05, 131072
0.00020275, 262144
0.000408959, 524288
0.000881125, 1048576
0.00255633, 2097152
0.00508833, 4194304
3.75e-07, 512
6.25e-07, 1024
1.208e-06, 2048
2.75e-06, 4096
5.334e-06, 8192
1.3125e-05, 16384
2.35e-05, 32768
4.725e-05, 65536
9.4959e-05, 131072
0.000202667, 262144
0.000387416, 524288
0.000901875, 1048576
0.002498, 2097152
0.00496675, 4194304
