time, size
7.5e-07, 512
8.33e-07, 1024
1.375e-06, 2048
4.25e-06, 4096
8.416e-06, 8192
1.1542e-05, 16384
2.3791e-05, 32768
4.6417e-05, 65536
9.1792e-05, 131072
0.000207708, 262144
0.000375209, 524288
0.0011085, 1048576
0.00241413, 2097152
0.00492579, 4194304
2.5e-07, 512
3.75e-07, 1024
7.08e-07, 2048
2.084e-06, 4096
4.333e-06, 8192
1.1625e-05, 16384
2.4333e-05, 32768
4.5375e-05, 65536
9.2667e-05, 131072
0.000185667, 262144
0.000399083, 524288
0.0008885, 1048576
0.00240588, 2097152
0.00506717, 4194304
2.5e-07, 512
3.75e-07, 1024
1.041e-06, 2048
2.208e-06, 4096
4.334e-06, 8192
1.2209e-05, 16384
2.4334e-05, 32768
4.6417e-05, 65536
8.8625e-05, 131072
0.000196041, 262144
0.000378541, 524288
0.000878709, 1048576
0.00235513, 2097152
0.00493621, 4194304
2.5e-07, 512
4.59e-07, 1024
7.5e-07, 2048
2.083e-06, 4096
4.292e-06, 8192
1.2875e-05, 16384
5.0625e-05, 32768
5.4625e-05, 65536
0.000242041, 131072
0.000237542, 262144
0.000402333, 524288
0.0009725, 1048576
0.00249421, 2097152
0.00493475, 4194304
2.5e-07, 512
4.17e-07, 1024
7.92e-07, 2048
3.25e-06, 4096
4.291e-06, 8192
1.1875e-05, 16384
2.3917e-05, 32768
4.45e-05, 65536
9.0958e-05, 131072
0.000187709, 262144
0.000396708, 524288
0.000857042, 1048576
0.00250908, 2097152
0.00537433, 4194304
2.09e-07, 512
4.58e-07, 1024
7.08e-07, 2048
3.292e-06, 4096
4.208e-06, 8192
1.1917e-05, 16384
2.2542e-05, 32768
4.5167e-05, 65536
0.000116084, 131072
0.000189542, 262144
0.000365541, 524288
0.000871708, 1048576
0.00241779, 2097152
0.00600242, 4194304
2.5e-07, 512
4.16e-07, 1024
7.5e-07, 2048
2.083e-06, 4096
4.292e-06, 8192
1.1875e-05, 16384
2.225e-05, 32768
4.5584e-05, 65536
9.45e-05, 131072
0.000188083, 262144
0.000380625, 524288
0.000880625, 1048576
0.00249904, 2097152
0.00492333, 4194304
2.5e-07, 512
4.17e-07, 1024
7.08e-07, 2048
2.084e-06, 4096
4.208e-06, 8192
1.2416e-05, 16384
2.4125e-05, 32768
4.7709e-05, 65536
9.1292e-05, 131072
0.000183458, 262144
