time, size
7.5e-07, 512
1.458e-06, 1024
1.542e-06, 2048
4.417e-06, 4096
4.208e-06, 8192
1.8042e-05, 16384
3.5125e-05, 32768
7.0958e-05, 65536
0.000142166, 131072
0.00033775, 262144
0.000613084, 524288
0.00148325, 1048576
0.00423554, 2097152
0.00872571, 4194304
4.58e-07, 512
6.25e-07, 1024
1.167e-06, 2048
3.375e-06, 4096
4.042e-06, 8192
1.75e-05, 16384
3.5416e-05, 32768
7.1875e-05, 65536
0.000173041, 131072
0.000295042, 262144
0.000729, 524288
0.00142438, 1048576
0.00401462, 2097152
0.00876158, 4194304
3.75e-07, 512
5.83e-07, 1024
2.709e-06, 2048
2.083e-06, 4096
4.042e-06, 8192
1.9125e-05, 16384
3.6625e-05, 32768
7.2416e-05, 65536
0.000144625, 131072
0.000299083, 262144
0.00062025, 524288
0.00139908, 1048576
0.00387563, 2097152
0.00870079, 4194304
4.16e-07, 512
5.83e-07, 1024
1.041e-06, 2048
2.167e-06, 4096
4.167e-06, 8192
1.7208e-05, 16384
3.5083e-05, 32768
7.15e-05, 65536
0.000142959, 131072
0.000290541, 262144
0.000587833, 524288
0.00133738, 1048576
0.00377058, 2097152
0.00958904, 4194304
3.75e-07, 512
3.75e-07, 1024
7.08e-07, 2048
2e-06, 4096
4.125e-06, 8192
1.7458e-05, 16384
3.575e-05, 32768
9.1041e-05, 65536
0.000168083, 131072
0.000301667, 262144
0.000619708, 524288
0.00143133, 1048576
0.0037725, 2097152
0.00929625, 4194304
4.59e-07, 512
4.17e-07, 1024
9.58e-07, 2048
2e-06, 4096
4.833e-06, 8192
1.7291e-05, 16384
3.6583e-05, 32768
7.1458e-05, 65536
0.000147375, 131072
0.000354666, 262144
0.000604542, 524288
0.00134613, 1048576
0.00413883, 2097152
0.00871742, 4194304
4.58e-07, 512
4.59e-07, 1024
7.91e-07, 2048
2.334e-06, 4096
4.208e-06, 8192
1.8666e-05, 16384
3.5042e-05, 32768
7.0583e-05, 65536
0.000147875, 131072
0.000338584, 262144
0.000609375, 524288
0.00183429, 1048576
0.004194, 2097152
0.00869187, 4194304
4.58e-07, 512
4.59e-07, 1024
6.67e-07, 2048
2.959e-06, 4096
4.25e-06, 8192
1.6958e-05, 16384
3.5417e-05, 32768
7.1417e-05, 65536
0.000170208, 131072
0.00028725, 262144
0.000598459, 524288
0.00133242, 1048576
0.00383575, 2097152
0.00864404, 4194304
4.16e-07, 512
4.17e-07, 1024
9.17e-07, 2048
3.084e-06, 4096
4.042e-06, 8192
1.6917e-05, 16384
3.575e-05, 32768
7.2375e-05, 65536
0.000147166, 131072
0.00029125, 262144
0.000611625, 524288
0.001383, 1048576
0.00426696, 2097152
0.009311, 4194304
4.58e-07, 512
4.59e-07, 1024
9.17e-07, 2048
2.583e-06, 4096
4e-06, 8192
1.7875e-05, 16384
4.1417e-05, 32768
7.1833e-05, 65536
0.000149417, 131072
0.000305834, 262144
0.000625458, 524288
0.00147525, 1048576
0.00398504, 2097152
0.00863825, 4194304
4.17e-07, 512
4.58e-07, 1024
7.92e-07, 2048
2.083e-06, 4096
4.167e-06, 8192
1.7e-05, 16384
3.575e-05, 32768
7.0125e-05, 65536
0.000145458, 131072
0.00028975, 262144
0.000588583, 524288
0.00135063, 1048576
0.00391975, 2097152
0.00868633, 4194304
4.58e-07, 512
5e-07, 1024
7.5e-07, 2048
2.208e-06, 4096
4.333e-06, 8192
1.7542e-05, 16384
3.5583e-05, 32768
7.1292e-05, 65536
0.000142375, 131072
0.000301, 262144
0.00060525, 524288
0.00137554, 1048576
0.003801, 2097152
0.0086985, 4194304
3.34e-07, 512
6.25e-07, 1024
1.042e-06, 2048
2e-06, 4096
4.458e-06, 8192
4.8208e-05, 16384
3.6916e-05, 32768
7.3875e-05, 65536
0.000143125, 131072
0.000303708, 262144
0.000598083, 524288
0.00134246, 1048576
0.00380133, 2097152
0.00855275, 4194304
4.58e-07, 512
5e-07, 1024
7.5e-07, 2048
2.084e-06, 4096
4.083e-06, 8192
1.6958e-05, 16384
3.5334e-05, 32768
7.1125e-05, 65536
0.0001645, 131072
0.000287334, 262144
0.00059725, 524288
0.00135117, 1048576
0.0039345, 2097152
0.00859496, 4194304
4.59e-07, 512
4.59e-07, 1024
8.75e-07, 2048
2.416e-06, 4096
4.167e-06, 8192
1.7292e-05, 16384
3.575e-05, 32768
8.8042e-05, 65536
0.000143375, 131072
0.000311666, 262144
0.000599292, 524288
0.00146792, 1048576
0.00389242, 2097152
0.00874538, 4194304
5.42e-07, 512
6.25e-07, 1024
9.17e-07, 2048
2.083e-06, 4096
4.542e-06, 8192
1.7625e-05, 16384
3.575e-05, 32768
7.4375e-05, 65536
0.000176083, 131072
0.000290375, 262144
0.000607417, 524288
0.00146413, 1048576
0.00426188, 2097152
0.00886596, 4194304
4.17e-07, 512
4.17e-07, 1024
7.92e-07, 2048
2.083e-06, 4096
5.375e-06, 8192
1.8125e-05, 16384
3.625e-05, 32768
7.0209e-05, 65536
0.000167917, 131072
0.000299666, 262144
0.000578708, 524288
0.00129329, 1048576
0.00466833, 2097152
0.00863754, 4194304
4.17e-07, 512
4.17e-07, 1024
1.208e-06, 2048
2.042e-06, 4096
4.042e-06, 8192
1.7667e-05, 16384
3.7459e-05, 32768
7.1333e-05, 65536
0.000143458, 131072
0.000293208, 262144
0.000588125, 524288
0.00136583, 1048576
0.00388692, 2097152
0.00967625, 4194304
4.17e-07, 512
4.16e-07, 1024
7.5e-07, 2048
2.041e-06, 4096
3.916e-06, 8192
1.7459e-05, 16384
3.575e-05, 32768
7.5625e-05, 65536
0.000144167, 131072
0.000290542, 262144
0.000609417, 524288
0.00137742, 1048576
0.00415883, 2097152
0.0115774, 4194304
4.16e-07, 512
4.58e-07, 1024
1.042e-06, 2048
2.125e-06, 4096
4e-06, 8192
1.775e-05, 16384
3.575e-05, 32768
7.0666e-05, 65536
0.000144834, 131072
0.000290667, 262144
0.000620542, 524288
0.00135842, 1048576
0.006441, 2097152
0.00864525, 4194304
