time, size
2.08e-07, 512
2.5e-07, 1024
5e-07, 2048
2.292e-06, 4096
3.709e-06, 8192
7.042e-06, 16384
1.4333e-05, 32768
3.6917e-05, 65536
5.2291e-05, 131072
0.000100292, 262144
0.000193833, 524288
0.000411209, 1048576
0.00104767, 2097152
0.00216354, 4194304
8.4e-08, 512
8.4e-08, 1024
2.92e-07, 2048
1.375e-06, 4096
3.833e-06, 8192
8.541e-06, 16384
1.3e-05, 32768
2.6209e-05, 65536
4.6959e-05, 131072
9.8875e-05, 262144
0.000188708, 524288
0.000585625, 1048576
0.00103496, 2097152
0.00196092, 4194304
8.3e-08, 512
8.3e-08, 1024
2.5e-07, 2048
1.375e-06, 4096
3.667e-06, 8192
6.25e-06, 16384
1.6291e-05, 32768
3.1167e-05, 65536
5.0292e-05, 131072
9.9583e-05, 262144
0.000218666, 524288
0.000513083, 1048576
0.00103779, 2097152
0.00199563, 4194304
8.3e-08, 512
1.25e-07, 1024
2.5e-07, 2048
1.416e-06, 4096
3.708e-06, 8192
1.6292e-05, 16384
1.4459e-05, 32768
2.6417e-05, 65536
4.7417e-05, 131072
9.9875e-05, 262144
0.000199958, 524288
0.000472709, 1048576
0.00100958, 2097152
0.002121, 4194304
8.3e-08, 512
8.3e-08, 1024
2.08e-07, 2048
1.333e-06, 4096
3.459e-06, 8192
7e-06, 16384
1.2458e-05, 32768
2.7833e-05, 65536
5.5625e-05, 131072
0.000112625, 262144
0.000261417, 524288
0.000436833, 1048576
0.000963375, 2097152
0.00210487, 4194304
8.3e-08, 512
1.25e-07, 1024
2.08e-07, 2048
4.667e-06, 4096
4.25e-06, 8192
7.541e-06, 16384
1.2083e-05, 32768
2.35e-05, 65536
5.2291e-05, 131072
0.000100958, 262144
0.000243916, 524288
0.000493166, 1048576
0.001027, 2097152
0.00214467, 4194304
8.3e-08, 512
1.25e-07, 1024
3.75e-07, 2048
1.375e-06, 4096
1.7458e-05, 8192
7.708e-06, 16384
1.4042e-05, 32768
2.9959e-05, 65536
4.9e-05, 131072
9.8583e-05, 262144
0.000233, 524288
0.000414666, 1048576
0.00101438, 2097152
0.00200104, 4194304
4.1e-08, 512
8.4e-08, 1024
2.08e-07, 2048
1.291e-06, 4096
3.917e-06, 8192
4.1625e-05, 16384
1.3292e-05, 32768
2.4917e-05, 65536
5.3666e-05, 131072
0.000100625, 262144
0.000198167, 524288
0.0004255, 1048576
0.00102888, 2097152
0.002035, 4194304
8.3e-08, 512
8.3e-08, 1024
2.5e-07, 2048
1.875e-06, 4096
3.375e-06, 8192
7.292e-06, 16384
1.2625e-05, 32768
2.5875e-05, 65536
4.925e-05, 131072
0.000118625, 262144
0.000224083, 524288
0.000585917, 1048576
0.00098675, 2097152
0.00211229, 4194304
8.3e-08, 512
8.3e-08, 1024
2.08e-07, 2048
1.292e-06, 4096
3.25e-06, 8192
7.5e-06, 16384
1.2375e-05, 32768
3.1625e-05, 65536
4.7666e-05, 131072
0.000105958, 262144
0.000198334, 524288
0.00046075, 1048576
0.00101821, 2097152
0.00213646, 4194304
8.4e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.375e-06, 4096
3.333e-06, 8192
6.708e-06, 16384
1.3208e-05, 32768
3.275e-05, 65536
5.2791e-05, 131072
0.000100584, 262144
0.000239042, 524288
0.000466542, 1048576
0.00102375, 2097152
0.00207871, 4194304
8.3e-08, 512
8.3e-08, 1024
2.08e-07, 2048
1.291e-06, 4096
3.584e-06, 8192
7.333e-06, 16384
1.3958e-05, 32768
2.3958e-05, 65536
6.0167e-05, 131072
0.000115666, 262144
0.000311917, 524288
0.000491333, 1048576
0.00114325, 2097152
0.00204088, 4194304
8.3e-08, 512
8.4e-08, 1024
2.08e-07, 2048
1.375e-06, 4096
3.333e-06, 8192
7.542e-06, 16384
1.4583e-05, 32768
2.3041e-05, 65536
5.2e-05, 131072
0.000112792, 262144
0.000221625, 524288
0.000473916, 1048576
0.00107875, 2097152
0.00213617, 4194304
1.67e-07, 512
1.25e-07, 1024
2.09e-07, 2048
1.291e-06, 4096
3.5e-06, 8192
6.875e-06, 16384
1.825e-05, 32768
2.85e-05, 65536
4.7166e-05, 131072
9.8959e-05, 262144
0.000195125, 524288
0.000475875, 1048576
0.000987, 2097152
0.00202637, 4194304
8.3e-08, 512
2.92e-07, 1024
2.08e-07, 2048
2.041e-06, 4096
4.083e-06, 8192
7.417e-06, 16384
3.7375e-05, 32768
2.3167e-05, 65536
5.35e-05, 131072
0.00012, 262144
0.000231541, 524288
0.000635708, 1048576
0.00100642, 2097152
0.00233558, 4194304
8.4e-08, 512
8.3e-08, 1024
3.34e-07, 2048
1.375e-06, 4096
3.5e-06, 8192
9.666e-06, 16384
1.4416e-05, 32768
4.0084e-05, 65536
4.9709e-05, 131072
0.000104792, 262144
0.000220708, 524288
0.000489333, 1048576
0.000954209, 2097152
0.00204779, 4194304
8.3e-08, 512
2.08e-07, 1024
2.09e-07, 2048
1.875e-06, 4096
3.833e-06, 8192
1.5791e-05, 16384
1.3667e-05, 32768
2.6209e-05, 65536
4.7792e-05, 131072
0.000100167, 262144
0.000201416, 524288
0.000475333, 1048576
0.000950458, 2097152
0.00196683, 4194304
8.3e-08, 512
2.5e-07, 1024
2.08e-07, 2048
1.417e-06, 4096
3.875e-06, 8192
6.667e-06, 16384
1.3209e-05, 32768
2.625e-05, 65536
4.8458e-05, 131072
0.000102625, 262144
0.000196042, 524288
0.000483125, 1048576
0.000996333, 2097152
0.00207475, 4194304
4.2e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.5e-06, 4096
3.5e-06, 8192
7.125e-06, 16384
1.3334e-05, 32768
2.2958e-05, 65536
5.5708e-05, 131072
