time, size
8.3e-08, 512
3.34e-07, 1024
4.16e-07, 2048
2.417e-06, 4096
6.542e-06, 8192
8.125e-06, 16384
1.2e-05, 32768
2.4708e-05, 65536
4.5959e-05, 131072
0.000101333, 262144
0.000393916, 524288
0.000501958, 1048576
0.00103579, 2097152
0.00208258, 4194304
8.3e-08, 512
8.4e-08, 1024
2.08e-07, 2048
1.458e-06, 4096
3.917e-06, 8192
7.292e-06, 16384
1.3125e-05, 32768
2.3291e-05, 65536
5.1709e-05, 131072
0.000102916, 262144
0.000205708, 524288
0.000497291, 1048576
0.00101133, 2097152
0.00203721, 4194304
8.3e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.292e-06, 4096
4.125e-06, 8192
6.292e-06, 16384
1.2791e-05, 32768
2.5209e-05, 65536
5.325e-05, 131072
0.000119459, 262144
0.00023475, 524288
0.000473125, 1048576
0.00105571, 2097152
0.00232558, 4194304
4.1e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.875e-06, 4096
4.459e-06, 8192
6.917e-06, 16384
1.2667e-05, 32768
2.6292e-05, 65536
5.5375e-05, 131072
0.0001195, 262144
0.000229333, 524288
0.000464375, 1048576
0.00100971, 2097152
0.00201388, 4194304
8.3e-08, 512
8.3e-08, 1024
2.5e-07, 2048
1.333e-06, 4096
3.791e-06, 8192
1.5917e-05, 16384
1.2916e-05, 32768
2.5084e-05, 65536
5.5625e-05, 131072
0.00010825, 262144
0.000243459, 524288
0.000652375, 1048576
0.00107633, 2097152
0.00203942, 4194304
8.3e-08, 512
8.4e-08, 1024
2.08e-07, 2048
1.375e-06, 4096
3.667e-06, 8192
1.9166e-05, 16384
1.5417e-05, 32768
3.625e-05, 65536
4.8708e-05, 131072
9.4583e-05, 262144
0.000228334, 524288
0.000514333, 1048576
0.00104421, 2097152
0.00236038, 4194304
4.2e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.292e-06, 4096
4.333e-06, 8192
2.2708e-05, 16384
1.4875e-05, 32768
2.4042e-05, 65536
4.9625e-05, 131072
0.0001695, 262144
0.000203833, 524288
0.000444125, 1048576
0.00104358, 2097152
0.00207329, 4194304
4.2e-08, 512
1.25e-07, 1024
1.67e-07, 2048
1.833e-06, 4096
4.083e-06, 8192
6.958e-06, 16384
1.2625e-05, 32768
2.9875e-05, 65536
5.425e-05, 131072
0.000100292, 262144
0.000188709, 524288
0.000443208, 1048576
0.000976041, 2097152
0.00211083, 4194304
8.3e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.583e-06, 4096
3.459e-06, 8192
7.375e-06, 16384
1.225e-05, 32768
2.4791e-05, 65536
4.8125e-05, 131072
0.0001095, 262144
0.000196917, 524288
0.0004625, 1048576
0.00098375, 2097152
0.00244408, 4194304
8.3e-08, 512
8.3e-08, 1024
2.5e-07, 2048
1.292e-06, 4096
4.458e-06, 8192
7.209e-06, 16384
1.3125e-05, 32768
2.4625e-05, 65536
4.6833e-05, 131072
9.4583e-05, 262144
0.000201375, 524288
0.000477291, 1048576
0.0010695, 2097152
0.00246758, 4194304
4.1e-08, 512
8.3e-08, 1024
1.67e-07, 2048
1.333e-06, 4096
3.417e-06, 8192
7.542e-06, 16384
1.2208e-05, 32768
2.8375e-05, 65536
5.9958e-05, 131072
0.000111292, 262144
0.00021025, 524288
0.00068475, 1048576
0.00109317, 2097152
0.00212217, 4194304
8.3e-08, 512
1.25e-07, 1024
2.5e-07, 2048
1.833e-06, 4096
3.375e-06, 8192
7.875e-06, 16384
3.1333e-05, 32768
3.1666e-05, 65536
4.6084e-05, 131072
0.000118333, 262144
0.000187917, 524288
0.000443666, 1048576
0.00100821, 2097152
0.00199017, 4194304
8.3e-08, 512
1.25e-07, 1024
2.08e-07, 2048
