time, size
8.3e-08, 512
2.91e-07, 1024
4.16e-07, 2048
2.166e-06, 4096
5.833e-06, 8192
9.875e-06, 16384
2.9375e-05, 32768
2.2375e-05, 65536
4.6458e-05, 131072
0.000113333, 262144
0.000188417, 524288
0.000641583, 1048576
0.00101446, 2097152
0.00248571, 4194304
8.4e-08, 512
8.3e-08, 1024
2.09e-07, 2048
1.5e-06, 4096
3.625e-06, 8192
6.792e-06, 16384
1.1708e-05, 32768
2.3334e-05, 65536
4.7125e-05, 131072
9.8416e-05, 262144
0.000194833, 524288
0.000459083, 1048576
0.000932208, 2097152
0.002148, 4194304
8.3e-08, 512
1.25e-07, 1024
1.67e-07, 2048
1.208e-06, 4096
1.4375e-05, 8192
9.667e-06, 16384
1.15e-05, 32768
2.725e-05, 65536
4.7167e-05, 131072
9.3292e-05, 262144
0.000212542, 524288
0.000440166, 1048576
0.00105937, 2097152
0.00204358, 4194304
8.3e-08, 512
1.25e-07, 1024
1.67e-07, 2048
1.25e-06, 4096
1.1083e-05, 8192
7.125e-06, 16384
1.3625e-05, 32768
2.2584e-05, 65536
5.0917e-05, 131072
9.6792e-05, 262144
0.00019725, 524288
0.000429083, 1048576
0.00100125, 2097152
0.00205383, 4194304
8.3e-08, 512
1.25e-07, 1024
2.92e-07, 2048
1.167e-06, 4096
3.958e-06, 8192
6.708e-06, 16384
1.2375e-05, 32768
2.6625e-05, 65536
4.7541e-05, 131072
0.000114625, 262144
0.000188792, 524288
0.000514792, 1048576
0.00093175, 2097152
0.002107, 4194304
8.3e-08, 512
1.66e-07, 1024
2.09e-07, 2048
1.708e-06, 4096
3.25e-06, 8192
6.375e-06, 16384
1.2916e-05, 32768
3.8417e-05, 65536
4.8e-05, 131072
9.2541e-05, 262144
0.00019125, 524288
0.000495208, 1048576
0.00103038, 2097152
0.00194133, 4194304
8.4e-08, 512
1.25e-07, 1024
2.08e-07, 2048
2.584e-06, 4096
3.666e-06, 8192
6.5e-06, 16384
1.3333e-05, 32768
2.7542e-05, 65536
4.9458e-05, 131072
9.9417e-05, 262144
0.000195917, 524288
0.00056725, 1048576
0.00111471, 2097152
0.00222104, 4194304
8.3e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.25e-06, 4096
3.708e-06, 8192
7.625e-06, 16384
1.2458e-05, 32768
2.225e-05, 65536
4.7042e-05, 131072
9.9208e-05, 262144
0.000202166, 524288
0.000536833, 1048576
0.000995209, 2097152
0.0020355, 4194304
8.4e-08, 512
8.3e-08, 1024
2.09e-07, 2048
1.667e-06, 4096
4.084e-06, 8192
6.292e-06, 16384
1.3792e-05, 32768
2.8792e-05, 65536
5e-05, 131072
0.000133167, 262144
0.000200041, 524288
0.000475791, 1048576
0.00103738, 2097152
0.00201979, 4194304
8.3e-08, 512
1.25e-07, 1024
2.08e-07, 2048
1.917e-06, 4096
4.042e-06, 8192
1.8917e-05, 16384
1.2125e-05, 32768
2.8084e-05, 65536
4.9333e-05, 131072
9.3833e-05, 262144
0.000189292, 524288
0.000428333, 1048576
0.000912916, 2097152
0.00202583, 4194304
8.3e-08, 512
1.25e-07, 1024
2.5e-07, 2048
1.208e-06, 4096
3.25e-06, 8192
6.542e-06, 16384
1.1792e-05, 32768
2.4458e-05, 65536
4.6667e-05, 131072
0.000102417, 262144
0.000200542, 524288
0.000453458, 1048576
0.00102175, 2097152
0.00216467, 4194304
4.2e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.042e-06, 4096
3.167e-06, 8192
6.209e-06, 16384
1.2834e-05, 32768
2.3791e-05, 65536
4.4375e-05, 131072
9.15e-05, 262144
0.000213208, 524288
0.000456625, 1048576
0.00094625, 2097152
0.00200417, 4194304
4.1e-08, 512
2.91e-07, 1024
2.09e-07, 2048
1.208e-06, 4096
3.458e-06, 8192
6.708e-06, 16384
1.8292e-05, 32768
2.2375e-05, 65536
4.425e-05, 131072
9.3209e-05, 262144
0.000188459, 524288
0.000425875, 1048576
0.00100558, 2097152
0.00201063, 4194304
1.25e-07, 512
8.4e-08, 1024
1.67e-07, 2048
1.083e-06, 4096
3.666e-06, 8192
5.542e-06, 16384
1.1458e-05, 32768
2.2459e-05, 65536
4.35e-05, 131072
8.9583e-05, 262144
0.000215708, 524288
0.000469708, 1048576
0.001008, 2097152
0.00196025, 4194304
8.4e-08, 512
4.2e-08, 1024
3.75e-07, 2048
1.666e-06, 4096
3.708e-06, 8192
7.542e-06, 16384
1.2916e-05, 32768
2.7e-05, 65536
5.7584e-05, 131072
8.7541e-05, 262144
0.000233208, 524288
0.000403333, 1048576
0.00099225, 2097152
0.00195496, 4194304
8.4e-08, 512
1.66e-07, 1024
2.09e-07, 2048
1.584e-06, 4096
3.125e-06, 8192
5.875e-06, 16384
1.1375e-05, 32768
2.3e-05, 65536
4.7375e-05, 131072
0.000101417, 262144
0.000220792, 524288
0.000471542, 1048576
0.00102404, 2097152
0.00197737, 4194304
8.3e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.458e-06, 4096
4e-06, 8192
5.959e-06, 16384
1.3084e-05, 32768
2.3334e-05, 65536
4.9667e-05, 131072
9.5541e-05, 262144
0.000195, 524288
0.000453333, 1048576
0.000936458, 2097152
0.00200138, 4194304
8.3e-08, 512
1.25e-07, 1024
2.09e-07, 2048
1.208e-06, 4096
3.291e-06, 8192
6.208e-06, 16384
1.1417e-05, 32768
2.2459e-05, 65536
4.4333e-05, 131072
8.8333e-05, 262144
0.000192958, 524288
0.000453917, 1048576
0.00103838, 2097152
0.00205692, 4194304
8.3e-08, 512
2.09e-07, 1024
2.08e-07, 2048
1.209e-06, 4096
3.75e-06, 8192
6.125e-06, 16384
1.2541e-05, 32768
3.6416e-05, 65536
4.8167e-05, 131072
9.0166e-05, 262144
0.00021875, 524288
0.000502833, 1048576
0.000931083, 2097152
0.0019955, 4194304
8.3e-08, 512
1.25e-07, 1024
1.66e-07, 2048
1.708e-06, 4096
3.709e-06, 8192
2.3583e-05, 16384
1.2417e-05, 32768
2.5208e-05, 65536
4.4959e-05, 131072
9.8416e-05, 262144
0.00022825, 524288
0.000609792, 1048576
0.00096575, 2097152
0.00200683, 4194304
