time, size
3.34e-07, 512
3.33e-07, 1024
2.458e-06, 2048
4.167e-06, 4096
9.041e-06, 8192
1.7583e-05, 16384
2.2584e-05, 32768
4.75e-05, 65536
9.85e-05, 131072
0.000201166, 262144
0.000555291, 524288
0.00111767, 1048576
0.00199371, 2097152
0.00417083, 4194304
1.25e-07, 512
1.25e-07, 1024
1.167e-06, 2048
2.375e-06, 4096
6.5e-06, 8192
1.1084e-05, 16384
2.25e-05, 32768
4.2166e-05, 65536
8.9208e-05, 131072
0.000182209, 262144
0.000461042, 524288
0.00091425, 1048576
0.0020385, 2097152
0.00411242, 4194304
1.25e-07, 512
1.67e-07, 1024
1.25e-06, 2048
2.417e-06, 4096
5.5e-06, 8192
1.2e-05, 16384
2.4083e-05, 32768
4.7083e-05, 65536
0.000105291, 131072
0.000194917, 262144
0.00045075, 524288
0.00101596, 1048576
0.00211154, 2097152
0.00394842, 4194304
1.25e-07, 512
1.67e-07, 1024
1.083e-06, 2048
2.458e-06, 4096
5.917e-06, 8192
1.0667e-05, 16384
2.2875e-05, 32768
5.0583e-05, 65536
9.1042e-05, 131072
0.000183042, 262144
0.000415833, 524288
0.001001, 1048576
0.00191817, 2097152
0.00423179, 4194304
1.25e-07, 512
1.66e-07, 1024
1.417e-06, 2048
2.375e-06, 4096
6.583e-06, 8192
1.8459e-05, 16384
2.4459e-05, 32768
4.3375e-05, 65536
8.7166e-05, 131072
0.000214292, 262144
0.000651917, 524288
0.000984667, 1048576
0.00200158, 2097152
0.00409279, 4194304
8.3e-08, 512
1.66e-07, 1024
1.209e-06, 2048
2.333e-06, 4096
4.791e-06, 8192
1.15e-05, 16384
2.1125e-05, 32768
4.6458e-05, 65536
9.4167e-05, 131072
0.000182042, 262144
0.000428292, 524288
0.00110533, 1048576
0.00206504, 2097152
0.00439913, 4194304
1.66e-07, 512
1.25e-07, 1024
1.25e-06, 2048
2.292e-06, 4096
5.833e-06, 8192
1.2167e-05, 16384
2.3417e-05, 32768
4.7084e-05, 65536
0.000100917, 131072
0.000183083, 262144
0.000457542, 524288
0.000939209, 1048576
0.00201583, 2097152
0.00394529, 4194304
1.25e-07, 512
1.67e-07, 1024
1.083e-06, 2048
2.416e-06, 4096
5.25e-06, 8192
1.0583e-05, 16384
3.75e-05, 32768
4.7875e-05, 65536
8.85e-05, 131072
0.000223042, 262144
0.000434542, 524288
0.00098725, 1048576
0.00203433, 2097152
0.00405367, 4194304
8.3e-08, 512
4.17e-07, 1024
1.125e-06, 2048
2.333e-06, 4096
6.417e-06, 8192
1.125e-05, 16384
2.1e-05, 32768
4.4667e-05, 65536
0.000122125, 131072
0.000188916, 262144
0.000490291, 524288
0.000980625, 1048576
0.00208792, 2097152
0.00397275, 4194304
8.3e-08, 512
1.67e-07, 1024
1.208e-06, 2048
2.75e-06, 4096
5.708e-06, 8192
1.2667e-05, 16384
0.000112667, 32768
6.3875e-05, 65536
9.3959e-05, 131072
0.000228125, 262144
0.00046325, 524288
0.000928791, 1048576
0.00207163, 2097152
0.00466937, 4194304
1.25e-07, 512
1.67e-07, 1024
1.292e-06, 2048
2.334e-06, 4096
5.041e-06, 8192
1.1416e-05, 16384
2.2083e-05, 32768
5.7417e-05, 65536
8.4041e-05, 131072
0.000205583, 262144
0.000445542, 524288
0.00104129, 1048576
0.00202329, 2097152
0.00425629, 4194304
1.25e-07, 512
1.25e-07, 1024
1.209e-06, 2048
3.334e-06, 4096
7.333e-06, 8192
1.9042e-05, 16384
4.1958e-05, 32768
4.7e-05, 65536
9.9584e-05, 131072
0.000184417, 262144
0.000482458, 524288
0.000990042, 1048576
0.00200492, 2097152
0.00423883, 4194304
1.25e-07, 512
1.25e-07, 1024
1.625e-06, 2048
2.291e-06, 4096
6e-06, 8192
1.1417e-05, 16384
2.2334e-05, 32768
4.5375e-05, 65536
8.5166e-05, 131072
0.000192917, 262144
0.000521042, 524288
0.00111304, 1048576
0.00205242, 2097152
0.00402367, 4194304
2.08e-07, 512
2.09e-07, 1024
1.333e-06, 2048
2.25e-06, 4096
5e-06, 8192
2.0584e-05, 16384
2.35e-05, 32768
5.2291e-05, 65536
8.7084e-05, 131072
0.000231084, 262144
0.000651125, 524288
0.00103671, 1048576
0.00194108, 2097152
0.00409962, 4194304
8.3e-08, 512
1.67e-07, 1024
1.25e-06, 2048
2.333e-06, 4096
5.541e-06, 8192
1.2167e-05, 16384
