time, size
2.5e-07, 512
4.16e-07, 1024
2.5e-06, 2048
5.416e-06, 4096
1.25e-05, 8192
1.8833e-05, 16384
3.7209e-05, 32768
5.4292e-05, 65536
9.8166e-05, 131072
0.000210875, 262144
0.000488292, 524288
0.000997833, 1048576
0.00207258, 2097152
0.00456471, 4194304
1.25e-07, 512
2.09e-07, 1024
1.333e-06, 2048
3.667e-06, 4096
6.375e-06, 8192
1.4333e-05, 16384
2.3417e-05, 32768
5.6791e-05, 65536
0.000178417, 131072
0.000216333, 262144
0.000534625, 524288
0.001019, 1048576
0.00221421, 2097152
0.00420854, 4194304
8.3e-08, 512
2.09e-07, 1024
1.25e-06, 2048
3.208e-06, 4096
8.708e-06, 8192
1.2959e-05, 16384
2.3625e-05, 32768
4.7084e-05, 65536
9.2125e-05, 131072
0.000196042, 262144
0.000406125, 524288
0.000985542, 1048576
0.00324617, 2097152
0.00564146, 4194304
8.3e-08, 512
1.66e-07, 1024
1.375e-06, 2048
3.542e-06, 4096
6.75e-06, 8192
1.3667e-05, 16384
3.0208e-05, 32768
5.2125e-05, 65536
0.000118167, 131072
0.000243875, 262144
0.000617125, 524288
0.00123029, 1048576
0.00211979, 2097152
0.00435633, 4194304
1.25e-07, 512
2.08e-07, 1024
2.25e-06, 2048
3.458e-06, 4096
6.416e-06, 8192
1.9541e-05, 16384
3.0542e-05, 32768
5.5959e-05, 65536
0.000107959, 131072
0.000215292, 262144
0.000532292, 524288
0.000983375, 1048576
0.00263504, 2097152
0.00511229, 4194304
8.3e-08, 512
2.09e-07, 1024
1.334e-06, 2048
3.584e-06, 4096
6.541e-06, 8192
1.4125e-05, 16384
2.5208e-05, 32768
5.3709e-05, 65536
0.000109, 131072
0.000196417, 262144
0.000455791, 524288
0.00128508, 1048576
0.00251783, 2097152
0.00563538, 4194304
8.3e-08, 512
2.08e-07, 1024
1.291e-06, 2048
3.625e-06, 4096
6.958e-06, 8192
1.4209e-05, 16384
3.375e-05, 32768
6.2833e-05, 65536
9.6042e-05, 131072
0.000204125, 262144
0.000479833, 524288
0.00107483, 1048576
0.00220921, 2097152
0.00437671, 4194304
8.3e-08, 512
1.66e-07, 1024
1.459e-06, 2048
3.334e-06, 4096
6.041e-06, 8192
1.3e-05, 16384
2.4125e-05, 32768
5.1625e-05, 65536
9.3709e-05, 131072
0.000190084, 262144
0.000449792, 524288
0.000999042, 1048576
0.00271467, 2097152
0.00552821, 4194304
1.25e-07, 512
2.09e-07, 1024
1.291e-06, 2048
3.375e-06, 4096
7.708e-06, 8192
1.425e-05, 16384
2.4542e-05, 32768
4.7167e-05, 65536
9.4708e-05, 131072
0.000214917, 262144
0.000473958, 524288
0.00113504, 1048576
0.00202579, 2097152
0.00514083, 4194304
1.25e-07, 512
2.09e-07, 1024
1.958e-06, 2048
3.333e-06, 4096
7e-06, 8192
1.2875e-05, 16384
4.8542e-05, 32768
4.9209e-05, 65536
9.175e-05, 131072
0.000202667, 262144
0.000464584, 524288
0.00115329, 1048576
0.00214308, 2097152
0.00436088, 4194304
8.3e-08, 512
2.08e-07, 1024
1.417e-06, 2048
3.5e-06, 4096
6.834e-06, 8192
1.3333e-05, 16384
2.3625e-05, 32768
4.95e-05, 65536
0.000104834, 131072
0.00021325, 262144
0.0004785, 524288
0.00101483, 1048576
0.00243425, 2097152
0.00435642, 4194304
8.4e-08, 512
2.08e-07, 1024
1.5e-06, 2048
3.458e-06, 4096
9.083e-06, 8192
1.5167e-05, 16384
2.7125e-05, 32768
5.2334e-05, 65536
9.5958e-05, 131072
0.000197875, 262144
0.000474666, 524288
0.000953958, 1048576
0.00217125, 2097152
0.00423633, 4194304
8.4e-08, 512
2.5e-07, 1024
1.417e-06, 2048
3.5e-06, 4096
7.042e-06, 8192
1.375e-05, 16384
2.5917e-05, 32768
4.8292e-05, 65536
0.000116208, 131072
0.00019725, 262144
0.000429291, 524288
0.000992584, 1048576
0.00247467, 2097152
0.00489925, 4194304
8.4e-08, 512
3.33e-07, 1024
1.542e-06, 2048
3.292e-06, 4096
7.042e-06, 8192
1.2709e-05, 16384
2.4708e-05, 32768
5.875e-05, 65536
0.000112542, 131072
0.000215791, 262144
0.000404208, 524288
0.000964291, 1048576
0.00213496, 2097152
0.00404046, 4194304
8.3e-08, 512
2.08e-07, 1024
1.75e-06, 2048
3.333e-06, 4096
8.709e-06, 8192
1.7375e-05, 16384
2.5625e-05, 32768
6.4792e-05, 65536
9.5833e-05, 131072
0.0002485, 262144
0.000543042, 524288
0.00100204, 1048576
0.00271454, 2097152
0.00684, 4194304
1.25e-07, 512
2.08e-07, 1024
1.458e-06, 2048
3.625e-06, 4096
7.416e-06, 8192
2.3375e-05, 16384
2.4083e-05, 32768
4.875e-05, 65536
9.9167e-05, 131072
0.0002095, 262144
0.000431459, 524288
0.000992959, 1048576
0.00208829, 2097152
0.00478567, 4194304
1.25e-07, 512
2.08e-07, 1024
2.292e-06, 2048
3.375e-06, 4096
1.6875e-05, 8192
1.3083e-05, 16384
2.5041e-05, 32768
6.3166e-05, 65536
9.7459e-05, 131072
0.000201542, 262144
0.000476833, 524288
0.000994875, 1048576
0.00217025, 2097152
0.004708, 4194304
1.25e-07, 512
2.5e-07, 1024
1.458e-06, 2048
3.625e-06, 4096
7.916e-06, 8192
1.2542e-05, 16384
2.5083e-05, 32768
4.9958e-05, 65536
0.00010325, 131072
0.000190791, 262144
0.000513166, 524288
0.00109429, 1048576
0.00212517, 2097152
0.00421487, 4194304
1.25e-07, 512
2.09e-07, 1024
2.125e-06, 2048
4.083e-06, 4096
7.75e-06, 8192
2.1959e-05, 16384
3.2083e-05, 32768
4.7167e-05, 65536
9.6166e-05, 131072
0.000212792, 262144
0.000537833, 524288
0.000973166, 1048576
0.00206125, 2097152
0.00419171, 4194304
1.25e-07, 512
1.66e-07, 1024
2.167e-06, 2048
3.375e-06, 4096
8.458e-06, 8192
1.2458e-05, 16384
2.4291e-05, 32768
6.3292e-05, 65536
9.575e-05, 131072
0.000249166, 262144
0.000523458, 524288
0.000976375, 1048576
0.00265154, 2097152
0.00452525, 4194304
