time, size
3.75e-07, 512
4.59e-07, 1024
2.417e-06, 2048
3.458e-06, 4096
6.25e-06, 8192
1.275e-05, 16384
2.4042e-05, 32768
4.7042e-05, 65536
9.575e-05, 131072
0.000200625, 262144
0.000453334, 524288
0.00142513, 1048576
0.00205942, 2097152
0.00413133, 4194304
8.3e-08, 512
1.67e-07, 1024
1.417e-06, 2048
3.541e-06, 4096
6.625e-06, 8192
1.3792e-05, 16384
2.5375e-05, 32768
5.6125e-05, 65536
0.000104417, 131072
0.000221791, 262144
0.00040825, 524288
0.00109779, 1048576
0.00201467, 2097152
0.00488454, 4194304
1.25e-07, 512
2.09e-07, 1024
1.542e-06, 2048
4.041e-06, 4096
8.375e-06, 8192
1.8917e-05, 16384
2.3958e-05, 32768
4.6708e-05, 65536
0.000121959, 131072
0.000200708, 262144
0.00045775, 524288
0.00113383, 1048576
0.00237671, 2097152
0.00439896, 4194304
1.25e-07, 512
1.67e-07, 1024
1.334e-06, 2048
3.584e-06, 4096
6.708e-06, 8192
1.3333e-05, 16384
2.4833e-05, 32768
5.0208e-05, 65536
0.000112334, 131072
0.000215708, 262144
0.000405125, 524288
0.001022, 1048576
0.002112, 2097152
0.00426621, 4194304
8.3e-08, 512
2.5e-07, 1024
2.583e-06, 2048
3.334e-06, 4096
6.75e-06, 8192
1.35e-05, 16384
2.5709e-05, 32768
4.7583e-05, 65536
9.4292e-05, 131072
0.000195041, 262144
0.000470833, 524288
0.000974625, 1048576
0.00216488, 2097152
0.00416367, 4194304
1.25e-07, 512
1.67e-07, 1024
1.917e-06, 2048
3.625e-06, 4096
7.333e-06, 8192
1.4541e-05, 16384
2.3917e-05, 32768
5.1459e-05, 65536
9.9125e-05, 131072
0.000199417, 262144
0.000399167, 524288
0.000984458, 1048576
0.00211933, 2097152
0.00421113, 4194304
8.3e-08, 512
2.09e-07, 1024
1.375e-06, 2048
3.417e-06, 4096
6.208e-06, 8192
1.425e-05, 16384
2.3417e-05, 32768
5.7792e-05, 65536
9.5125e-05, 131072
0.000230417, 262144
0.000422958, 524288
0.000907958, 1048576
0.00208738, 2097152
0.00407667, 4194304
8.3e-08, 512
2.08e-07, 1024
1.541e-06, 2048
3.291e-06, 4096
6.875e-06, 8192
1.2e-05, 16384
2.3833e-05, 32768
5.4e-05, 65536
0.000113334, 131072
0.000225375, 262144
0.000413667, 524288
0.00103692, 1048576
0.00211938, 2097152
0.00440904, 4194304
8.3e-08, 512
1.66e-07, 1024
1.375e-06, 2048
3.875e-06, 4096
8.917e-06, 8192
1.2834e-05, 16384
2.3125e-05, 32768
5.6292e-05, 65536
9.2458e-05, 131072
0.0001865, 262144
0.000421708, 524288
0.000958667, 1048576
0.00219433, 2097152
0.00465492, 4194304
1.25e-07, 512
2.09e-07, 1024
1.792e-06, 2048
3.417e-06, 4096
8.583e-06, 8192
1.2584e-05, 16384
2.4625e-05, 32768
5.4958e-05, 65536
0.00011575, 131072
0.000218833, 262144
0.000411334, 524288
0.00106517, 1048576
0.00199713, 2097152
0.00414758, 4194304
1.25e-07, 512
2.08e-07, 1024
1.584e-06, 2048
3.459e-06, 4096
6.209e-06, 8192
1.325e-05, 16384
2.5875e-05, 32768
5.05e-05, 65536
9.5875e-05, 131072
0.000236458, 262144
0.000481292, 524288
0.000930291, 1048576
0.00202229, 2097152
0.00395208, 4194304
1.25e-07, 512
1.66e-07, 1024
1.542e-06, 2048
3.5e-06, 4096
9.208e-06, 8192
1.2542e-05, 16384
2.4083e-05, 32768
5.0375e-05, 65536
0.000110834, 131072
0.00027675, 262144
0.000408542, 524288
0.00101096, 1048576
0.002139, 2097152
0.00402792, 4194304
1.25e-07, 512
2.08e-07, 1024
1.75e-06, 2048
3.375e-06, 4096
6.959e-06, 8192
1.3333e-05, 16384
2.3958e-05, 32768
4.6209e-05, 65536
0.000115583, 131072
0.000206083, 262144
0.000539083, 524288
0.000956167, 1048576
0.00194404, 2097152
0.00427171, 4194304
1.25e-07, 512
2.08e-07, 1024
1.459e-06, 2048
3.291e-06, 4096
6.709e-06, 8192
2.7042e-05, 16384
2.6917e-05, 32768
6.7083e-05, 65536
0.00011, 131072
0.000195667, 262144
0.000478916, 524288
0.0009855, 1048576
0.00215458, 2097152
0.00417421, 4194304
1.25e-07, 512
2.08e-07, 1024
1.458e-06, 2048
4.125e-06, 4096
6.792e-06, 8192
1.2708e-05, 16384
2.5916e-05, 32768
4.7042e-05, 65536
9.2334e-05, 131072
0.000214917, 262144
0.000446834, 524288
0.000962709, 1048576
0.00197888, 2097152
0.00407592, 4194304
1.25e-07, 512
2.5e-07, 1024
2e-06, 2048
3.458e-06, 4096
7.208e-06, 8192
1.3375e-05, 16384
2.3875e-05, 32768
6.4291e-05, 65536
0.000104625, 131072
0.000193917, 262144
0.000434958, 524288
0.00100767, 1048576
0.00213571, 2097152
0.00409358, 4194304
1.25e-07, 512
2.09e-07, 1024
1.667e-06, 2048
3.375e-06, 4096
7e-06, 8192
1.2666e-05, 16384
2.3125e-05, 32768
4.6166e-05, 65536
9.4083e-05, 131072
0.00020075, 262144
0.000418625, 524288
0.00100296, 1048576
0.00196983, 2097152
0.00439904, 4194304
8.4e-08, 512
1.66e-07, 1024
1.375e-06, 2048
3.791e-06, 4096
7.333e-06, 8192
2.6958e-05, 16384
2.4375e-05, 32768
4.5791e-05, 65536
0.000111083, 131072
0.000199417, 262144
0.000424042, 524288
0.00103446, 1048576
0.00212304, 2097152
0.00418733, 4194304
1.25e-07, 512
2.08e-07, 1024
1.875e-06, 2048
3.5e-06, 4096
6.5e-06, 8192
1.35e-05, 16384
2.7417e-05, 32768
5.2667e-05, 65536
9.4917e-05, 131072
0.000196958, 262144
0.000415333, 524288
0.000940667, 1048576
0.00201546, 2097152
0.00411933, 4194304
1.25e-07, 512
2.09e-07, 1024
1.5e-06, 2048
3.417e-06, 4096
7.209e-06, 8192
1.8208e-05, 16384
2.3583e-05, 32768
4.4708e-05, 65536
0.000102458, 131072
0.000203917, 262144
0.000406167, 524288
0.00103938, 1048576
0.00203367, 2097152
0.00413687, 4194304
