time, size
2.92e-07, 512
4.17e-07, 1024
2.208e-06, 2048
5.667e-06, 4096
7.541e-06, 8192
1.125e-05, 16384
2.4291e-05, 32768
4.6959e-05, 65536
0.000124458, 131072
0.000228834, 262144
0.000748041, 524288
0.00127858, 1048576
0.00260654, 2097152
0.0051, 4194304
1.25e-07, 512
1.67e-07, 1024
1.167e-06, 2048
3.375e-06, 4096
6.166e-06, 8192
1.2375e-05, 16384
2.1417e-05, 32768
5.0542e-05, 65536
0.000105375, 131072
0.000190083, 262144
0.000696458, 524288
0.00133879, 1048576
0.0025225, 2097152
0.004837, 4194304
1.25e-07, 512
1.67e-07, 1024
1.75e-06, 2048
3.083e-06, 4096
7.625e-06, 8192
1.2666e-05, 16384
2.4875e-05, 32768
4.325e-05, 65536
9.0167e-05, 131072
0.000318959, 262144
0.0004655, 524288
0.00124113, 1048576
0.00279713, 2097152
0.00567842, 4194304
1.25e-07, 512
1.66e-07, 1024
1.416e-06, 2048
3.292e-06, 4096
6.958e-06, 8192
1.1292e-05, 16384
2.5208e-05, 32768
4.6833e-05, 65536
8.9375e-05, 131072
0.00025175, 262144
0.000522708, 524288
0.00160079, 1048576
0.00294521, 2097152
0.00663471, 4194304
1.25e-07, 512
1.67e-07, 1024
1.375e-06, 2048
3.292e-06, 4096
7.209e-06, 8192
1.6458e-05, 16384
2.2541e-05, 32768
4.8333e-05, 65536
9.9875e-05, 131072
0.000408375, 262144
0.000591292, 524288
0.00127863, 1048576
0.00240779, 2097152
0.00649558, 4194304
8.3e-08, 512
1.67e-07, 1024
1.417e-06, 2048
3.209e-06, 4096
5.541e-06, 8192
1.2042e-05, 16384
2.275e-05, 32768
4.5791e-05, 65536
0.000105667, 131072
0.000235083, 262144
0.000495417, 524288
0.00134558, 1048576
0.00259588, 2097152
0.00583742, 4194304
8.4e-08, 512
2.08e-07, 1024
1.458e-06, 2048
3.417e-06, 4096
6.334e-06, 8192
1.1542e-05, 16384
3.3291e-05, 32768
4.3041e-05, 65536
9.4083e-05, 131072
0.000222375, 262144
0.000396459, 524288
0.000850375, 1048576
0.00172833, 2097152
0.00399125, 4194304
8.4e-08, 512
1.25e-07, 1024
1.291e-06, 2048
3.167e-06, 4096
7.416e-06, 8192
1.1458e-05, 16384
2.4e-05, 32768
6.3917e-05, 65536
9.9958e-05, 131072
0.000185084, 262144
0.000403167, 524288
0.000865834, 1048576
0.00181813, 2097152
0.00404863, 4194304
8.4e-08, 512
2.09e-07, 1024
1.5e-06, 2048
3.125e-06, 4096
5.667e-06, 8192
1.1583e-05, 16384
2.2958e-05, 32768
4.3042e-05, 65536
9.6875e-05, 131072
0.000203666, 262144
0.000388875, 524288
0.00101171, 1048576
0.00211321, 2097152
0.00531433, 4194304
8.3e-08, 512
1.67e-07, 1024
1.334e-06, 2048
3.084e-06, 4096
6.416e-06, 8192
1.425e-05, 16384
2.1667e-05, 32768
4.65e-05, 65536
9.1041e-05, 131072
0.000183458, 262144
0.000416125, 524288
0.000970708, 1048576
0.00203746, 2097152
0.0046875, 4194304
1.25e-07, 512
1.66e-07, 1024
1.25e-06, 2048
4.459e-06, 4096
7e-06, 8192
1.1584e-05, 16384
2.2459e-05, 32768
4.5e-05, 65536
0.000100666, 131072
0.000178458, 262144
0.000402959, 524288
0.00114288, 1048576
0.00215113, 2097152
0.00414808, 4194304
1.25e-07, 512
1.25e-07, 1024
1.375e-06, 2048
3.083e-06, 4096
6.5e-06, 8192
1.3166e-05, 16384
2.4417e-05, 32768
4.2042e-05, 65536
8.9375e-05, 131072
0.000179334, 262144
0.000442625, 524288
0.00116338, 1048576
0.00196721, 2097152
0.0043725, 4194304
1.25e-07, 512
1.67e-07, 1024
1.25e-06, 2048
3e-06, 4096
7.541e-06, 8192
1.35e-05, 16384
4.8583e-05, 32768
7.4333e-05, 65536
0.000117875, 131072
0.000211041, 262144
0.000422833, 524288
0.000919916, 1048576
0.00207775, 2097152
0.00415183, 4194304
1.25e-07, 512
2.08e-07, 1024
1.292e-06, 2048
3.292e-06, 4096
6.375e-06, 8192
1.3708e-05, 16384
2.3167e-05, 32768
4.9084e-05, 65536
8.5541e-05, 131072
0.000243167, 262144
0.000465833, 524288
0.00100758, 1048576
0.00200846, 2097152
0.00406346, 4194304
8.3e-08, 512
2.08e-07, 1024
1.75e-06, 2048
3.166e-06, 4096
8.417e-06, 8192
1.3084e-05, 16384
2.1334e-05, 32768
4.8125e-05, 65536
8.9916e-05, 131072
0.000220625, 262144
0.000479125, 524288
0.000937083, 1048576
0.00199508, 2097152
0.00411933, 4194304
1.25e-07, 512
1.67e-07, 1024
1.083e-06, 2048
3.417e-06, 4096
8.458e-06, 8192
1.4e-05, 16384
2.4583e-05, 32768
4.9875e-05, 65536
9.8208e-05, 131072
0.000188417, 262144
0.000416958, 524288
0.000975458, 1048576
0.00203346, 2097152
0.00406917, 4194304
1.25e-07, 512
2.08e-07, 1024
1.25e-06, 2048
3.208e-06, 4096
7e-06, 8192
1.325e-05, 16384
2.5458e-05, 32768
4.4e-05, 65536
9.05e-05, 131072
0.000190792, 262144
0.000484666, 524288
0.000938583, 1048576
0.00203308, 2097152
0.00423433, 4194304
8.3e-08, 512
1.67e-07, 1024
1.292e-06, 2048
3e-06, 4096
6.292e-06, 8192
2.0041e-05, 16384
4.1792e-05, 32768
4.3459e-05, 65536
0.000101917, 131072
0.000316, 262144
0.000393, 524288
0.00108971, 1048576
0.00206567, 2097152
0.00404779, 4194304
1.25e-07, 512
2.09e-07, 1024
1.459e-06, 2048
3.167e-06, 4096
7.416e-06, 8192
1.175e-05, 16384
2.3084e-05, 32768
4.625e-05, 65536
9.525e-05, 131072
0.00018225, 262144
0.000399208, 524288
0.00112, 1048576
0.00191842, 2097152
0.00391271, 4194304
8.3e-08, 512
1.67e-07, 1024
1.916e-06, 2048
3.375e-06, 4096
7.292e-06, 8192
1.2958e-05, 16384
2.2709e-05, 32768
4.5875e-05, 65536
8.9583e-05, 131072
0.000186083, 262144
0.000493084, 524288
0.000929333, 1048576
0.00188925, 2097152
0.00402933, 4194304
