time, size
1.67e-07, 512
8.33e-07, 1024
3.291e-06, 2048
3.25e-06, 4096
8.75e-06, 8192
1.25e-05, 16384
2.6083e-05, 32768
5.075e-05, 65536
0.00011175, 131072
0.000207875, 262144
0.000426541, 524288
0.00170333, 1048576
0.00207887, 2097152
0.00480642, 4194304
2.08e-07, 512
3.34e-07, 1024
3.958e-06, 2048
3.125e-06, 4096
6.792e-06, 8192
1.2542e-05, 16384
2.6375e-05, 32768
5.3291e-05, 65536
9.7125e-05, 131072
0.000205709, 262144
0.000434875, 524288
0.00121625, 1048576
0.00214158, 2097152
0.00418721, 4194304
1.67e-07, 512
3.34e-07, 1024
1.5e-06, 2048
3.917e-06, 4096
6.709e-06, 8192
2.8791e-05, 16384
2.7583e-05, 32768
4.7875e-05, 65536
0.00010275, 131072
0.000192042, 262144
0.000614125, 524288
0.000984625, 1048576
0.00203604, 2097152
0.00398858, 4194304
2.5e-07, 512
3.33e-07, 1024
1.5e-06, 2048
3e-06, 4096
6.5e-06, 8192
1.2292e-05, 16384
2.5042e-05, 32768
4.9541e-05, 65536
0.000130209, 131072
0.000240834, 262144
0.000452916, 524288
0.00105775, 1048576
0.00207237, 2097152
0.00405537, 4194304
2.09e-07, 512
3.33e-07, 1024
1.917e-06, 2048
2.958e-06, 4096
7.291e-06, 8192
1.2917e-05, 16384
4.5417e-05, 32768
4.7334e-05, 65536
0.000108833, 131072
0.000192125, 262144
0.000661542, 524288
0.00102812, 1048576
0.00204167, 2097152
0.00418892, 4194304
2.08e-07, 512
3.33e-07, 1024
2.083e-06, 2048
3e-06, 4096
7.625e-06, 8192
1.3625e-05, 16384
2.5417e-05, 32768
6.5709e-05, 65536
9.9625e-05, 131072
0.00024725, 262144
0.00054275, 524288
0.00127288, 1048576
0.00198938, 2097152
0.00416738, 4194304
1.67e-07, 512
3.34e-07, 1024
2.084e-06, 2048
3.25e-06, 4096
7.042e-06, 8192
1.7334e-05, 16384
2.7042e-05, 32768
5.3833e-05, 65536
0.000116, 131072
0.000201625, 262144
0.000499917, 524288
0.00107538, 1048576
0.002154, 2097152
0.00424304, 4194304
2.08e-07, 512
3.33e-07, 1024
1.417e-06, 2048
3.042e-06, 4096
7.584e-06, 8192
1.2333e-05, 16384
2.8333e-05, 32768
5e-05, 65536
0.000116375, 131072
0.000241416, 262144
0.000455833, 524288
0.000995208, 1048576
0.00205975, 2097152
0.00413054, 4194304
2.09e-07, 512
3.34e-07, 1024
1.583e-06, 2048
3e-06, 4096
1.3583e-05, 8192
1.375e-05, 16384
2.5458e-05, 32768
5.7083e-05, 65536
0.000107417, 131072
0.000202166, 262144
0.000414666, 524288
0.00106854, 1048576
0.00213408, 2097152
0.00421517, 4194304
1.67e-07, 512
3.33e-07, 1024
1.5e-06, 2048
3.667e-06, 4096
7.166e-06, 8192
1.25e-05, 16384
2.6042e-05, 32768
5.0459e-05, 65536
0.000109625, 131072
0.000200292, 262144
0.00047075, 524288
0.00101771, 1048576
0.00225354, 2097152
0.00427854, 4194304
2.08e-07, 512
3.33e-07, 1024
1.625e-06, 2048
2.875e-06, 4096
6.5e-06, 8192
1.225e-05, 16384
2.5709e-05, 32768
4.9e-05, 65536
0.000183333, 131072
0.000500833, 262144
0.00111738, 524288
0.00101575, 1048576
0.00208492, 2097152
0.00420233, 4194304
2.08e-07, 512
3.34e-07, 1024
1.708e-06, 2048
3e-06, 4096
6.875e-06, 8192
1.3625e-05, 16384
2.5167e-05, 32768
6.7042e-05, 65536
9.8166e-05, 131072
0.000244625, 262144
0.000421584, 524288
0.00100079, 1048576
0.00204346, 2097152
0.00421083, 4194304
1.66e-07, 512
3.33e-07, 1024
1.541e-06, 2048
2.958e-06, 4096
6.875e-06, 8192
1.5125e-05, 16384
2.6791e-05, 32768
5.9334e-05, 65536
0.000124958, 131072
0.0001915, 262144
0.00043, 524288
0.00103746, 1048576
0.00205183, 2097152
0.00427133, 4194304
2.08e-07, 512
3.34e-07, 1024
2e-06, 2048
3.041e-06, 4096
6.875e-06, 8192
1.3459e-05, 16384
2.4417e-05, 32768
4.6208e-05, 65536
0.000101708, 131072
0.000193667, 262144
0.000421583, 524288
0.000931166, 1048576
0.00219304, 2097152
0.00407754, 4194304
1.67e-07, 512
3.34e-07, 1024
1.5e-06, 2048
3.042e-06, 4096
6.792e-06, 8192
1.375e-05, 16384
2.4583e-05, 32768
5.325e-05, 65536
0.000103708, 131072
0.000196417, 262144
0.000665333, 524288
0.000999458, 1048576
0.00205558, 2097152
0.00414329, 4194304
1.67e-07, 512
3.75e-07, 1024
2.041e-06, 2048
3.25e-06, 4096
7.625e-06, 8192
