time, size
4.58e-07, 512
8.34e-07, 1024
1.291e-06, 2048
4e-06, 4096
7.291e-06, 8192
9.5e-06, 16384
0.000110833, 32768
3.3875e-05, 65536
6.8917e-05, 131072
0.000184417, 262144
0.000319958, 524288
0.000643875, 1048576
0.00131417, 2097152
0.00248517, 4194304
2.09e-07, 512
3.33e-07, 1024
6.25e-07, 2048
2.667e-06, 4096
4.708e-06, 8192
1.05e-05, 16384
1.725e-05, 32768
5.5208e-05, 65536
7.1333e-05, 131072
0.000140375, 262144
0.000280083, 524288
0.000626792, 1048576
0.00130446, 2097152
0.00277038, 4194304
1.67e-07, 512
3.34e-07, 1024
6.25e-07, 2048
2.25e-06, 4096
4.25e-06, 8192
9.125e-06, 16384
1.65e-05, 32768
3.2542e-05, 65536
6.9792e-05, 131072
0.000151625, 262144
0.000355375, 524288
0.000660917, 1048576
0.00127929, 2097152
0.00271967, 4194304
1.67e-07, 512
3.34e-07, 1024
6.67e-07, 2048
2.125e-06, 4096
5.167e-06, 8192
1.7209e-05, 16384
1.6375e-05, 32768
3.6334e-05, 65536
7.1541e-05, 131072
0.000176625, 262144
0.00027975, 524288
0.000722708, 1048576
0.00129925, 2097152
0.00265813, 4194304
2.09e-07, 512
3.34e-07, 1024
6.67e-07, 2048
2.709e-06, 4096
4.209e-06, 8192
9.208e-06, 16384
1.7292e-05, 32768
3.4959e-05, 65536
7.1875e-05, 131072
0.000141125, 262144
0.000278, 524288
0.000592084, 1048576
0.00134017, 2097152
0.00275208, 4194304
2.09e-07, 512
3.34e-07, 1024
6.25e-07, 2048
2e-06, 4096
4.709e-06, 8192
2.475e-05, 16384
2.2542e-05, 32768
3.6208e-05, 65536
6.625e-05, 131072
0.0001585, 262144
0.000313292, 524288
0.0006935, 1048576
0.00131496, 2097152
0.0027945, 4194304
1.66e-07, 512
3.33e-07, 1024
6.67e-07, 2048
2.208e-06, 4096
4.208e-06, 8192
8.917e-06, 16384
3.2e-05, 32768
4.1375e-05, 65536
6.9208e-05, 131072
0.000136125, 262144
0.000273, 524288
0.000590916, 1048576
0.00133846, 2097152
0.00271013, 4194304
2.09e-07, 512
4.17e-07, 1024
6.66e-07, 2048
2.542e-06, 4096
4.167e-06, 8192
1.3e-05, 16384
1.875e-05, 32768
4.1167e-05, 65536
7.0916e-05, 131072
0.000153875, 262144
