time, size
1.208e-06, 512
1.5e-06, 1024
2.458e-06, 2048
5.75e-06, 4096
1.1458e-05, 8192
1.275e-05, 16384
2.4e-05, 32768
4.9542e-05, 65536
9.85e-05, 131072
0.000194959, 262144
0.000544708, 524288
0.000938125, 1048576
0.00244079, 2097152
0.00506263, 4194304
4.17e-07, 512
5.42e-07, 1024
1e-06, 2048
2.708e-06, 4096
5.333e-06, 8192
1.3459e-05, 16384
2.3084e-05, 32768
4.825e-05, 65536
9.5291e-05, 131072
0.000195542, 262144
0.000396625, 524288
0.000997541, 1048576
0.00244063, 2097152
0.00499838, 4194304
3.75e-07, 512
5.42e-07, 1024
1.917e-06, 2048
2.75e-06, 4096
5.417e-06, 8192
1.2958e-05, 16384
2.5334e-05, 32768
6.4417e-05, 65536
9.5542e-05, 131072
0.000196958, 262144
0.000472958, 524288
0.00103613, 1048576
0.00243588, 2097152
0.00518779, 4194304
5.83e-07, 512
7.92e-07, 1024
1e-06, 2048
3.042e-06, 4096
5.667e-06, 8192
1.4583e-05, 16384
2.7334e-05, 32768
4.9875e-05, 65536
0.000106792, 131072
0.000193042, 262144
0.000407084, 524288
0.00101083, 1048576
0.00261979, 2097152
0.00549154, 4194304
3.33e-07, 512
5.83e-07, 1024
1.084e-06, 2048
3.041e-06, 4096
5.416e-06, 8192
1.2417e-05, 16384
2.3333e-05, 32768
6.2125e-05, 65536
9.4125e-05, 131072
0.000210167, 262144
0.000415917, 524288
0.00108329, 1048576
0.00260683, 2097152
0.00532125, 4194304
3.33e-07, 512
5.83e-07, 1024
1.125e-06, 2048
3.042e-06, 4096
5.791e-06, 8192
1.3042e-05, 16384
2.5792e-05, 32768
5.225e-05, 65536
0.000116792, 131072
0.000219416, 262144
0.000520125, 524288
0.00124879, 1048576
0.0023925, 2097152
0.00566408, 4194304
4.58e-07, 512
5.42e-07, 1024
1.041e-06, 2048
2.792e-06, 4096
5.5e-06, 8192
1.2291e-05, 16384
2.4042e-05, 32768
4.9333e-05, 65536
9.45e-05, 131072
0.00019675, 262144
0.000396542, 524288
0.000889959, 1048576
0.00262338, 2097152
0.00502838, 4194304
3.33e-07, 512
1e-06, 1024
1.042e-06, 2048
2.75e-06, 4096
5.375e-06, 8192
1.2292e-05, 16384
2.5542e-05, 32768
4.85e-05, 65536
9.4459e-05, 131072
0.000211875, 262144
0.000408333, 524288
0.000907583, 1048576
0.00244154, 2097152
0.00496525, 4194304
3.75e-07, 512
5.83e-07, 1024
1.042e-06, 2048
2.75e-06, 4096
5.5e-06, 8192
1.4417e-05, 16384
2.4708e-05, 32768
4.7541e-05, 65536
9.475e-05, 131072
0.000213625, 262144
0.000403833, 524288
0.000887458, 1048576
0.002555, 2097152
0.00539279, 4194304
4.59e-07, 512
5.84e-07, 1024
1.042e-06, 2048
2.667e-06, 4096
5.458e-06, 8192
1.2208e-05, 16384
2.4459e-05, 32768
5.0416e-05, 65536
9.8541e-05, 131072
0.00019775, 262144
0.000622833, 524288
0.0009465, 1048576
0.00245063, 2097152
0.00549075, 4194304
3.34e-07, 512
5.83e-07, 1024
1.083e-06, 2048
2.75e-06, 4096
5.458e-06, 8192
1.425e-05, 16384
2.325e-05, 32768
4.7125e-05, 65536
9.8334e-05, 131072
0.000223458, 262144
0.00039675, 524288
0.00086475, 1048576
0.00237204, 2097152
0.00495863, 4194304
3.75e-07, 512
6.25e-07, 1024
1.583e-06, 2048
2.75e-06, 4096
5.375e-06, 8192
1.2334e-05, 16384
2.2875e-05, 32768
4.7625e-05, 65536
9.2875e-05, 131072
0.000195291, 262144
0.00039375, 524288
0.00090725, 1048576
0.00232233, 2097152
0.0066685, 4194304
4.58e-07, 512
5.83e-07, 1024
1e-06, 2048
2.875e-06, 4096
5.541e-06, 8192
1.3167e-05, 16384
2.5e-05, 32768
5.1167e-05, 65536
9.5167e-05, 131072
0.000199917, 262144
0.000394834, 524288
0.00109958, 1048576
0.00249525, 2097152
0.00684633, 4194304
4.17e-07, 512
5.42e-07, 1024
1e-06, 2048
3.167e-06, 4096
5.416e-06, 8192
1.3042e-05, 16384
3.375e-05, 32768
4.8458e-05, 65536
9.6083e-05, 131072
0.000195584, 262144
0.00050475, 524288
0.000989084, 1048576
0.00246279, 2097152
0.0068675, 4194304
4.17e-07, 512
5.83e-07, 1024
1.208e-06, 2048
2.708e-06, 4096
5.666e-06, 8192
1.5e-05, 16384
2.3625e-05, 32768
5.5667e-05, 65536
0.000100208, 131072
0.000206125, 262144
0.000397916, 524288
0.000874, 1048576
0.00382113, 2097152
0.0081645, 4194304
3.75e-07, 512
7.5e-07, 1024
1.542e-06, 2048
2.917e-06, 4096
5.459e-06, 8192
1.3333e-05, 16384
2.4792e-05, 32768
4.85e-05, 65536
0.000106625, 131072
0.000194875, 262144
0.000406625, 524288
0.000952292, 1048576
0.00244563, 2097152
0.00504567, 4194304
3.33e-07, 512
5.84e-07, 1024
1.041e-06, 2048
2.875e-06, 4096
5.584e-06, 8192
1.25e-05, 16384
2.5333e-05, 32768
5.0208e-05, 65536
9.6625e-05, 131072
0.000198458, 262144
0.000408, 524288
0.00139467, 1048576
0.00246467, 2097152
0.00594517, 4194304
5.83e-07, 512
5.83e-07, 1024
1.042e-06, 2048
2.958e-06, 4096
5.417e-06, 8192
1.3208e-05, 16384
2.3334e-05, 32768
4.7291e-05, 65536
9.475e-05, 131072
0.000199834, 262144
0.000492292, 524288
0.000921708, 1048576
0.00236875, 2097152
0.00522475, 4194304
4.17e-07, 512
5.42e-07, 1024
1.042e-06, 2048
2.709e-06, 4096
5.5e-06, 8192
1.3375e-05, 16384
2.3791e-05, 32768
4.7542e-05, 65536
9.6458e-05, 131072
0.00020025, 262144
0.000439583, 524288
0.000888583, 1048576
0.00223954, 2097152
0.00491425, 4194304
4.17e-07, 512
5.84e-07, 1024
1.5e-06, 2048
2.791e-06, 4096
5.708e-06, 8192
1.3541e-05, 16384
2.575e-05, 32768
4.8042e-05, 65536
9.5167e-05, 131072
0.000194208, 262144
0.0004165, 524288
0.000957541, 1048576
0.00229104, 2097152
0.00484042, 4194304
