Size_KB,Pattern,Stride_B,Run,Accesses,MeanLatency_ns,GBps
32,sequential,64,1,2048,0.976562,15.2588
32,sequential,64,2,2048,0.996908,14.9474
32,sequential,64,3,2048,0.956217,15.5834
32,sequential,64,4,2048,0.956217,15.5834
32,sequential,64,5,2048,0.976562,15.2588
32,sequential,64,6,2048,0.956217,15.5834
32,sequential,64,7,2048,0.956217,15.5834
32,sequential,64,8,2048,0.956217,15.5834
32,sequential,64,9,2048,0.996908,14.9474
32,sequential,64,10,2048,0.976562,15.2588
32,sequential,64,11,2048,0.956217,15.5834
32,sequential,64,12,2048,0.976562,15.2588
32,sequential,64,13,2048,0.976562,15.2588
32,sequential,64,14,2048,0.956217,15.5834
32,sequential,64,15,2048,0.976562,15.2588
32,sequential,64,16,2048,0.996908,14.9474
32,sequential,64,17,2048,0.996908,14.9474
32,sequential,64,18,2048,0.956217,15.5834
32,sequential,64,19,2048,0.956217,15.5834
32,sequential,64,20,2048,0.976562,15.2588
32,random,64,1,2048,0.976562,15.2588
32,random,64,2,2048,0.976562,15.2588
32,random,64,3,2048,0.976562,15.2588
32,random,64,4,2048,0.976562,15.2588
32,random,64,5,2048,0.956217,15.5834
32,random,64,6,2048,0.976562,15.2588
32,random,64,7,2048,0.956217,15.5834
32,random,64,8,2048,0.956217,15.5834
32,random,64,9,2048,0.956217,15.5834
32,random,64,10,2048,0.956217,15.5834
32,random,64,11,2048,1.01725,14.6484
32,random,64,12,2048,0.996908,14.9474
32,random,64,13,2048,0.976562,15.2588
32,random,64,14,2048,0.956217,15.5834
32,random,64,15,2048,0.976562,15.2588
32,random,64,16,2048,0.976562,15.2588
32,random,64,17,2048,0.976562,15.2588
32,random,64,18,2048,0.976562,15.2588
32,random,64,19,2048,0.976562,15.2588
32,random,64,20,2048,0.976562,15.2588
32,sequential,256,1,512,0.976562,15.2588
32,sequential,256,2,512,0.976562,15.2588
32,sequential,256,3,512,0.976562,15.2588
32,sequential,256,4,512,0.895182,16.646
32,sequential,256,5,512,0.976562,15.2588
32,sequential,256,6,512,0.976562,15.2588
32,sequential,256,7,512,0.976562,15.2588
32,sequential,256,8,512,0.976562,15.2588
32,sequential,256,9,512,0.976562,15.2588
32,sequential,256,10,512,0.976562,15.2588
32,sequential,256,11,512,0.976562,15.2588
32,sequential,256,12,512,0.976562,15.2588
32,sequential,256,13,512,0.976562,15.2588
32,sequential,256,14,512,0.976562,15.2588
32,sequential,256,15,512,0.976562,15.2588
32,sequential,256,16,512,0.976562,15.2588
32,sequential,256,17,512,0.976562,15.2588
32,sequential,256,18,512,0.976562,15.2588
32,sequential,256,19,512,0.895182,16.646
32,sequential,256,20,512,0.976562,15.2588
32,random,256,1,512,0.976562,15.2588
32,random,256,2,512,0.976562,15.2588
32,random,256,3,512,0.976562,15.2588
32,random,256,4,512,0.976562,15.2588
32,random,256,5,512,0.976562,15.2588
32,random,256,6,512,0.976562,15.2588
32,random,256,7,512,0.976562,15.2588
32,random,256,8,512,0.976562,15.2588
32,random,256,9,512,0.976562,15.2588
32,random,256,10,512,0.976562,15.2588
32,random,256,11,512,0.976562,15.2588
32,random,256,12,512,0.976562,15.2588
32,random,256,13,512,0.895182,16.646
32,random,256,14,512,0.976562,15.2588
32,random,256,15,512,0.976562,15.2588
32,random,256,16,512,0.895182,16.646
32,random,256,17,512,0.976562,15.2588
32,random,256,18,512,0.976562,15.2588
32,random,256,19,512,0.976562,15.2588
32,random,256,20,512,0.976562,15.2588
32,sequential,1024,1,128,0.976562,15.2588
32,sequential,1024,2,128,0.976562,15.2588
32,sequential,1024,3,128,0.976562,15.2588
32,sequential,1024,4,128,0.976562,15.2588
32,sequential,1024,5,128,0.976562,15.2588
