Mode,Run,GBps,MeanLatency_ns,Elements
100%R,1,1.66888,4.46441,8388608
100%R,2,2.07956,3.58277,8388608
100%R,3,2.15668,3.45465,8388608
100%R,4,2.16096,3.44781,8388608
100%R,5,2.15717,3.45386,8388608
100%R,6,2.16004,3.44929,8388608
100%R,7,2.15562,3.45635,8388608
100%R,8,2.15264,3.46113,8388608
100%R,9,2.15947,3.45019,8388608
100%R,10,2.15177,3.46253,8388608
100%R,11,2.14855,3.46772,8388608
100%R,12,2.14507,3.47335,8388608
100%R,13,2.17085,3.4321,8388608
100%R,14,2.16286,3.44478,8388608
100%R,15,2.15359,3.45961,8388608
100%R,16,2.1274,3.50221,8388608
100%R,17,2.0541,3.62718,8388608
100%R,18,2.13946,3.48246,8388608
100%R,19,2.15333,3.46002,8388608
100%R,20,2.16597,3.43983,8388608
100%W,1,8.65331,0.861009,8388608
100%W,2,8.67433,0.858923,8388608
100%W,3,8.68991,0.857383,8388608
100%W,4,8.68956,0.857418,8388608
100%W,5,8.65586,0.860756,8388608
100%W,6,8.68956,0.857418,8388608
100%W,7,8.63165,0.86317,8388608
100%W,8,8.64992,0.861347,8388608
100%W,9,8.69137,0.857239,8388608
100%W,10,8.66241,0.860105,8388608
100%W,11,8.69631,0.856752,8388608
100%W,12,8.69565,0.856817,8388608
100%W,13,8.69107,0.857269,8388608
100%W,14,8.58875,0.867481,8388608
100%W,15,8.62773,0.863562,8388608
100%W,16,8.69832,0.856554,8388608
100%W,17,8.69832,0.856554,8388608
100%W,18,8.69838,0.856549,8388608
100%W,19,8.64977,0.861362,8388608
100%W,20,8.69792,0.856593,8388608
70%R/30%W,1,5.04712,2.50955,8388608
70%R/30%W,2,5.05343,2.50642,8388608
70%R/30%W,3,5.05477,2.50575,8388608
70%R/30%W,4,5.05497,2.50565,8388608
70%R/30%W,5,5.05964,2.50334,8388608
70%R/30%W,6,5.01849,2.52386,8388608
70%R/30%W,7,5.0503,2.50797,8388608
70%R/30%W,8,5.06235,2.502,8388608
70%R/30%W,9,5.06319,2.50158,8388608
70%R/30%W,10,5.03891,2.51364,8388608
70%R/30%W,11,5.02936,2.51841,8388608
70%R/30%W,12,5.02062,2.52279,8388608
70%R/30%W,13,5.05455,2.50586,8388608
70%R/30%W,14,5.05265,2.5068,8388608
70%R/30%W,15,5.05268,2.50679,8388608
70%R/30%W,16,5.05351,2.50638,8388608
70%R/30%W,17,5.04021,2.51299,8388608
70%R/30%W,18,5.05359,2.50634,8388608
70%R/30%W,19,5.05344,2.50641,8388608
70%R/30%W,20,5.0444,2.5109,8388608
50%R/50%W,1,6.26324,1.78436,8388608
50%R/50%W,2,6.24493,1.78959,8388608
50%R/50%W,3,6.21142,1.79925,8388608
50%R/50%W,4,6.22698,1.79475,8388608
50%R/50%W,5,6.32147,1.76792,8388608
50%R/50%W,6,6.22818,1.7944,8388608
50%R/50%W,7,6.24085,1.79076,8388608
50%R/50%W,8,6.23638,1.79204,8388608
50%R/50%W,9,6.28632,1.77781,8388608
50%R/50%W,10,6.22233,1.79609,8388608
50%R/50%W,11,6.2282,1.7944,8388608
50%R/50%W,12,6.18387,1.80726,8388608
50%R/50%W,13,6.3249,1.76696,8388608
50%R/50%W,14,6.22967,1.79398,8388608
50%R/50%W,15,6.21418,1.79845,8388608
50%R/50%W,16,6.27139,1.78204,8388608
50%R/50%W,17,6.23668,1.79196,8388608
50%R/50%W,18,6.24823,1.78865,8388608
50%R/50%W,19,6.25833,1.78576,8388608
50%R/50%W,20,6.0403,1.85022,8388608
