PageSize,Run,GBps,Time_ms
4096,1,2.8204,0.173125
4096,2,3.27889,0.148917
4096,3,3.48254,0.140208
4096,4,3.64729,0.133875
4096,5,3.86248,0.126417
4096,6,4.08461,0.119542
4096,7,4.28787,0.113875
4096,8,4.45749,0.109542
4096,9,4.60462,0.106042
4096,10,4.70444,0.103792
4096,11,4.77926,0.102167
4096,12,4.83447,0.101
4096,13,4.88078,0.100042
4096,14,4.89096,0.0998333
4096,15,4.90324,0.0995833
4096,16,4.92591,0.099125
4096,17,4.94253,0.0987917
4096,18,4.94045,0.0988333
4096,19,4.94462,0.09875
4096,20,4.95089,0.098625
4096,21,4.94462,0.09875
4096,22,4.90735,0.0995
4096,23,4.88688,0.0999167
4096,24,4.86861,0.100292
4096,25,4.86457,0.100375
4096,26,4.87469,0.100167
4096,27,4.93006,0.0990417
4096,28,4.91352,0.099375
4096,29,4.94253,0.0987917
4096,30,4.92799,0.0990833
4096,31,4.92799,0.0990833
4096,32,4.95089,0.098625
4096,33,4.37267,0.111667
4096,34,4.95298,0.0985833
4096,35,4.94253,0.0987917
4096,36,4.93629,0.0989167
4096,37,4.94462,0.09875
4096,38,4.94253,0.0987917
4096,39,4.95089,0.098625
4096,40,4.94671,0.0987083
16384,1,1.98522,0.983833
16384,2,2.0392,0.957792
16384,3,2.02519,0.964417
16384,4,2.13233,0.915958
16384,5,2.25675,0.865458
16384,6,2.32066,0.841625
16384,7,2.39268,0.816292
16384,8,2.4409,0.800167
16384,9,2.51583,0.776333
16384,10,2.56344,0.761917
16384,11,2.62326,0.744542
16384,12,2.62826,0.743125
16384,13,2.66714,0.732292
16384,14,2.72783,0.716
16384,15,2.74428,0.711708
16384,16,2.78819,0.7005
16384,17,2.83216,0.689625
16384,18,2.8544,0.68425
16384,19,2.86575,0.681542
16384,20,2.84954,0.685417
16384,21,2.85006,0.685292
16384,22,2.85388,0.684375
16384,23,2.87136,0.680208
16384,24,2.88479,0.677042
16384,25,2.87683,0.678917
16384,26,2.87895,0.678417
16384,27,2.86557,0.681583
16384,28,2.84902,0.685542
16384,29,2.92238,0.668333
16384,30,2.9433,0.663583
16384,31,2.90176,0.673083
16384,32,2.94256,0.66375
16384,33,2.93703,0.665
16384,34,2.94108,0.664083
16384,35,2.94404,0.663417
16384,36,2.85806,0.683375
16384,37,2.94016,0.664292
16384,38,2.92238,0.668333
16384,39,2.7075,0.721375
16384,40,2.83335,0.689333
65536,1,1.8791,4.15758
65536,2,1.70804,4.57396
65536,3,1.88934,4.13504
65536,4,1.82658,4.27712
65536,5,1.95949,3.987
65536,6,1.96317,3.97954
65536,7,1.86588,4.18704
65536,8,1.84944,4.22425
65536,9,1.92036,4.06825
65536,10,1.92862,4.05083
65536,11,1.86054,4.19904
65536,12,1.87603,4.16437
65536,13,1.90886,4.09275
65536,14,1.9001,4.11163
65536,15,1.88055,4.15437
65536,16,1.82718,4.27571
65536,17,1.88666,4.14092
65536,18,1.89524,4.12217
65536,19,1.84197,4.24137
65536,20,1.90947,4.09146
65536,21,1.91892,4.07129
65536,22,1.91085,4.0885
65536,23,1.81324,4.30858
65536,24,1.90557,4.09983
65536,25,1.86402,4.19121
65536,26,1.42972,5.46437
65536,27,0.44204,17.6737
65536,28,1.05551,7.40162
65536,29,1.1118,7.02687
65536,30,1.96119,3.98354
65536,31,2.02163,3.86446
65536,32,2.15322,3.62829
65536,33,2.14477,3.64258
65536,34,2.13619,3.65721
65536,35,2.07503,3.765
65536,36,2.17245,3.59617
65536,37,2.14895,3.6355
65536,38,2.22412,3.51262
65536,39,2.11382,3.69592
65536,40,2.09214,3.73421
262144,1,2.14673,14.557
262144,2,2.13289,14.6515
262144,3,2.13532,14.6348
262144,4,2.13248,14.6543
262144,5,2.13393,14.6444
262144,6,2.16407,14.4404
262144,7,2.1851,14.3014
