Size_KB,Run,Latency_ns,Bandwidth_GBps
1,1,5.20833,11.4441
1,2,2.60417,22.8882
1,3,0,inf
1,4,2.60417,22.8882
1,5,2.60417,22.8882
1,6,2.60417,22.8882
1,7,2.60417,22.8882
1,8,2.60417,22.8882
1,9,2.60417,22.8882
1,10,0,inf
1,11,2.60417,22.8882
1,12,0,inf
1,13,2.60417,22.8882
1,14,2.60417,22.8882
1,15,2.60417,22.8882
1,16,2.60417,22.8882
1,17,2.60417,22.8882
1,18,0,inf
1,19,2.60417,22.8882
1,20,2.60417,22.8882
1,21,2.60417,22.8882
1,22,0,inf
1,23,2.60417,22.8882
1,24,2.60417,22.8882
1,25,0,inf
1,26,2.60417,22.8882
1,27,0,inf
1,28,0,inf
1,29,0,inf
1,30,2.60417,22.8882
1,31,2.60417,22.8882
1,32,2.60417,22.8882
1,33,2.60417,22.8882
1,34,2.60417,22.8882
1,35,2.60417,22.8882
1,36,2.60417,22.8882
1,37,2.60417,22.8882
1,38,2.60417,22.8882
1,39,2.60417,22.8882
1,40,2.60417,22.8882
2,1,1.30208,45.7764
2,2,3.90625,15.2588
2,3,1.30208,45.7764
2,4,1.30208,45.7764
2,5,2.60417,22.8882
2,6,2.60417,22.8882
2,7,1.30208,45.7764
2,8,1.30208,45.7764
2,9,1.30208,45.7764
2,10,2.60417,22.8882
2,11,1.30208,45.7764
2,12,2.60417,22.8882
2,13,1.30208,45.7764
2,14,2.60417,22.8882
2,15,1.30208,45.7764
2,16,1.30208,45.7764
2,17,2.60417,22.8882
2,18,1.30208,45.7764
2,19,1.30208,45.7764
2,20,1.30208,45.7764
2,21,1.30208,45.7764
2,22,2.60417,22.8882
2,23,1.30208,45.7764
2,24,1.30208,45.7764
2,25,1.30208,45.7764
2,26,1.30208,45.7764
2,27,1.30208,45.7764
2,28,1.30208,45.7764
2,29,1.30208,45.7764
2,30,1.30208,45.7764
2,31,2.60417,22.8882
2,32,1.30208,45.7764
2,33,2.60417,22.8882
2,34,1.30208,45.7764
2,35,1.30208,45.7764
2,36,1.30208,45.7764
2,37,1.30208,45.7764
2,38,1.30208,45.7764
2,39,2.60417,22.8882
2,40,1.30208,45.7764
4,1,2.60417,22.8882
4,2,1.95312,30.5176
4,3,1.30208,45.7764
4,4,1.30208,45.7764
4,5,1.30208,45.7764
4,6,1.95312,30.5176
4,7,1.30208,45.7764
4,8,1.95312,30.5176
4,9,1.95312,30.5176
4,10,2.60417,22.8882
4,11,1.95312,30.5176
4,12,0.651042,91.5527
4,13,1.95312,30.5176
4,14,1.95312,30.5176
4,15,1.95312,30.5176
4,16,1.95312,30.5176
4,17,1.95312,30.5176
4,18,1.95312,30.5176
4,19,1.95312,30.5176
4,20,1.95312,30.5176
4,21,1.95312,30.5176
4,22,2.60417,22.8882
4,23,1.95312,30.5176
4,24,1.95312,30.5176
4,25,2.60417,22.8882
4,26,1.95312,30.5176
4,27,1.95312,30.5176
4,28,1.95312,30.5176
4,29,1.95312,30.5176
4,30,1.95312,30.5176
4,31,2.60417,22.8882
4,32,1.95312,30.5176
4,33,1.30208,45.7764
4,34,1.30208,45.7764
4,35,1.30208,45.7764
4,36,1.30208,45.7764
4,37,0.651042,91.5527
4,38,0.651042,91.5527
4,39,0.651042,91.5527
4,40,0.651042,91.5527
8,1,2.60417,22.8882
8,2,1.30208,45.7764
8,3,1.30208,45.7764
8,4,0.976562,61.0352
8,5,0.976562,61.0352
8,6,0.976562,61.0352
8,7,2.60417,22.8882
8,8,0.976562,61.0352
8,9,0.976562,61.0352
8,10,0.976562,61.0352
8,11,0.976562,61.0352
8,12,0.976562,61.0352
8,13,0.976562,61.0352
8,14,0.976562,61.0352
8,15,0.976562,61.0352
8,16,2.27865,26.1579
8,17,1.30208,45.7764
8,18,1.30208,45.7764
8,19,0.976562,61.0352
8,20,0.976562,61.0352
8,21,0.976562,61.0352
8,22,0.976562,61.0352
8,23,0.976562,61.0352
8,24,0.976562,61.0352
8,25,0.976562,61.0352
8,26,0.976562,61.0352
8,27,0.976562,61.0352
8,28,0.976562,61.0352
8,29,0.976562,61.0352
8,30,0.976562,61.0352
8,31,0.976562,61.0352
8,32,0.976562,61.0352
8,33,1.30208,45.7764
8,34,0.976562,61.0352
8,35,0.976562,61.0352
8,36,0.976562,61.0352
8,37,0.976562,61.0352
8,38,0.976562,61.0352
8,39,0.976562,61.0352
8,40,0.976562,61.0352
16,1,2.76693,21.5418
16,2,1.30208,45.7764
16,3,0.976562,61.0352
16,4,0.976562,61.0352
16,5,2.44141,24.4141
16,6,2.60417,22.8882
16,7,2.44141,24.4141
16,8,2.44141,24.4141
16,9,2.44141,24.4141
16,10,2.44141,24.4141
16,11,2.60417,22.8882
16,12,2.44141,24.4141
16,13,2.44141,24.4141
16,14,2.44141,24.4141
16,15,0.976562,61.0352
16,16,2.44141,24.4141
16,17,2.44141,24.4141
16,18,2.44141,24.4141
16,19,2.44141,24.4141
16,20,2.44141,24.4141
16,21,2.44141,24.4141
16,22,1.13932,52.3158
16,23,0.976562,61.0352
16,24,0.976562,61.0352
16,25,0.976562,61.0352
16,26,0.976562,61.0352
16,27,1.13932,52.3158
16,28,0.976562,61.0352
16,29,0.976562,61.0352
16,30,0.976562,61.0352
16,31,0.976562,61.0352
16,32,0.976562,61.0352
16,33,0.976562,61.0352
16,34,0.976562,61.0352
16,35,0.976562,61.0352
16,36,0.976562,61.0352
16,37,2.44141,24.4141
16,38,0.976562,61.0352
16,39,2.60417,22.8882
16,40,0.976562,61.0352
32,1,3.17383,18.78
32,2,2.52279,23.6265
32,3,2.52279,23.6265
32,4,2.52279,23.6265
32,5,2.52279,23.6265
32,6,2.52279,23.6265
32,7,2.52279,23.6265
32,8,2.52279,23.6265
32,9,2.52279,23.6265
32,10,2.52279,23.6265
32,11,2.60417,22.8882
32,12,2.52279,23.6265
32,13,2.52279,23.6265
32,14,2.52279,23.6265
32,15,2.52279,23.6265
32,16,2.52279,23.6265
32,17,2.52279,23.6265
32,18,2.52279,23.6265
32,19,2.52279,23.6265
32,20,2.60417,22.8882
32,21,2.52279,23.6265
32,22,2.52279,23.6265
32,23,2.52279,23.6265
32,24,2.52279,23.6265
32,25,2.52279,23.6265
32,26,2.52279,23.6265
32,27,2.52279,23.6265
32,28,2.52279,23.6265
32,29,2.60417,22.8882
32,30,2.60417,22.8882
32,31,2.52279,23.6265
32,32,2.60417,22.8882
32,33,2.52279,23.6265
32,34,2.52279,23.6265
32,35,2.60417,22.8882
32,36,2.44141,24.4141
32,37,2.52279,23.6265
32,38,2.52279,23.6265
32,39,2.44141,24.4141
32,40,2.52279,23.6265
64,1,3.01107,19.7952
64,2,2.52279,23.6265
64,3,2.56348,23.2515
64,4,2.52279,23.6265
64,5,2.56348,23.2515
64,6,2.56348,23.2515
64,7,2.56348,23.2515
64,8,2.56348,23.2515
64,9,2.56348,23.2515
64,10,2.56348,23.2515
64,11,2.56348,23.2515
64,12,2.56348,23.2515
64,13,2.56348,23.2515
64,14,2.56348,23.2515
64,15,2.56348,23.2515
64,16,2.56348,23.2515
64,17,2.56348,23.2515
64,18,2.56348,23.2515
64,19,0.895182,66.5838
64,20,2.56348,23.2515
64,21,2.56348,23.2515
64,22,2.64486,22.5361
64,23,2.56348,23.2515
64,24,2.56348,23.2515
64,25,2.56348,23.2515
64,26,2.52279,23.6265
64,27,2.68555,22.1946
64,28,2.76693,21.5418
64,29,2.11589,28.1701
64,30,2.0752,28.7224
64,31,2.11589,28.1701
64,32,2.11589,28.1701
64,33,2.11589,28.1701
64,34,0.732422,81.3802
64,35,2.0752,28.7224
64,36,2.0752,28.7224
64,37,0.691732,86.1673
64,38,2.11589,28.1701
64,39,2.11589,28.1701
64,40,2.0752,28.7224
128,1,2.29899,25.9264
128,2,2.15658,27.6386
128,3,2.15658,27.6386
128,4,2.17692,27.3803
128,5,2.15658,27.6386
128,6,2.13623,27.9018
128,7,2.15658,27.6386
128,8,2.15658,27.6386
128,9,2.13623,27.9018
128,10,2.13623,27.9018
128,11,2.17692,27.3803
128,12,2.15658,27.6386
128,13,2.15658,27.6386
128,14,2.13623,27.9018
128,15,2.15658,27.6386
128,16,2.15658,27.6386
128,17,2.13623,27.9018
128,18,2.15658,27.6386
128,19,2.15658,27.6386
128,20,2.13623,27.9018
128,21,2.17692,27.3803
128,22,2.15658,27.6386
128,23,2.15658,27.6386
128,24,2.15658,27.6386
128,25,2.15658,27.6386
128,26,2.15658,27.6386
128,27,2.13623,27.9018
128,28,2.15658,27.6386
128,29,2.15658,27.6386
128,30,2.15658,27.6386
128,31,2.15658,27.6386
128,32,2.15658,27.6386
128,33,2.15658,27.6386
128,34,2.13623,27.9018
128,35,2.15658,27.6386
128,36,2.17692,27.3803
128,37,2.13623,27.9018
128,38,2.15658,27.6386
128,39,2.13623,27.9018
128,40,2.13623,27.9018
256,1,2.22778,26.7551
256,2,2.18709,27.2529
256,3,2.15658,27.6386
256,4,2.17692,27.3803
256,5,2.17692,27.3803
256,6,2.18709,27.2529
256,7,2.19727,27.1267
256,8,2.18709,27.2529
256,9,2.18709,27.2529
256,10,2.17692,27.3803
256,11,2.17692,27.3803
256,12,2.18709,27.2529
256,13,2.16675,27.5088
256,14,2.18709,27.2529
256,15,2.17692,27.3803
256,16,2.17692,27.3803
256,17,2.17692,27.3803
256,18,2.17692,27.3803
256,19,2.18709,27.2529
256,20,2.19727,27.1267
256,21,2.18709,27.2529
256,22,2.17692,27.3803
256,23,2.17692,27.3803
256,24,2.17692,27.3803
256,25,2.18709,27.2529
256,26,2.17692,27.3803
256,27,2.17692,27.3803
256,28,2.18709,27.2529
256,29,2.17692,27.3803
256,30,2.17692,27.3803
256,31,2.18709,27.2529
256,32,2.18709,27.2529
256,33,2.18709,27.2529
256,34,2.17692,27.3803
256,35,2.18709,27.2529
256,36,2.17692,27.3803
256,37,2.19727,27.1267
256,38,2.20744,27.0017
256,39,2.18709,27.2529
256,40,2.18709,27.2529
512,1,2.20235,27.0641
512,2,2.17692,27.3803
512,3,2.18709,27.2529
512,4,2.18201,27.3164
512,5,2.18201,27.3164
512,6,2.17692,27.3803
512,7,2.17692,27.3803
512,8,2.18201,27.3164
512,9,2.17692,27.3803
512,10,2.17183,27.4444
512,11,2.17183,27.4444
512,12,2.18201,27.3164
512,13,2.18201,27.3164
512,14,2.17692,27.3803
512,15,2.17183,27.4444
512,16,2.17183,27.4444
512,17,2.18201,27.3164
512,18,2.17692,27.3803
512,19,2.18201,27.3164
512,20,2.18201,27.3164
512,21,2.18709,27.2529
512,22,2.16675,27.5088
512,23,2.18709,27.2529
512,24,2.17692,27.3803
512,25,2.18201,27.3164
512,26,2.18201,27.3164
512,27,2.17692,27.3803
512,28,2.16675,27.5088
512,29,2.18201,27.3164
512,30,2.18201,27.3164
512,31,2.17183,27.4444
512,32,2.18201,27.3164
512,33,2.16675,27.5088
512,34,2.18709,27.2529
512,35,2.18201,27.3164
512,36,2.18709,27.2529
512,37,2.17692,27.3803
512,38,2.16675,27.5088
512,39,2.17692,27.3803
512,40,2.18201,27.3164
1024,1,2.18709,27.2529
1024,2,2.16675,27.5088
1024,3,2.18201,27.3164
1024,4,2.17183,27.4444
1024,5,2.17946,27.3483
1024,6,2.17438,27.4123
1024,7,2.17946,27.3483
1024,8,2.17438,27.4123
1024,9,2.17946,27.3483
1024,10,2.17438,27.4123
1024,11,2.17438,27.4123
1024,12,2.17438,27.4123
1024,13,2.17946,27.3483
1024,14,2.17692,27.3803
1024,15,2.18201,27.3164
1024,16,2.17692,27.3803
1024,17,2.17946,27.3483
1024,18,2.17692,27.3803
1024,19,2.17946,27.3483
1024,20,2.17183,27.4444
1024,21,2.17692,27.3803
1024,22,2.16929,27.4766
1024,23,2.17946,27.3483
1024,24,2.18201,27.3164
1024,25,2.17183,27.4444
1024,26,2.16929,27.4766
1024,27,2.17183,27.4444
1024,28,2.16929,27.4766
1024,29,2.17946,27.3483
1024,30,2.17946,27.3483
1024,31,2.17438,27.4123
1024,32,2.17692,27.3803
1024,33,2.18201,27.3164
1024,34,2.17946,27.3483
1024,35,2.19218,27.1897
1024,36,2.17438,27.4123
1024,37,2.17438,27.4123
