Size_KB,Run,Accesses,Total_ns,PerAccess_ns
4,1,2048,5583.33,2.72624
4,2,2048,5666.67,2.76693
4,3,2048,5625,2.74658
4,4,2048,5666.67,2.76693
4,5,2048,5625,2.74658
4,6,2048,5625,2.74658
4,7,2048,5625,2.74658
4,8,2048,5583.33,2.72624
4,9,2048,5666.67,2.76693
4,10,2048,5625,2.74658
16,1,8192,22458.3,2.7415
16,2,8192,22541.7,2.75167
16,3,8192,22541.7,2.75167
16,4,8192,22625,2.76184
16,5,8192,22541.7,2.75167
16,6,8192,22625,2.76184
16,7,8192,22583.3,2.75675
16,8,8192,22666.7,2.76693
16,9,8192,22541.7,2.75167
16,10,8192,22625,2.76184
64,1,32768,90208.3,2.75294
64,2,32768,90291.7,2.75548
64,3,32768,90291.7,2.75548
64,4,32768,90291.7,2.75548
64,5,32768,90333.3,2.75675
64,6,32768,90250,2.75421
64,7,32768,90291.7,2.75548
64,8,32768,90291.7,2.75548
64,9,32768,90291.7,2.75548
64,10,32768,90333.3,2.75675
256,1,131072,960125,7.32517
256,2,131072,953750,7.27654
256,3,131072,953458,7.27431
256,4,131072,954208,7.28003
256,5,131072,963958,7.35442
256,6,131072,954208,7.28003
256,7,131072,953083,7.27145
256,8,131072,953917,7.27781
256,9,131072,840583,6.41314
256,10,131072,836375,6.38103
1024,1,524288,4.27308e+06,8.15026
1024,2,524288,4.17562e+06,7.96437
1024,3,524288,3.96458e+06,7.56184
1024,4,524288,3.73854e+06,7.1307
1024,5,524288,3.62258e+06,6.90953
1024,6,524288,3.34958e+06,6.38882
1024,7,524288,3.42362e+06,6.53005
1024,8,524288,3.26475e+06,6.22702
1024,9,524288,3.22075e+06,6.14309
1024,10,524288,3.2285e+06,6.15788
4096,1,2097152,1.27009e+07,6.05627
4096,2,2097152,1.18155e+07,5.63405
4096,3,2097152,1.166e+07,5.55992
4096,4,2097152,1.14175e+07,5.44431
4096,5,2097152,1.13022e+07,5.38933
4096,6,2097152,1.1295e+07,5.38586
4096,7,2097152,1.15e+07,5.48365
4096,8,2097152,1.16144e+07,5.53819
4096,9,2097152,1.16211e+07,5.54138
4096,10,2097152,1.1509e+07,5.48794
16384,1,8388608,9.47047e+07,11.2897
16384,2,8388608,1.16524e+08,13.8907
16384,3,8388608,1.1715e+08,13.9654
16384,4,8388608,8.98301e+07,10.7086
16384,5,8388608,9.20728e+07,10.9759
16384,6,8388608,1.26315e+08,15.0579
16384,7,8388608,9.10592e+07,10.8551
16384,8,8388608,8.44328e+07,10.0652
16384,9,8388608,1.05831e+08,12.6161
16384,10,8388608,2.14568e+08,25.5785
65536,1,33554432,2.57466e+09,76.7308
65536,2,33554432,2.66789e+09,79.5094
65536,3,33554432,2.60015e+09,77.4904
65536,4,33554432,2.82379e+09,84.1556
65536,5,33554432,2.77779e+09,82.7846
65536,6,33554432,2.70728e+09,80.6832
65536,7,33554432,2.68392e+09,79.987
65536,8,33554432,2.60990e+09,77.7812
65536,9,33554432,2.70171e+09,80.5173
65536,10,33554432,2.61754e+09,78.0087
262144,1,134217728,1.36761e+10,101.895
262144,2,134217728,1.41924e+10,105.742
262144,3,134217728,1.40546e+10,104.715
262144,4,134217728,1.35289e+10,100.798
262144,5,134217728,1.377e+10,102.594
262144,6,134217728,1.36713e+10,101.859
262144,7,134217728,1.37365e+10,102.345
262144,8,134217728,1.35068e+10,100.634
262144,9,134217728,1.38649e+10,103.301
262144,10,134217728,1.35433e+10,100.905
